Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:att,appos,appos:trans,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:cop,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,discourse:filler,dislocated,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rep,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,1265,,22.0,,,,,,3.0,,,,,,,,,,,,,,,,,49.0,,,,13.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,51.0,,,,,,,,,,,,,,,904.0,,,,,,,,,1.0,,52.0,,,,,,,,,,,,,,,,,,3.0,35.0,,,,,,,,,111.0,1.0,16.0,,,
sl_ssj-ud-dev,1250,0,1276,,27.0,,,,,,6.0,,,,,,,,,,,,,,,,,47.0,,,,11.0,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,10.0,63.0,,,,,,,,,,,,,,,905.0,,,,,,,,,1.0,,32.0,,,,,,,,,,,,,,,,,,1.0,36.0,,,,,,,,,118.0,3.0,11.0,,,
sl_ssj-ud-train,10903,0,10575,,141.0,,,,,,57.0,,,,,,,,,,,,,,,2.0,,527.0,,,,92.0,,,,,,,,,,,,,,,,,9.0,,,,,,13.0,6.0,,5.0,,,,,4.0,,,,1.0,,,,,,,203.0,517.0,,,,,,,,,,,,,,,7123.0,,,,,,,,,14.0,,334.0,,,,,,,,,,,,,,,,,,17.0,329.0,,,,,,,,,1045.0,33.0,103.0,,,
xcl_caval-ud-train,3185,0,2045,,26.0,,,,,,59.0,,,,,,,,,,,,,,,1.0,,70.0,,,,149.0,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,,1304.0,26.0,,,,39.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,17.0,2.0,,,,,,,,,106.0,194.0,34.0,,,
xcl_caval-ud-dev,411,0,298,,4.0,,,,,,9.0,,,,,,,,,,,,,,,,,6.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,204.0,5.0,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,17.0,20.0,2.0,,,
xcl_caval-ud-test,550,0,374,,2.0,,,,,,14.0,,,,,,,,,,,,,,,,,14.0,,,,19.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,267.0,7.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,14.0,23.0,,,,
hu_szeged-ud-dev,441,0,1283,,5.0,,,,,,6.0,,,,,,,,,,,,,,,,2.0,41.0,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,7.0,,,504.0,,,,,,,,,,,,508.0,,,,,,,,,1.0,,159.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,34.0,,,,,
hu_szeged-ud-test,449,0,1020,,6.0,,,,,,10.0,,,,,,,,,,,,,,,,3.0,35.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,5.0,,,368.0,,,,,,,,,,,,412.0,,,1.0,,,,,,2.0,,129.0,,,,,,,,,,,,,,,,,,6.0,14.0,,,,,,,,,19.0,,1.0,,,
hu_szeged-ud-train,910,0,2111,,12.0,,,,,,15.0,,,,,,,,,,,,,,,,2.0,61.0,,,,,,9.0,4.0,,,,,,,,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,5.0,,,,,,,8.0,19.0,,,705.0,1.0,,,,,,,,,,,908.0,,,2.0,,,,,,,,272.0,,,,,,,,,,,,,,,,,,3.0,10.0,,,,,,,,,70.0,,,,,
el_gud-ud-train,1071,0,423,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,282.0,,,,,39.0,,,,17.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,1.0,27.0,,,
