Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,ccomp,compound,compound:prt,dep,dislocated,nmod,nmod:obl,nsubj,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,40,,,,1.0,,,,,,,,,,39.0,,,,
hu_szeged-ud-test,449,0,20,,,,,,,,,,,,,,20.0,,,,
hu_szeged-ud-train,910,0,43,,,,,,,,,,,1.0,,,42.0,,,,
fi_ood-ud-test,2122,0,105,,1.0,,,,,,,,15.0,,,,85.0,2.0,,2.0,
hit_hittb-ud-test,136,0,3,,,,,,,,,,,,,,3.0,,,,
et_ewt-ud-train,5444,0,318,,2.0,,4.0,,,,1.0,,34.0,,,,262.0,1.0,1.0,13.0,
et_ewt-ud-test,913,0,71,,1.0,,,,,,,,4.0,,,,64.0,,1.0,1.0,
et_ewt-ud-dev,833,0,49,,,,,,,,,,6.0,,,,39.0,,1.0,3.0,
ml_ufal-ud-test,218,0,4,,,,,,,,,,2.0,,,1.0,1.0,,,,
olo_kkpp-ud-test,106,0,9,,,,,,,,,,,,,,9.0,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,1.0,,,,
vep_vwt-ud-test,103,0,5,,,,,,,,,,,,,,5.0,,,,
fi_tdt-ud-train,12217,0,1028,,1.0,1.0,5.0,,,1.0,,,197.0,,,,802.0,7.0,,14.0,
fi_tdt-ud-test,1555,0,125,,1.0,,,,,,,,21.0,,,,103.0,,,,
fi_tdt-ud-dev,1364,0,131,,,,,,,,,,12.0,,,,118.0,,,1.0,
tpn_tudet-ud-test,581,0,10,,,,2.0,,,,,,,,,,6.0,,,2.0,
fi_pud-ud-test,1000,0,101,,,,2.0,,,,,,18.0,,,,81.0,,,,
et_edt-ud-dev,3128,0,311,,1.0,,1.0,,,,,,40.0,,,,268.0,,,1.0,
et_edt-ud-train,24615,0,3037,6.0,13.0,1.0,11.0,2.0,,,,,500.0,,1.0,,2475.0,9.0,10.0,8.0,1.0
et_edt-ud-test,3214,0,412,1.0,,,,,,,,,84.0,,,,323.0,1.0,,3.0,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,1.0,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,1.0,1.0,,,,
eu_bdt-ud-train,5396,0,270,,2.0,,2.0,,2.0,,2.0,,8.0,,,1.0,251.0,2.0,,,
eu_bdt-ud-test,1799,0,82,,2.0,,1.0,,,,,,,,,1.0,77.0,,,1.0,
eu_bdt-ud-dev,1798,0,85,,2.0,,,,,,,,4.0,,,1.0,78.0,,,,
fi_ftb-ud-dev,1875,0,96,,,,,,,,,,94.0,,,,,,,2.0,
fi_ftb-ud-train,14981,0,672,,1.0,,,,,5.0,,,652.0,,1.0,,,,,13.0,
fi_ftb-ud-test,1867,0,88,,1.0,,,,,1.0,1.0,,84.0,,,,,,,1.0,
eme_tudet-ud-test,913,0,17,,,,,,,,,1.0,,,,,12.0,,,4.0,
aqz_tudet-ud-test,343,0,12,,,,,,,,,,,,,2.0,8.0,,,2.0,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,1.0,,,,
