Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,case:loc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,csubj,csubj:cop,csubj:outer,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,flat:range,flat:sibl,iobj,list,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,742,,,,,,,,1.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,,518.0,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,2.0,,,,,
sl_ssj-ud-dev,1250,0,804,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,229.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,,,8.0,4.0,,,,,,,1.0,,,,,
sl_ssj-ud-train,10903,0,6123,,,,,,,,1.0,,,,,,,,,,,,,77.0,,1.0,,,,,,,,,,,1.0,,9.0,,,,,,2.0,,1664.0,,,,,,,,,1.0,,,,,,4241.0,,,,,,,,,,,,,,,,74.0,27.0,,,,,,,23.0,,,2.0,,
xcl_caval-ud-train,3185,0,655,,14.0,,,,,,18.0,,,,,,,,,,,,,13.0,,9.0,,,,,2.0,6.0,,,,,,,1.0,,,,,,,,32.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,9.0,,,,,,,,23.0,,,3.0,,
xcl_caval-ud-dev,411,0,88,,4.0,,,,,,2.0,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
xcl_caval-ud-test,550,0,93,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,672,,3.0,,,,,,28.0,,,,,,,,,,,,11.0,9.0,,,,3.0,6.0,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,4.0,,,,,,,2.0,588.0,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,2.0,,
pl_pdb-ud-test,2215,0,1188,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,137.0,,,,,,,,243.0,,26.0,,,,,,,,,,,,,617.0,,153.0,,4.0,,,,,,,,,,,,1.0,,,2.0,2.0,,,,2.0,,,,,
pl_pdb-ud-train,17722,0,9855,,,,,,,2.0,5.0,,,,1.0,,,,,1.0,,,,2.0,,5.0,2.0,,,,,1.0,,,,,,,1236.0,,,,,,2.0,,2182.0,,230.0,3.0,,,,,,,,,,,1.0,4937.0,,1140.0,,55.0,,,,,,,,,,,,7.0,,,12.0,3.0,,,,24.0,,,2.0,2.0,
pl_pdb-ud-dev,2215,0,1214,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,163.0,,,,,,1.0,,260.0,,18.0,,,,,,,,,,,,,605.0,,152.0,,9.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,
uk_iu-ud-dev,673,0,269,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,69.0,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,4.0,,,,,
uk_iu-ud-train,5521,0,1944,,2.0,,,,,4.0,14.0,,,,,,,,1.0,,,,,35.0,,2.0,,,,,,,,,,,,,2.0,,,,6.0,6.0,,,408.0,,,,,,,,,,,,,,,1387.0,,,,,,,,,,,,,,,,30.0,11.0,7.0,,,,,,27.0,,1.0,1.0,,
uk_iu-ud-test,898,0,376,,,1.0,,,,,1.0,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,4.0,,,,1.0,,,,84.0,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,,,
sa_vedic-ud-test,2709,0,449,,6.0,,,,,4.0,2.0,,3.0,,,7.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,33.0,,,,,,,2.0,1.0,,,,,,,,10.0,,,,,3.0,114.0,,,1.0,,,45.0,,,109.0,2.0,,1.0,,,44.0,41.0,2.0,,,,,,,15.0,,,,,
sa_vedic-ud-train,21477,0,3843,,32.0,,4.0,1.0,2.0,48.0,20.0,,8.0,,,46.0,5.0,3.0,,,8.0,,5.0,13.0,,25.0,,,,,,5.0,,,,,,1.0,,284.0,,,,,8.0,,48.0,33.0,,,,,,,,158.0,,,,,3.0,876.0,,,9.0,,,430.0,1.0,5.0,872.0,17.0,,3.0,,,409.0,301.0,3.0,,,,,,,154.0,,,2.0,,1.0
sa_vedic-ud-dev,2996,0,506,,4.0,,,,,21.0,3.0,1.0,1.0,,,3.0,,,,,1.0,,1.0,1.0,,4.0,,,,,,,,,,,,,,26.0,,,,,1.0,,5.0,3.0,,,,,,,,22.0,,,,,,112.0,,,,,,52.0,,1.0,136.0,,,,2.0,,44.0,37.0,2.0,,,,,,,22.0,,,1.0,,
bn_bru-ud-test,56,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,552,,4.0,,,,,,5.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,1.0,,,,,3.0,,2.0,1.0,,,,,3.0,,178.0,,,,,,,,,,,,,,3.0,334.0,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,5.0,,,,,
hr_set-ud-train,6914,0,4191,,39.0,,,,,,27.0,,,,,,,,,,,,5.0,19.0,,20.0,,,,,,1.0,,,,,9.0,,21.0,10.0,,,,,7.0,1.0,1434.0,,,,,,,,,2.0,,,,,14.0,2426.0,,,,,,,,,,,,,,,,8.0,66.0,,,,,,,80.0,,,2.0,,
hr_set-ud-test,1136,0,655,,2.0,,,,,,2.0,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,4.0,,3.0,7.0,,,,,3.0,,228.0,,,,,,,,,,,,,,6.0,358.0,,,,,,,,,,,,,,,,5.0,13.0,,,,,,,17.0,,,2.0,,
orv_rnc-ud-dev,943,0,313,,3.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,36.0,,,,,,,,,,,,,,,209.0,,,,,,,,,,,,,,,21.0,8.0,2.0,,,,,,,22.0,,,,,
orv_rnc-ud-train,1868,0,911,,2.0,,,,,13.0,7.0,,,,,,,,,,,,,35.0,,4.0,,,,,,,,,,,,4.0,6.0,,,,,,1.0,,153.0,,,,,,,,,1.0,,,,,,501.0,,,,,,,,,,,,,,,56.0,11.0,5.0,,,,,,,108.0,1.0,,3.0,,
orv_rnc-ud-test,717,0,384,,4.0,,,,,6.0,8.0,,,,,,,,,,,,,28.0,,,,,,,,1.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,31.0,10.0,1.0,,,,,,,8.0,,,2.0,,
la_circse-ud-test,1263,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-test,1306,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,54,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,4.0,,,,,,,12.0,,,,,,,,3.0,1.0,,,,,,14.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,436,,,,,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,1.0,1.0,54.0,,,,,,,111.0,,,,,,,,19.0,1.0,,,,,,170.0,,,,,,,,,,,,,,,54.0,,,,,,,,,12.0,,,,,
tr_atis-ud-test,586,0,57,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,5.0,,,,,,,21.0,,,,,,,,3.0,,,,,,,13.0,,,,,,,,,,,,,,,9.0,,,,,,,,,2.0,,,,,
la_perseus-ud-test,939,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,442,,,,,,,,11.0,,,,,,,,,,,,8.0,,,,,,13.0,,,,,,,,2.0,,,1.0,,,,,,,21.0,,,,,,,,,,,,,,4.0,368.0,,,,,,,,,,,,,,,,,4.0,,,,,,,8.0,,,2.0,,
tr_kenet-ud-test,1643,0,512,,,,,,,,5.0,,,,,,,,,,,,1.0,,,3.0,,,42.0,,,,,,,,1.0,,,,,,,,,1.0,21.0,,,,,,,,,1.0,,,1.0,,4.0,427.0,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,
tr_kenet-ud-train,15398,0,3771,,8.0,,,,,,70.0,,,,,,,,,,,,80.0,3.0,,6.0,,1.0,95.0,,,,,,,,2.0,1.0,1.0,7.0,,,,,,11.0,179.0,,,,,,,,,5.0,,,2.0,,51.0,3128.0,,,,,,,,,,,,,,,,2.0,29.0,,,,,,,79.0,,,11.0,,
sms_giellagas-ud-test,230,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,3.0,,,,,
sms_giellagas-ud-train,20,0,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,366,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,12.0,,,,,,,,83.0,,,,,,,,,,,,,,,243.0,,22.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,385,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,,,,,,,,80.0,,,,,,,,,,,,,,,277.0,,19.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
sk_snk-ud-train,8483,0,1793,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,19.0,,,27.0,,,,,,,,337.0,,,,,,,,,,,,,,,1304.0,,78.0,,,,,,,,,,,,,,4.0,,,,,,,,19.0,,,,,
lt_hse-ud-train,153,0,35,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,
lt_hse-ud-test,55,0,16,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
lt_hse-ud-dev,55,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
