Treebank,Number of Sentences,Failures,Total,advcl,amod,appos,case,ccomp,compound,compound:preverb,compound:prt,conj,dep,discourse,fixed,flat,flat:foreign,flat:name,nmod,nmod:att,nmod:gobj,nmod:lmod,nmod:obl,nsubj,nsubj:cop,obj,obl,obl:agent,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,root,vocative,xcomp
hu_szeged-ud-dev,441,0,37,,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,30.0,,,3.0,,,,,,
hu_szeged-ud-test,449,0,32,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,24.0,,,5.0,,,,,,
hu_szeged-ud-train,910,0,61,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,57.0,,,1.0,,,,,,
fi_ood-ud-test,2122,0,262,,,1.0,,,,,,13.0,,1.0,,,,,17.0,,,,,,,1.0,217.0,,,,,7.0,1.0,4.0,,
sms_giellagas-ud-test,230,0,27,,,1.0,,,,,,,,,,,,,,,,,,1.0,,2.0,5.0,2.0,14.0,,1.0,,,,1.0,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
et_ewt-ud-train,5444,0,108,2.0,,,,,,,,8.0,,,,,,,7.0,,,,,,,,88.0,,,,,,1.0,2.0,,
et_ewt-ud-test,913,0,24,,,,,,,,,,,,,,,,3.0,,,,,,,,20.0,,,,,,,1.0,,
et_ewt-ud-dev,833,0,6,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,
si_stb-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
lt_alksnis-ud-test,684,0,4,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
lt_alksnis-ud-dev,617,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
olo_kkpp-ud-test,106,0,27,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,23.0,,,,,,,1.0,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,35,,,,,,,,,,,,,,,,3.0,,,,,,,,8.0,,24.0,,,,,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
vep_vwt-ud-test,103,0,18,,,,,,,,,2.0,,,,,,,,,,,,,,,16.0,,,,,,,,,
fi_tdt-ud-train,12217,0,2854,4.0,,24.0,1.0,2.0,,,2.0,183.0,,,,1.0,1.0,,404.0,,,,,,,2.0,2197.0,,,,,16.0,1.0,15.0,,1.0
fi_tdt-ud-test,1555,0,349,2.0,,1.0,,,,,,17.0,,,,,,,47.0,,,,,1.0,,2.0,275.0,,,,,,,4.0,,
fi_tdt-ud-dev,1364,0,316,,,,,,,,,25.0,,,,,,,35.0,,,,,,,,249.0,,,,,5.0,,2.0,,
myv_jr-ud-test,921,0,147,,,4.0,,,,,,1.0,,,5.0,,,,1.0,,,,,,1.0,,106.0,,23.0,,2.0,2.0,1.0,,,1.0
myv_jr-ud-train,1217,0,172,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,134.0,,26.0,,6.0,,,1.0,,
kpv_ikdp-ud-test,214,0,37,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,27.0,,7.0,,,,,1.0,,
kpv_lattice-ud-test,643,0,101,,,1.0,,1.0,,,,3.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,26.0,,56.0,,8.0,,,,1.0,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
fi_pud-ud-test,1000,0,279,,2.0,1.0,,,,,2.0,17.0,,,,,,,45.0,,2.0,,,,,1.0,209.0,,,,,,,,,
et_edt-ud-dev,3128,0,75,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,65.0,,,,,,,,,
et_edt-ud-train,24615,0,740,3.0,,3.0,,,,,,33.0,,,,,,,81.0,,,,,,,,612.0,,,,,2.0,3.0,3.0,,
et_edt-ud-test,3214,0,85,,,,,,,,,6.0,,,,1.0,,,11.0,,,,,,,,67.0,,,,,,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
koi_uh-ud-test,94,0,14,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,9.0,,2.0,,,,,
sme_giella-ud-train,2257,0,318,2.0,,1.0,,,,,,3.0,,,,,,,26.0,,,,,,,,286.0,,,,,,,,,
sme_giella-ud-test,865,0,195,2.0,,1.0,,,,,,19.0,,,,,,,8.0,,,,,,,,164.0,,,,,,1.0,,,
krl_kkpp-ud-test,228,0,68,,,,,,2.0,,,8.0,,,,,,,,,,,,,,,57.0,,,,,,,,,1.0
fi_ftb-ud-dev,1875,0,194,,,,,,,,5.0,10.0,1.0,,,,,,178.0,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,1800,3.0,,,,,,,57.0,72.0,8.0,,,,,,1630.0,,,,,,,4.0,,,,,,,,26.0,,
fi_ftb-ud-test,1867,0,207,,,,,,,,3.0,6.0,2.0,,1.0,,,,192.0,,,,,,,1.0,,,,,,,,2.0,,
