Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,ccomp,compound,compound:nn,compound:prt,csubj,csubj:cop,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,iobj,nmod,nmod:gobj,nsubj,nsubj:cop,nsubj:outer,nummod,obj,obl,orphan,parataxis,root,vocative,xcomp,xcomp:ds
fi_ood-ud-test,2122,0,829,,4.0,14.0,,7.0,1.0,,2.0,,,,,,1.0,,13.0,,,,32.0,,78.0,73.0,,,436.0,82.0,7.0,17.0,60.0,,2.0,
sah_yktdt-ud-test,299,0,25,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,18.0,,,,5.0,,,
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
et_ewt-ud-train,5444,0,2382,3.0,1.0,18.0,,7.0,6.0,12.0,,,,,,2.0,,,9.0,,,,48.0,,206.0,276.0,,,1463.0,237.0,7.0,9.0,75.0,2.0,1.0,
et_ewt-ud-test,913,0,420,,,6.0,,,,1.0,,,,,,,,,,,,,5.0,,45.0,47.0,,,269.0,30.0,,1.0,16.0,,,
et_ewt-ud-dev,833,0,309,,1.0,4.0,,,2.0,2.0,,,,,,,,,,,,,4.0,,29.0,42.0,,,192.0,22.0,,1.0,10.0,,,
olo_kkpp-ud-test,106,0,75,,,3.0,,1.0,,,,,,,,,,,,,,,2.0,,5.0,4.0,,,46.0,9.0,2.0,2.0,1.0,,,
olo_kkpp-ud-train,19,0,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,
vep_vwt-ud-test,103,0,55,,1.0,,,,,,,,,,,,,,,,,,1.0,,4.0,6.0,,,39.0,4.0,,,,,,
fi_tdt-ud-train,12217,0,6917,1.0,26.0,70.0,1.0,78.0,32.0,1.0,2.0,,1.0,,,,1.0,,307.0,4.0,1.0,,425.0,2.0,487.0,486.0,,,4082.0,526.0,22.0,16.0,340.0,,6.0,
fi_tdt-ud-test,1555,0,880,,5.0,12.0,,9.0,5.0,,,,,,,,,,43.0,,,,50.0,,57.0,61.0,,,549.0,49.0,1.0,1.0,36.0,,2.0,
fi_tdt-ud-dev,1364,0,745,,,7.0,,8.0,1.0,,1.0,,,,,,,,28.0,2.0,,,45.0,,51.0,66.0,,,424.0,66.0,,2.0,44.0,,,
ru_taiga-ud-train,16045,0,39,,,,,,,,,,,,,,,14.0,,,,,,,10.0,,,,7.0,7.0,,,1.0,,,
ru_taiga-ud-dev,946,0,3,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
