Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,case,ccomp,conj,discourse,flat,flat:foreign,flat:name,nmod,nmod:gobj,nmod:lmod,nmod:obl,nsubj,nsubj:cop,obj,obl,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,32,,,,,,,,,,,,,,,,1.0,,,,31.0,,,,,,,
hu_szeged-ud-test,449,0,34,,,,,1.0,,,2.0,,,,,,,,1.0,,,,30.0,,,,,,,
hu_szeged-ud-train,910,0,59,,,,,,,,2.0,,,,,,,,5.0,,,,51.0,,,,,1.0,,
fi_ood-ud-test,2122,0,223,,,,,2.0,,1.0,22.0,,,,,55.0,1.0,,,,,3.0,121.0,,,,8.0,4.0,6.0,
et_ewt-ud-train,5444,0,638,4.0,,5.0,,1.0,,2.0,40.0,,1.0,,,85.0,,,,,,,461.0,,,,1.0,4.0,34.0,
et_ewt-ud-test,913,0,133,,,,,,,,22.0,,,,,23.0,,,,,,,80.0,,,,2.0,,6.0,
et_ewt-ud-dev,833,0,99,,,,,,,1.0,11.0,,,,,20.0,,,,,,,59.0,,,,2.0,,6.0,
olo_kkpp-ud-test,106,0,13,,,,,,,,1.0,,,,,1.0,,,,,,,11.0,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
mdf_jr-ud-test,454,0,36,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,3.0,,22.0,5.0,,,2.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
vep_vwt-ud-test,103,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
fi_tdt-ud-train,12217,0,2572,,2.0,14.0,2.0,8.0,,5.0,259.0,,2.0,2.0,3.0,820.0,,,,1.0,,3.0,1403.0,,,,12.0,3.0,33.0,
fi_tdt-ud-test,1555,0,318,,1.0,4.0,,,,1.0,26.0,,,,,93.0,,,,,,1.0,187.0,,,,,,5.0,
fi_tdt-ud-dev,1364,0,296,,,,,2.0,,,40.0,,,,,86.0,,,,,,,163.0,,,,,,4.0,1.0
myv_jr-ud-test,921,0,94,,,1.0,,,,1.0,4.0,,,,,,,,,,,,72.0,,10.0,6.0,,,,
myv_jr-ud-train,1217,0,112,,,,,,1.0,,,,,,,2.0,,,,,,,60.0,,28.0,19.0,,,2.0,
kpv_ikdp-ud-test,214,0,12,,,,,,,,3.0,,,,,2.0,,,,,,,4.0,1.0,2.0,,,,,
kpv_lattice-ud-test,643,0,58,,,,,1.0,,,3.0,,,,,7.0,,,,1.0,,,25.0,1.0,18.0,,,,2.0,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
fi_pud-ud-test,1000,0,236,,,2.0,,2.0,,,24.0,,,,,99.0,,,,,,1.0,107.0,,,,,1.0,,
et_edt-ud-dev,3128,0,464,,1.0,,,4.0,,1.0,29.0,,1.0,,,118.0,,,,,,,307.0,,,,,,3.0,
et_edt-ud-train,24615,0,3743,8.0,1.0,20.0,,19.0,,6.0,244.0,,,,,922.0,,,,,2.0,,2454.0,,,,10.0,8.0,49.0,
et_edt-ud-test,3214,0,550,,,1.0,,2.0,,1.0,48.0,,,,,156.0,,,,,,,331.0,,,,2.0,4.0,5.0,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
koi_uh-ud-test,94,0,5,,,,,,,,,,,,,,,1.0,,,,,2.0,,2.0,,,,,
krl_kkpp-ud-test,228,0,13,,,,,,,,3.0,1.0,,,,,,,,,,,9.0,,,,,,,
fi_ftb-ud-dev,1875,0,171,,,,,,,,12.0,,,,,143.0,,,,7.0,1.0,1.0,,,,,,,6.0,1.0
fi_ftb-ud-train,14981,0,1603,2.0,,6.0,,,,1.0,93.0,,,,,1303.0,,,,106.0,19.0,24.0,,,,,,,48.0,1.0
fi_ftb-ud-test,1867,0,206,,,,,,,,16.0,,1.0,,,172.0,,,,12.0,1.0,2.0,,,,,,,2.0,
