Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred
sl_ssj-ud-test,1282,0,1414,,,,,,,,1.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,,,,,,,,,,,,43.0,,,,,,,131.0,,,253.0,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,10.0,,,,
sl_ssj-ud-dev,1250,0,1519,,2.0,,,,,,1.0,,,,,,,,,,,13.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,,,,,,,,,,,,43.0,,,,,,,134.0,,,235.0,,,,,,,,,,,,,,,,,13.0,6.0,,,,,,6.0,,,,
sl_ssj-ud-train,10903,0,11688,,4.0,,,,,,7.0,,,,,,,,,,,145.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,17.0,7873.0,,,,,,,,,,,,407.0,,,,2.0,,,1137.0,,,1922.0,,,,,,,,,,,,,,,,,51.0,38.0,,,,,,75.0,,4.0,,
xcl_caval-ud-train,3185,0,1066,,1.0,,,,,,2.0,,,,,,,,,,,26.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,707.0,,,,,,,,,,,,,,,,,,,6.0,,,269.0,,,26.0,,,,,,,,,,,,,,7.0,,,,,,,6.0,,5.0,,
xcl_caval-ud-dev,411,0,131,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,1.0,,,37.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
xcl_caval-ud-test,550,0,161,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,47.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,
hu_szeged-ud-dev,441,0,73,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,50,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,87,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-dev,2409,0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-test,1939,0,80,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-train,15696,0,1122,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,1067.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,
el_gud-ud-train,1071,0,157,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
el_gud-ud-test,736,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,482,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,343.0,,,116.0,,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,805,,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,64.0,20.0,,,358.0,,,39.0,5.0,1.0,,,,,154.0,,,144.0,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,
de_hdt-ud-test,18459,0,2029,,,,,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,8.0,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
de_hdt-ud-train,153035,0,18297,,1.0,,,,,,3.0,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17068.0,,,,,,,,,1.0,,,19.0,,,,,,,64.0,,,958.0,,,,,,,,,,,,,,,,,,2.0,,,,,,31.0,,,,
de_hdt-ud-dev,18434,0,3485,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311.0,,,,,,,,,3.0,,,,,,1.0,,,,21.0,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
sga_dipsgg-ud-test,64,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sv_talbanken-ud-dev,504,0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,132.0,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_talbanken-ud-test,1219,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
sv_talbanken-ud-train,4303,0,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,605.0,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ar_nyuad-ud-train,15789,0,108728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10568.0,,,3038.0,,,,,,,,,47827.0,,,210.0,,,,,,,46740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,
ar_nyuad-ud-dev,1986,0,13522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0,,,381.0,,,,,,,,,5973.0,,,19.0,,,,,,,5785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,
ar_nyuad-ud-test,1963,0,13523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.0,,,371.0,,,,,,,,,5850.0,,,28.0,,,,,,,5935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,
pl_pdb-ud-test,2215,0,2627,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,23.0,7.0,,,,,,,,,89.0,,,710.0,,629.0,,61.0,,,,,2.0,,,60.0,,,,,,,365.0,,,450.0,16.0,,179.0,,,,7.0,,,,,,,,,,,,,6.0,,,,10.0,,,,
pl_pdb-ud-train,17722,0,22460,,,,,,,,8.0,,,,,,,,,,,101.0,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,235.0,73.0,,,,,,,,,750.0,,,5945.0,,5231.0,,615.0,,,,,233.0,,,537.0,,,7.0,,,,2985.0,,,3811.0,149.0,,1552.0,,,,91.0,,,,,,,,,,12.0,,,52.0,9.0,,,52.0,,,,7.0
pl_pdb-ud-dev,2215,0,2799,,,,,,,,1.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,20.0,8.0,,,,,,,,,81.0,,,769.0,,639.0,,68.0,,,,,26.0,,,62.0,,,2.0,,,,357.0,,,495.0,28.0,,200.0,,,,10.0,,,,,,,,,,1.0,,,8.0,,,,7.0,,,,4.0
uk_iu-ud-dev,673,0,1202,,1.0,,,,,,3.0,,,,,,,,,,,18.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,855.0,,,,,,,,,,,,16.0,,,,,,,74.0,,,210.0,,,,,,,,,,,,,,,,,4.0,6.0,2.0,,,,,5.0,,,,
uk_iu-ud-train,5521,0,6811,,3.0,1.0,,,,1.0,20.0,,,,,,,1.0,,,1.0,128.0,,3.0,,,,4.0,,,,,,,,1.0,,,,,,1.0,,,1.0,2.0,4.0,,,,4.0,,2.0,20.0,1.0,,,4341.0,,,,,,,,,,,,88.0,,,,,,,547.0,,,1510.0,,,,,,,,,,,,,,,,,23.0,32.0,11.0,,,,,59.0,,1.0,,1.0
