Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,ccomp,clf,compound,compound:redup,conj,csubj,flat,iobj,list,nmod,nsubj,nsubj:outer,obj,obl,obl:freq,obl:tmod,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,9,,,,,,,,,1.0,,,,,,,,,8.0,,,,,
hu_szeged-ud-test,449,0,3,,,,,,,,,,,,,,,,,,3.0,,,,,
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
gub_tudet-ud-test,1182,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
lzh_tuecl-ud-test,100,0,25,,3.0,,,,,1.0,,,1.0,,,,,1.0,,8.0,,,8.0,2.0,1.0,
egy_ujaen-ud-test,721,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
mdf_jr-ud-test,454,0,5,,,,,,,,,,,,,,,,,,,3.0,1.0,,1.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,
myv_jr-ud-test,921,0,7,,,,1.0,,,,,1.0,,,,,,,,,3.0,,2.0,,,
myv_jr-ud-train,1217,0,7,,,,,,,,,,,,,,,,,,2.0,,5.0,,,
lzh_kyoto-ud-dev,6102,0,709,1.0,1.0,1.0,,,123.0,,2.0,54.0,,1.0,,,121.0,29.0,,72.0,,,291.0,,13.0,
lzh_kyoto-ud-train,74609,0,7688,7.0,8.0,14.0,,4.0,560.0,8.0,23.0,270.0,4.0,37.0,3.0,15.0,1562.0,417.0,28.0,857.0,,,3497.0,5.0,368.0,1.0
lzh_kyoto-ud-test,5528,0,453,,2.0,1.0,,,14.0,,,13.0,,2.0,,,91.0,18.0,1.0,43.0,,,254.0,1.0,13.0,
gu_gujtb-ud-test,187,0,4,,,,,,,,,,,,,,,,,,1.0,,3.0,,,
