,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,1.0,0.8944271909999159,0.7071067811865475,0.875,0.8333333333333334,0.8563488385776753,0.8164965809277261,0.7525766947068778,1.0,1.0
1,0.8944271909999159,0.9999999999999999,0.6324555320336758,0.7826237921249264,0.7453559924999299,0.7659416862050705,0.7302967433402215,0.6731250590586739,0.8944271909999159,0.8944271909999159
2,0.7071067811865475,0.6324555320336758,0.9999999999999998,0.7071067811865475,0.5892556509887896,0.6055300708194983,0.8660254037844388,0.9977851578566088,0.7071067811865475,0.7071067811865475
3,0.875,0.7826237921249264,0.7071067811865475,1.0,0.9166666666666667,0.9633924433998846,0.867527617235709,0.7408176838520828,0.875,0.875
4,0.8333333333333334,0.7453559924999299,0.5892556509887896,0.9166666666666667,1.0,0.9471737153965196,0.6804138174397718,0.6271472455890649,0.8333333333333334,0.8333333333333334
5,0.8563488385776753,0.7659416862050705,0.6055300708194983,0.9633924433998846,0.9471737153965196,1.0,0.762770071396474,0.6444681784528605,0.8563488385776753,0.8563488385776753
6,0.8164965809277261,0.7302967433402215,0.8660254037844388,0.867527617235709,0.6804138174397718,0.762770071396474,1.0000000000000002,0.8833096785389539,0.8164965809277261,0.8164965809277261
7,0.7525766947068778,0.6731250590586739,0.9977851578566088,0.7408176838520828,0.6271472455890649,0.6444681784528605,0.8833096785389539,1.0,0.7525766947068778,0.7525766947068778
8,1.0,0.8944271909999159,0.7071067811865475,0.875,0.8333333333333334,0.8563488385776753,0.8164965809277261,0.7525766947068778,1.0,1.0
9,1.0,0.8944271909999159,0.7071067811865475,0.875,0.8333333333333334,0.8563488385776753,0.8164965809277261,0.7525766947068778,1.0,1.0
