Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,csubj,dep,discourse,dislocated,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
hu_szeged-ud-dev,441,0,14,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,11.0,,,,,,
hu_szeged-ud-test,449,0,14,,1.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,
hu_szeged-ud-train,910,0,26,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,
ess_sli-ud-test,309,0,239,,,,,8.0,,,,,,168.0,,,,,,3.0,35.0,,25.0,,,,,,,
hit_hittb-ud-test,136,0,7,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,1.0,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,
mr_ufal-ud-train,373,0,6,,2.0,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,
wbp_ufal-ud-test,55,0,60,,,,,,,,,,,,,,,,,,17.0,,43.0,,,,,,,
nhi_itml-ud-test,909,0,336,7.0,3.0,3.0,,1.0,,,,,,1.0,,3.0,,,1.0,63.0,125.0,,101.0,18.0,,1.0,,6.0,3.0,
azz_itml-ud-test,1260,0,655,,1.0,14.0,,26.0,,2.0,5.0,,,,,8.0,,,5.0,93.0,134.0,,107.0,105.0,2.0,13.0,1.0,137.0,1.0,1.0
eu_bdt-ud-train,5396,0,8141,,39.0,448.0,13.0,168.0,81.0,132.0,606.0,29.0,115.0,28.0,2.0,,26.0,220.0,1.0,176.0,1749.0,9.0,3050.0,274.0,13.0,8.0,,603.0,16.0,335.0
eu_bdt-ud-test,1799,0,2700,,11.0,169.0,4.0,42.0,21.0,54.0,176.0,7.0,49.0,6.0,,,5.0,68.0,1.0,64.0,571.0,2.0,1022.0,91.0,,1.0,,208.0,7.0,121.0
eu_bdt-ud-dev,1798,0,2664,,13.0,162.0,2.0,46.0,28.0,49.0,159.0,14.0,37.0,10.0,3.0,1.0,4.0,78.0,,55.0,552.0,1.0,1006.0,115.0,1.0,1.0,,208.0,10.0,109.0
gu_gujtb-ud-test,187,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
