Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,csubj,dep,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
hu_szeged-ud-dev,441,0,232,,,3.0,,1.0,,,,,,,,,4.0,,,,22.0,2.0,,,198.0,2.0,,,,,
hu_szeged-ud-test,449,0,234,,,2.0,,4.0,,,,,,,,,6.0,,,,8.0,,,,210.0,2.0,2.0,,,,
hu_szeged-ud-train,910,0,455,,,2.0,,2.0,,,,,,,,,19.0,,,,22.0,,,,398.0,7.0,4.0,,1.0,,
fi_ood-ud-test,2122,0,392,,7.0,46.0,,1.0,,3.0,,5.0,,,,,1.0,,,,24.0,,2.0,,209.0,8.0,9.0,,69.0,,8.0
et_ewt-ud-train,5444,0,1033,,23.0,18.0,,1.0,,22.0,,,2.0,,,,5.0,,,,107.0,,2.0,,651.0,4.0,10.0,,131.0,,57.0
et_ewt-ud-test,913,0,246,,4.0,2.0,,,,1.0,,,,,,,,,,,23.0,,1.0,,172.0,4.0,5.0,1.0,26.0,,7.0
et_ewt-ud-dev,833,0,125,,6.0,4.0,,,,1.0,,,1.0,,,,,,,,13.0,,,,79.0,,1.0,,9.0,,11.0
si_stb-ud-test,100,0,13,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,,6.0,,,,2.0,,
olo_kkpp-ud-test,106,0,30,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,25.0,1.0,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
mdf_jr-ud-test,454,0,105,,,1.0,10.0,3.0,,,,,,,,,,,,,9.0,,,1.0,75.0,,,,6.0,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
vep_vwt-ud-test,103,0,43,,,,,,,,,,1.0,,,,,,,,7.0,,1.0,,28.0,,,,6.0,,
fi_tdt-ud-train,12217,0,4444,,235.0,351.0,1.0,18.0,,56.0,,16.0,6.0,,,,37.0,,,,503.0,1.0,26.0,,2749.0,11.0,15.0,,361.0,3.0,55.0
fi_tdt-ud-test,1555,0,534,,28.0,41.0,,3.0,,4.0,,5.0,1.0,,,,10.0,,,,58.0,,3.0,,325.0,1.0,2.0,,49.0,,4.0
fi_tdt-ud-dev,1364,0,483,,27.0,27.0,,3.0,,6.0,,,2.0,,,,6.0,,,,62.0,,1.0,,295.0,4.0,3.0,,40.0,,7.0
myv_jr-ud-test,921,0,228,,1.0,2.0,17.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,9.0,,,15.0,167.0,2.0,,,10.0,,
myv_jr-ud-train,1217,0,231,,1.0,2.0,23.0,2.0,,3.0,,,1.0,,,,,,,,8.0,1.0,,11.0,145.0,,,,34.0,,
kpv_ikdp-ud-test,214,0,48,,1.0,1.0,4.0,6.0,,,,,,,,1.0,,,,,3.0,,,,29.0,,,,3.0,,
kpv_lattice-ud-test,643,0,149,,1.0,7.0,29.0,7.0,,,,,1.0,,,,1.0,,4.0,1.0,2.0,,,,83.0,1.0,,,12.0,,
kpv_lattice-ud-train,20,0,2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
fi_pud-ud-test,1000,0,417,,17.0,26.0,,3.0,,6.0,,3.0,,,,2.0,7.0,,,,37.0,1.0,4.0,,274.0,,,,32.0,,5.0
et_edt-ud-dev,3128,0,899,3.0,13.0,14.0,,5.0,,5.0,,,3.0,,,,6.0,,,,152.0,,9.0,,582.0,9.0,11.0,,59.0,,28.0
et_edt-ud-train,24615,0,6852,,174.0,150.0,,32.0,,58.0,1.0,1.0,6.0,,,,44.0,,,,1128.0,2.0,36.0,,4576.0,34.0,54.0,,386.0,,170.0
et_edt-ud-test,3214,0,971,1.0,43.0,23.0,,1.0,,11.0,,,1.0,1.0,,,9.0,,,,116.0,1.0,6.0,,666.0,3.0,7.0,,58.0,,24.0
koi_uh-ud-train,34,0,4,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,
koi_uh-ud-test,94,0,14,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,9.0,,,,,,
krl_kkpp-ud-test,228,0,89,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,4.0,1.0,2.0,,72.0,,,,3.0,,2.0
eu_bdt-ud-train,5396,0,2742,,,310.0,34.0,17.0,1.0,1.0,25.0,4.0,1.0,5.0,,11.0,27.0,1.0,,,74.0,8.0,,,2188.0,11.0,,,5.0,,19.0
eu_bdt-ud-test,1799,0,921,,,108.0,4.0,12.0,,,12.0,,1.0,4.0,,1.0,14.0,,,,28.0,2.0,,,730.0,1.0,,,1.0,,3.0
eu_bdt-ud-dev,1798,0,921,,,98.0,7.0,4.0,1.0,,11.0,1.0,1.0,3.0,,5.0,6.0,,,,28.0,,,,748.0,2.0,,,1.0,,5.0
fi_ftb-ud-dev,1875,0,311,,7.0,17.0,,,,,,1.0,1.0,,2.0,2.0,1.0,,,,264.0,,,,,,,,10.0,,6.0
fi_ftb-ud-train,14981,0,2719,,51.0,241.0,,,,2.0,3.0,4.0,,3.0,11.0,12.0,6.0,,,,2202.0,,24.0,,,,,,115.0,,45.0
fi_ftb-ud-test,1867,0,364,,8.0,27.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,289.0,,6.0,,,,,,20.0,,8.0
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
