Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,compound,cop,csubj,dep,det,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,423,,,,,,8.0,,,,,,,,,,1.0,,2.0,4.0,,,1.0,133.0,,7.0,,259.0,6.0,1.0,,1.0,,
sl_ssj-ud-dev,1250,0,463,,,4.0,,,10.0,,,,,,,,,,,,1.0,7.0,,,,149.0,,13.0,,265.0,8.0,3.0,,3.0,,
sl_ssj-ud-train,10903,0,3423,,,3.0,,,54.0,,,1.0,,,,,,,,,6.0,61.0,,1.0,5.0,1047.0,,54.0,2.0,2121.0,41.0,16.0,,9.0,,2.0
xcl_caval-ud-train,3185,0,344,,,7.0,,,4.0,,,,,2.0,,1.0,,,,,,,,,,17.0,,2.0,,301.0,6.0,2.0,,2.0,,
xcl_caval-ud-dev,411,0,64,,1.0,4.0,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,50.0,,,,,,
xcl_caval-ud-test,550,0,56,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,3.0,,,,49.0,1.0,,,,,
hu_szeged-ud-dev,441,0,188,,,,1.0,,1.0,,,,,,,,,,,,,8.0,,,,14.0,,,,162.0,2.0,,,,,
hu_szeged-ud-test,449,0,149,,,,,,1.0,,,,,,,,,,,,,7.0,,,,8.0,,,,132.0,,,,1.0,,
hu_szeged-ud-train,910,0,202,,,,,,,,,,1.0,,,,,,,,,10.0,,,,9.0,,,,181.0,1.0,,,,,
xav_xdt-ud-test,171,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
tr_pud-ud-test,1000,0,175,,,13.0,,,1.0,,,,2.0,1.0,3.0,,,,,,,4.0,,,,19.0,,,21.0,111.0,,,,,,
fi_ood-ud-test,2122,0,33,,2.0,11.0,,,,,,,,,,,,,,,,,,,,2.0,,,,13.0,2.0,1.0,,2.0,,
pl_pdb-ud-test,2215,0,865,,48.0,1.0,,2.0,9.0,,,,10.0,,,,,7.0,,,24.0,8.0,180.0,,,158.0,,5.0,7.0,323.0,,14.0,,47.0,,22.0
pl_pdb-ud-train,17722,0,7045,,453.0,35.0,6.0,48.0,44.0,,,,118.0,,,12.0,,136.0,,,240.0,30.0,1277.0,,,1225.0,2.0,47.0,60.0,2572.0,4.0,108.0,,447.0,,181.0
pl_pdb-ud-dev,2215,0,885,,53.0,5.0,,8.0,4.0,,,,7.0,,,,,21.0,,,26.0,8.0,143.0,,,166.0,,7.0,10.0,341.0,,11.0,,51.0,,24.0
sah_yktdt-ud-test,299,0,5,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,
uk_iu-ud-dev,673,0,320,,3.0,2.0,1.0,,5.0,,,,3.0,,,,,,,,,8.0,,,,59.0,,3.0,4.0,162.0,1.0,13.0,,20.0,,36.0
uk_iu-ud-train,5521,0,2403,1.0,40.0,30.0,5.0,,32.0,,,1.0,13.0,2.0,,8.0,,6.0,,,2.0,44.0,,,1.0,460.0,,28.0,19.0,1283.0,18.0,41.0,,140.0,,229.0
uk_iu-ud-test,898,0,479,,6.0,7.0,,,5.0,,,,2.0,1.0,,3.0,,1.0,,,,19.0,,,,88.0,,2.0,3.0,266.0,5.0,9.0,,26.0,,36.0
sa_vedic-ud-test,2709,0,643,,19.0,4.0,1.0,,2.0,,,,5.0,,,1.0,,,,,,48.0,2.0,,,4.0,1.0,6.0,3.0,492.0,47.0,1.0,,7.0,,
