Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,csubj,dep,discourse,expl,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,21,,,,,,,,,,,,,,,1.0,,4.0,,,,16.0,,,,
hu_szeged-ud-test,449,0,32,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,26.0,2.0,,,
hu_szeged-ud-train,910,0,25,,,,,,,,,,,,,,,2.0,,3.0,,,,20.0,,,,
fi_ood-ud-test,2122,0,371,,17.0,15.0,1.0,,,7.0,,,2.0,,1.0,,,1.0,,15.0,,2.0,,254.0,5.0,4.0,45.0,2.0
et_ewt-ud-train,5444,0,984,,45.0,39.0,,4.0,,13.0,,,3.0,,,,,5.0,,46.0,,2.0,,673.0,2.0,10.0,142.0,
et_ewt-ud-test,913,0,191,,4.0,4.0,,,,1.0,,,2.0,,,,,6.0,,8.0,,5.0,,132.0,1.0,3.0,25.0,
et_ewt-ud-dev,833,0,145,,2.0,4.0,,,,2.0,,,1.0,1.0,,,,,,9.0,,,,90.0,,5.0,31.0,
olo_kkpp-ud-test,106,0,26,,,,,,,,,,,,,,,,,,3.0,,,19.0,3.0,1.0,,
vep_vwt-ud-test,103,0,38,,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1.0,30.0,,,2.0,
fi_tdt-ud-train,12217,0,2570,1.0,119.0,183.0,2.0,8.0,2.0,58.0,5.0,1.0,7.0,,,,,16.0,,198.0,,25.0,,1581.0,30.0,9.0,310.0,15.0
fi_tdt-ud-test,1555,0,294,,10.0,17.0,,4.0,,7.0,1.0,,,,,,1.0,3.0,,22.0,,3.0,,181.0,8.0,,35.0,2.0
fi_tdt-ud-dev,1364,0,302,,23.0,14.0,,3.0,1.0,8.0,,,1.0,,,,,,,28.0,,4.0,,175.0,5.0,2.0,36.0,2.0
fi_pud-ud-test,1000,0,242,,16.0,22.0,,1.0,,11.0,,,,,,,,4.0,,21.0,,2.0,,134.0,,2.0,27.0,2.0
et_edt-ud-dev,3128,0,875,,31.0,24.0,,6.0,,15.0,,,1.0,,,,,2.0,,71.0,1.0,11.0,,640.0,4.0,10.0,58.0,1.0
et_edt-ud-train,24615,0,6373,,222.0,149.0,,27.0,,127.0,2.0,,12.0,,,,4.0,37.0,,546.0,1.0,59.0,,4572.0,41.0,56.0,517.0,1.0
et_edt-ud-test,3214,0,853,,20.0,17.0,,4.0,,8.0,,,1.0,,,,2.0,6.0,,58.0,,8.0,,640.0,4.0,5.0,80.0,
krl_kkpp-ud-test,228,0,74,,,,,2.0,,,1.0,,,,,,1.0,,,,1.0,,,64.0,,1.0,3.0,1.0
fi_ftb-ud-dev,1875,0,277,,3.0,11.0,,,,,1.0,,,,,1.0,1.0,,,253.0,,,,,,,7.0,
fi_ftb-ud-train,14981,0,2024,,15.0,90.0,,,,,1.0,,,1.0,,11.0,,11.0,1.0,1843.0,,28.0,1.0,,,,22.0,
fi_ftb-ud-test,1867,0,262,,6.0,12.0,,,,,1.0,,,,,,,2.0,,230.0,,5.0,,,,,6.0,
