Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,conj,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,297,,,,,,4.0,,,,,,,,,,,,,,23.0,,2.0,139.0,,,26.0,,,59.0,42.0,1.0,,,1.0,,
sl_ssj-ud-dev,1250,0,298,,,1.0,,,4.0,,,,,,,,,,,,,,19.0,,4.0,120.0,,,39.0,,,77.0,32.0,2.0,,,,,
sl_ssj-ud-train,10903,0,2645,,,,,,18.0,,,,,,,,,,,,,1.0,234.0,9.0,37.0,1233.0,1.0,8.0,214.0,1.0,10.0,510.0,338.0,18.0,8.0,,5.0,,
xcl_caval-ud-train,3185,0,1264,,4.0,3.0,,,23.0,,,,6.0,,1.0,,,1.0,,,,,,,2.0,1125.0,,,19.0,,4.0,,48.0,20.0,1.0,,6.0,,1.0
xcl_caval-ud-dev,411,0,198,,,2.0,,,3.0,,,,1.0,,,,,,,,,,,,,184.0,,,2.0,,,,3.0,1.0,,,2.0,,
xcl_caval-ud-test,550,0,214,,,,,,1.0,,,,,,,,,1.0,,,,,,,,202.0,,,2.0,,1.0,,4.0,3.0,,,,,
hu_szeged-ud-dev,441,0,97,,,,,,1.0,,,,,,,,,,,,,,,,2.0,35.0,,,5.0,,,,54.0,,,,,,
hu_szeged-ud-test,449,0,70,,,,,,3.0,,,,,,,,,,,,,,,,1.0,14.0,,,3.0,,,1.0,46.0,1.0,,,,,1.0
hu_szeged-ud-train,910,0,146,,,1.0,,,,,,,,,,,,,,,,,,,2.0,56.0,,,5.0,,,,79.0,1.0,1.0,,1.0,,
xav_xdt-ud-test,171,0,23,,,,,,,,,,,,,,,,,,,,,,,20.0,,,1.0,2.0,,,,,,,,,
