Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,vocative,xcomp
fi_ood-ud-test,2122,0,1176,,24.0,34.0,,7.0,,9.0,4.0,,,,1.0,1.0,,3.0,14.0,,,37.0,181.0,3.0,561.0,92.0,8.0,23.0,157.0,,17.0
sah_yktdt-ud-test,299,0,26,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,18.0,,,,5.0,,
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
et_ewt-ud-train,5444,0,3433,,53.0,27.0,1.0,7.0,,7.0,16.0,,1.0,2.0,2.0,,,,23.0,,,76.0,587.0,31.0,2194.0,283.0,7.0,14.0,98.0,2.0,2.0
et_ewt-ud-test,913,0,590,,10.0,6.0,,,,,2.0,,,,,,,,,,,8.0,104.0,5.0,397.0,38.0,,1.0,19.0,,
et_ewt-ud-dev,833,0,442,,3.0,4.0,,,,2.0,2.0,,,,,,,,2.0,,,8.0,86.0,,290.0,22.0,,2.0,20.0,,1.0
olo_kkpp-ud-test,106,0,94,,,6.0,,1.0,,,,,,,,,,,,,,4.0,9.0,,57.0,9.0,3.0,4.0,1.0,,
olo_kkpp-ud-train,19,0,7,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,3.0,,,,,,
vep_vwt-ud-test,103,0,72,,1.0,,,,,,,,,,,,,,1.0,,,3.0,13.0,1.0,49.0,4.0,,,,,
fi_tdt-ud-train,12217,0,9612,1.0,467.0,288.0,2.0,102.0,,107.0,9.0,3.0,3.0,,3.0,1.0,,2.0,347.0,,,459.0,1144.0,99.0,5081.0,602.0,23.0,30.0,738.0,,101.0
fi_tdt-ud-test,1555,0,1280,,75.0,41.0,,13.0,,22.0,1.0,,,,,,,2.0,51.0,,,56.0,137.0,8.0,697.0,56.0,2.0,3.0,100.0,,16.0
fi_tdt-ud-dev,1364,0,1053,,45.0,33.0,,9.0,,12.0,1.0,,,,,,,,34.0,,,48.0,136.0,17.0,530.0,75.0,2.0,2.0,89.0,,20.0
ru_taiga-ud-train,16045,0,40,,,,,,,,,,,,,,,14.0,,,,,10.0,,8.0,7.0,,,1.0,,
ru_taiga-ud-dev,946,0,3,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,877,,37.0,18.0,,7.0,,7.0,1.0,,1.0,,,,,1.0,27.0,,,39.0,96.0,14.0,496.0,63.0,,5.0,59.0,,6.0
et_edt-ud-dev,3128,0,2131,,68.0,15.0,,17.0,,9.0,14.0,,1.0,,,,,,10.0,,,42.0,318.0,28.0,1376.0,183.0,4.0,12.0,34.0,,
et_edt-ud-train,24615,0,17110,,472.0,138.0,,89.0,,44.0,20.0,,3.0,,1.0,,,,77.0,,,393.0,2286.0,274.0,11344.0,1505.0,56.0,95.0,311.0,,2.0
et_edt-ud-test,3214,0,2451,,94.0,19.0,,20.0,,5.0,20.0,,,1.0,,,,,12.0,,,41.0,265.0,37.0,1672.0,193.0,7.0,21.0,44.0,,
ru_syntagrus-ud-train,69630,0,141,,,,,1.0,,,,,,,,,,29.0,,,,10.0,22.0,,1.0,73.0,1.0,2.0,2.0,,
ru_syntagrus-ud-dev,8906,0,20,,,,,,,,,,,,,,,2.0,,,,3.0,1.0,,,14.0,,,,,
ru_syntagrus-ud-test,8800,0,9,,,,,,,,,,,,,,,1.0,,,,,1.0,,,7.0,,,,,
ru_poetry-ud-dev,789,0,5,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,
ru_poetry-ud-train,3569,0,11,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,5.0,,1.0,1.0,,
krl_kkpp-ud-test,228,0,188,,2.0,2.0,,2.0,,,1.0,,,,,,,1.0,2.0,,,5.0,8.0,3.0,134.0,16.0,,3.0,9.0,,
eu_bdt-ud-train,5396,0,353,,4.0,34.0,2.0,1.0,,3.0,4.0,5.0,3.0,,,,,,,1.0,,9.0,61.0,,179.0,21.0,1.0,,16.0,,9.0
eu_bdt-ud-test,1799,0,136,,2.0,15.0,,,,1.0,,2.0,1.0,,,,,,,,,4.0,19.0,,64.0,9.0,,,10.0,1.0,8.0
eu_bdt-ud-dev,1798,0,119,,1.0,10.0,1.0,,1.0,3.0,1.0,,,,,,,,1.0,,,3.0,19.0,,51.0,7.0,2.0,,13.0,,6.0
fi_ftb-ud-dev,1875,0,973,,25.0,23.0,,,,8.0,5.0,,4.0,1.0,,,4.0,4.0,2.0,,1.0,116.0,144.0,14.0,475.0,,,,141.0,,6.0
fi_ftb-ud-train,14981,0,7782,,211.0,188.0,,,,72.0,56.0,1.0,15.0,5.0,,,54.0,29.0,28.0,,3.0,951.0,1204.0,83.0,3863.0,,,,955.0,,64.0
fi_ftb-ud-test,1867,0,1093,,35.0,36.0,,,,13.0,6.0,,1.0,,,,3.0,3.0,6.0,,,106.0,135.0,10.0,595.0,,,,133.0,,11.0
ru_gsd-ud-dev,579,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ru_gsd-ud-train,3850,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
