Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,compound,cop,csubj,dep,discourse,expl,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
hu_szeged-ud-dev,441,0,41,,,,,,,,2.0,,,,,,,1.0,,2.0,,,,36.0,,,,,,
hu_szeged-ud-test,449,0,42,,,,,1.0,,,1.0,,,,,,,1.0,,3.0,,,,36.0,,,,,,
hu_szeged-ud-train,910,0,82,,,,,1.0,,,2.0,,,,,,,2.0,,4.0,,,,73.0,,,,,,
fi_ood-ud-test,2122,0,389,,10.0,,,1.0,,1.0,,5.0,,,1.0,,,,,20.0,,2.0,1.0,250.0,8.0,3.0,,9.0,,78.0
sms_giellagas-ud-test,230,0,41,,,,7.0,1.0,,,,,,,,,,,,,1.0,,2.0,26.0,,,1.0,1.0,1.0,1.0
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
et_ewt-ud-train,5444,0,593,7.0,21.0,22.0,,,6.0,10.0,,52.0,2.0,,,,,,,9.0,,,,113.0,4.0,7.0,,73.0,,267.0
et_ewt-ud-test,913,0,109,,9.0,4.0,,,,5.0,,11.0,1.0,,,,,,,5.0,,,,25.0,1.0,1.0,,12.0,,35.0
et_ewt-ud-dev,833,0,84,,8.0,4.0,,,1.0,5.0,,6.0,2.0,,,,,,,1.0,,,,9.0,,2.0,,17.0,,29.0
si_stb-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
lt_alksnis-ud-test,684,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
lt_alksnis-ud-dev,617,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
olo_kkpp-ud-test,106,0,40,,,2.0,,,,3.0,,,,,,,,,,1.0,,,,26.0,,,,1.0,,7.0
mdf_jr-ud-test,454,0,50,,,3.0,6.0,,,,,,,,,,,,,3.0,,,,38.0,,,,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
vep_vwt-ud-test,103,0,29,,,,,,,,,,,,,,,,,2.0,,,,20.0,,,,1.0,,6.0
fi_tdt-ud-train,12217,0,4119,1.0,163.0,14.0,1.0,33.0,2.0,8.0,3.0,13.0,,,,,,13.0,,481.0,,57.0,2.0,2603.0,21.0,3.0,,42.0,,659.0
fi_tdt-ud-test,1555,0,499,,13.0,3.0,,2.0,,1.0,,3.0,,,,,,,,56.0,1.0,5.0,2.0,319.0,,,,8.0,,86.0
fi_tdt-ud-dev,1364,0,436,,21.0,,,,,,,2.0,,,,,,1.0,,44.0,,2.0,,287.0,5.0,,,4.0,,70.0
myv_jr-ud-test,921,0,192,,,1.0,21.0,4.0,,,,,,,,,5.0,,6.0,1.0,1.0,,,149.0,2.0,1.0,,,,1.0
myv_jr-ud-train,1217,0,198,,,1.0,13.0,3.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,175.0,,,,1.0,,
kpv_ikdp-ud-test,214,0,51,,,,11.0,,,,,,,,,,,,,,1.0,,,38.0,,,,1.0,,
kpv_lattice-ud-test,643,0,142,,,13.0,22.0,4.0,,1.0,,,,,,,,1.0,,2.0,2.0,,1.0,92.0,1.0,,,2.0,1.0,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
fi_pud-ud-test,1000,0,405,,8.0,,,2.0,,,2.0,1.0,,,,,2.0,8.0,,56.0,,7.0,1.0,255.0,,,,,,63.0
et_edt-ud-dev,3128,0,305,,10.0,12.0,,,3.0,8.0,1.0,16.0,,,,,,,,12.0,,,,84.0,,,,34.0,,125.0
et_edt-ud-train,24615,0,2840,6.0,92.0,110.0,,11.0,17.0,66.0,10.0,128.0,4.0,1.0,,,,,,115.0,,4.0,,795.0,3.0,19.0,,314.0,,1145.0
et_edt-ud-test,3214,0,365,2.0,16.0,14.0,,,1.0,9.0,3.0,22.0,,,,,,2.0,,15.0,,,,83.0,,3.0,,44.0,,151.0
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
koi_uh-ud-test,94,0,18,,,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,12.0,,,,,,
sme_giella-ud-train,2257,0,449,,,2.0,,1.0,,,,,,,,,,1.0,,27.0,,1.0,,417.0,,,,,,
sme_giella-ud-test,865,0,258,,,2.0,,3.0,,,,,,,,,,,,10.0,,,,242.0,,1.0,,,,
krl_kkpp-ud-test,228,0,80,,,,1.0,,,,2.0,,,,,,,,,2.0,,,,72.0,,,,,,3.0
fi_ftb-ud-dev,1875,0,315,,8.0,,,,1.0,13.0,5.0,,,2.0,,3.0,,,,221.0,,4.0,,,,,,1.0,,57.0
fi_ftb-ud-train,14981,0,2901,,98.0,12.0,,,,80.0,57.0,12.0,,17.0,,20.0,2.0,5.0,,2013.0,,47.0,4.0,,,,,44.0,,490.0
fi_ftb-ud-test,1867,0,363,,15.0,,,,,15.0,3.0,1.0,,2.0,,2.0,1.0,1.0,,243.0,,4.0,1.0,,,,,3.0,,72.0
