Treebank,Number of Sentences,Failures,Total,advcl,advmod,compound,csubj,dep,discourse,flat,mark,nmod,nummod,obj,obl,parataxis,root
ess_sli-ud-test,309,0,3,,,,,3.0,,,,,,,,,
gub_tudet-ud-test,1182,0,8,,,,,,,,,,,1.0,7.0,,
egy_ujaen-ud-test,721,0,3,,,,,,,,3.0,,,,,,
ky_ktmu-ud-test,701,0,9,1.0,3.0,,,,,,,4.0,,,1.0,,
tt_nmctt-ud-test,148,0,9,4.0,,,,,,,,,,,5.0,,
tr_gb-ud-test,2880,0,5,,,,,,,,,,,,5.0,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,1.0,,
ota_boun-ud-test,400,0,3,,,,,,,,,,,,3.0,,
qtd_sagt-ud-test,805,0,2,2.0,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,10,,,,,,,,,1.0,1.0,,5.0,2.0,1.0
qtd_sagt-ud-train,578,0,5,,,,,,,,,1.0,,,3.0,1.0,
tr_imst-ud-train,3435,0,23,1.0,1.0,1.0,,,,1.0,,5.0,,,14.0,,
tr_imst-ud-dev,1100,0,4,1.0,,1.0,,,,,,,,1.0,1.0,,
tr_imst-ud-test,1100,0,6,,,,,,,,,2.0,,,4.0,,
tr_boun-ud-dev,979,0,4,1.0,,,,,,,,,1.0,,2.0,,
tr_boun-ud-test,979,0,7,2.0,,1.0,,,,1.0,,1.0,,,2.0,,
tr_boun-ud-train,7803,0,41,2.0,,,1.0,,2.0,,,4.0,2.0,,29.0,,1.0
