Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,amod,appos,aux,ccomp,compound,cop,csubj,dep,expl,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,11,,,,1.0,,,,,,,,,,,2.0,,,,8.0,,,,
hu_szeged-ud-test,449,0,14,,,,,,,,1.0,,,,,,,1.0,,,,12.0,,,,
hu_szeged-ud-train,910,0,28,,,,1.0,,,,2.0,,,,,,,,,,,25.0,,,,
fi_ood-ud-test,2122,0,86,1.0,11.0,,,,,,1.0,,,,,,,1.0,,,,29.0,8.0,,2.0,33.0
et_ewt-ud-train,5444,0,451,8.0,12.0,,,1.0,,4.0,,1.0,,,,,,14.0,,3.0,,140.0,2.0,7.0,36.0,223.0
et_ewt-ud-test,913,0,92,2.0,2.0,,,,,1.0,,,,,,,,5.0,,1.0,,28.0,1.0,2.0,8.0,42.0
et_ewt-ud-dev,833,0,63,,,,,,,,,,,,,1.0,,1.0,,,,16.0,,1.0,4.0,40.0
gub_tudet-ud-test,1182,0,2,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
olo_kkpp-ud-test,106,0,10,,,,,,,,,,,,,,,,,,,7.0,3.0,,,
mdf_jr-ud-test,454,0,25,,,,,,,,,,,,,,,2.0,,,,9.0,,,2.0,12.0
vep_vwt-ud-test,103,0,3,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
fi_tdt-ud-train,12217,0,1068,9.0,115.0,,,6.0,4.0,17.0,1.0,3.0,,,,1.0,,112.0,,9.0,,296.0,7.0,1.0,8.0,479.0
fi_tdt-ud-test,1555,0,108,4.0,10.0,,,,,1.0,,,,,,,,16.0,,1.0,,26.0,1.0,,1.0,48.0
fi_tdt-ud-dev,1364,0,95,2.0,6.0,,,,,3.0,,,,,,,,14.0,,,,25.0,,,1.0,44.0
myv_jr-ud-test,921,0,56,3.0,4.0,13.0,,1.0,,,,,,,,,2.0,,,,,11.0,,,1.0,21.0
myv_jr-ud-train,1217,0,52,2.0,6.0,11.0,,,,,,,1.0,,,,3.0,,,,,5.0,,,5.0,19.0
kpv_ikdp-ud-test,214,0,3,,,1.0,,,,,,,,,,,,,,,,2.0,,,,
kpv_lattice-ud-test,643,0,7,,,6.0,,,,,,,,,,,,,,,,1.0,,,,
tpn_tudet-ud-test,581,0,61,2.0,3.0,,,,,,,,,1.0,,,,4.0,1.0,,1.0,43.0,,1.0,4.0,1.0
fi_pud-ud-test,1000,0,80,1.0,17.0,,,1.0,1.0,,,,,,,,,4.0,,,,11.0,,1.0,,44.0
et_edt-ud-dev,3128,0,384,9.0,4.0,,,,,1.0,,,1.0,,,1.0,,22.0,,1.0,,110.0,1.0,5.0,49.0,180.0
et_edt-ud-train,24615,0,3280,106.0,67.0,,,3.0,,26.0,,,5.0,,,3.0,,227.0,,30.0,,983.0,27.0,24.0,342.0,1437.0
et_edt-ud-test,3214,0,464,15.0,15.0,,,,,5.0,,,,,,,,28.0,,3.0,,163.0,,2.0,30.0,203.0
krl_kkpp-ud-test,228,0,10,,,,,,,,,,,,,,,,,,,9.0,,,,1.0
fi_ftb-ud-dev,1875,0,95,1.0,19.0,,,,,4.0,,,,1.0,1.0,,,64.0,,3.0,,,,,1.0,1.0
fi_ftb-ud-train,14981,0,846,23.0,208.0,,,,1.0,30.0,9.0,3.0,,1.0,,,,555.0,,5.0,2.0,,,,7.0,2.0
fi_ftb-ud-test,1867,0,95,3.0,27.0,,,,,1.0,,,,1.0,,,,62.0,,1.0,,,,,,
eme_tudet-ud-test,913,0,46,,,,,1.0,,,,,,1.0,,,,,,,11.0,20.0,,,13.0,
aqz_tudet-ud-test,343,0,14,,,,,1.0,,,,,,,,,,,,,,,,,13.0,
