Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,939,,,1.0,,,13.0,,,,,,,,,,,,,,1.0,2.0,,,,258.0,,12.0,,642.0,6.0,2.0,,2.0,,
sl_ssj-ud-dev,1250,0,1045,,,,,,17.0,,,,,,,,,,,,,,,4.0,,,,305.0,,24.0,,679.0,9.0,5.0,,2.0,,
sl_ssj-ud-train,10903,0,7884,,,1.0,9.0,,89.0,,,1.0,2.0,,,,,1.0,,1.0,,,12.0,23.0,2.0,2.0,,2182.0,1.0,140.0,,5240.0,112.0,34.0,,30.0,,2.0
xcl_caval-ud-train,3185,0,1075,,26.0,82.0,,,14.0,,,,26.0,,4.0,,10.0,,,,,,19.0,,1.0,,,48.0,,5.0,,777.0,20.0,,,37.0,,6.0
xcl_caval-ud-dev,411,0,140,,7.0,12.0,,,2.0,,,,2.0,,,,1.0,,,,,,2.0,,,,,11.0,,,,99.0,2.0,,,1.0,,1.0
xcl_caval-ud-test,550,0,150,,7.0,8.0,,,2.0,,,,1.0,,,,2.0,,,,,,9.0,,,,,7.0,,,,107.0,2.0,,,4.0,,1.0
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
fa_seraji-ud-dev,599,0,10,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
fa_seraji-ud-test,600,0,19,,,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
fa_seraji-ud-train,4798,0,119,,,24.0,79.0,,,,,,1.0,,1.0,,,,,,,,4.0,,,,,2.0,1.0,,1.0,5.0,,,,1.0,,
tr_pud-ud-test,1000,0,758,,3.0,31.0,,,11.0,,,,,3.0,8.0,2.0,,,,,,,,17.0,,,,8.0,,2.0,2.0,658.0,2.0,,,9.0,,2.0
pl_pdb-ud-test,2215,0,1498,,40.0,,,32.0,2.0,,,,,,,,,,25.0,,,,139.0,4.0,,,,340.0,,12.0,,896.0,2.0,4.0,,2.0,,
pl_pdb-ud-train,17722,0,12536,,338.0,9.0,,253.0,16.0,,,,7.0,,,,1.0,,222.0,,,,1274.0,37.0,2.0,,,3009.0,,86.0,1.0,7221.0,11.0,18.0,,27.0,,4.0
pl_pdb-ud-dev,2215,0,1581,,60.0,,,42.0,3.0,,,,,,,,,,27.0,,,,170.0,4.0,1.0,,,343.0,1.0,10.0,,914.0,3.0,1.0,,2.0,,
uk_iu-ud-dev,673,0,322,,1.0,4.0,,,3.0,,,,,,,,,,,,1.0,,,2.0,,,,79.0,,4.0,,217.0,3.0,2.0,,6.0,,
uk_iu-ud-train,5521,0,2363,2.0,10.0,17.0,1.0,,40.0,,,2.0,2.0,,5.0,,,,4.0,,,,7.0,25.0,,,2.0,489.0,,15.0,,1640.0,38.0,23.0,,38.0,1.0,2.0
uk_iu-ud-test,898,0,473,,2.0,2.0,,,10.0,,,,3.0,,,,1.0,,1.0,,,,8.0,6.0,,,4.0,110.0,,6.0,,309.0,6.0,,,5.0,,
sa_vedic-ud-test,2709,0,600,,21.0,52.0,,,,,,,1.0,,,,1.0,,,,2.0,,1.0,47.0,,,,5.0,17.0,3.0,4.0,371.0,50.0,4.0,,20.0,,1.0
sa_vedic-ud-train,21477,0,5036,,159.0,405.0,4.0,,14.0,,,,39.0,,,1.0,5.0,,,,2.0,,,367.0,10.0,,,83.0,200.0,24.0,3.0,3089.0,405.0,8.0,,215.0,,3.0
sa_vedic-ud-dev,2996,0,713,,36.0,52.0,1.0,,1.0,,,,6.0,,,,,,,,,,,35.0,3.0,,,10.0,30.0,1.0,2.0,456.0,51.0,2.0,,26.0,,1.0
bn_bru-ud-test,56,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,
hr_set-ud-dev,960,0,745,,9.0,5.0,,,2.0,,,1.0,1.0,,,,1.0,,,3.0,,,4.0,17.0,3.0,,1.0,258.0,,8.0,4.0,413.0,4.0,6.0,,5.0,,
hr_set-ud-train,6914,0,5766,,88.0,28.0,,,20.0,,,7.0,23.0,,,,1.0,,1.0,12.0,1.0,1.0,38.0,110.0,12.0,1.0,17.0,2052.0,4.0,31.0,20.0,3117.0,11.0,73.0,,94.0,,4.0
hr_set-ud-test,1136,0,900,,8.0,2.0,,,3.0,,,,2.0,,,,,,,5.0,,,4.0,19.0,3.0,,,336.0,,6.0,7.0,458.0,6.0,19.0,,20.0,,2.0
orv_rnc-ud-dev,943,0,583,,8.0,,,,33.0,,,,1.0,,,,,,,,1.0,,2.0,7.0,,,,56.0,,9.0,,425.0,13.0,3.0,,25.0,,
orv_rnc-ud-train,1868,0,1389,,30.0,8.0,,,88.0,,,,4.0,,2.0,,,,,,6.0,,12.0,19.0,1.0,,,183.0,2.0,22.0,1.0,861.0,15.0,9.0,,122.0,1.0,3.0
orv_rnc-ud-test,717,0,560,,16.0,11.0,,,53.0,,,,,,,,1.0,,,,1.0,,,19.0,1.0,,,60.0,,9.0,,366.0,10.0,1.0,,10.0,,2.0
la_circse-ud-test,1263,0,9,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,
grc_perseus-ud-test,1306,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_atis-ud-dev,572,0,108,,,,,,,,,,1.0,,1.0,,,,,,,,,12.0,,,,37.0,1.0,,,56.0,,,,,,
tr_atis-ud-train,4274,0,812,,,,,,,,,,,,4.0,,,,,,1.0,,1.0,112.0,,,,282.0,1.0,,,396.0,1.0,1.0,,13.0,,
tr_atis-ud-test,586,0,118,,,,,,,,,,1.0,,3.0,,,,,,,,,9.0,,,,55.0,,,,47.0,,,,3.0,,
hi_pud-ud-test,1000,0,4,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
la_perseus-ud-train,1334,0,12,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,,,,,,
tr_kenet-ud-dev,1646,0,448,,,11.0,,,,,,,,,13.0,,,,,2.0,,,,3.0,,,,21.0,,,4.0,380.0,,4.0,,8.0,,2.0
tr_kenet-ud-test,1643,0,518,,,5.0,,,,,,,3.0,,42.0,,,,,1.0,,,,,,1.0,,21.0,1.0,1.0,4.0,434.0,,3.0,,2.0,,
tr_kenet-ud-train,15398,0,3770,,8.0,70.0,,,3.0,,,,6.0,1.0,95.0,,,,,2.0,1.0,,1.0,9.0,,11.0,,182.0,5.0,2.0,52.0,3201.0,2.0,29.0,,79.0,,11.0
sms_giellagas-ud-test,230,0,33,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,22.0,,,1.0,4.0,,
sms_giellagas-ud-train,20,0,7,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
sk_snk-ud-dev,1060,0,463,,,,,,3.0,,,,,,,,,2.0,,,,,13.0,,,,,117.0,,6.0,,321.0,1.0,,,,,
