Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,cop,csubj,dep,discourse,expl,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,38,,,,,,,,,,,,,,,1.0,,,,37.0,,,,
hu_szeged-ud-test,449,0,38,,,,1.0,,,,,,,,,,,2.0,,,,35.0,,,,
hu_szeged-ud-train,910,0,72,,,,,,,,,,,,,1.0,,7.0,,,,63.0,,1.0,,
fi_ood-ud-test,2122,0,274,4.0,,,2.0,1.0,,,,,,,,,,69.0,,,3.0,167.0,13.0,5.0,8.0,2.0
et_ewt-ud-train,5444,0,820,25.0,8.0,,1.0,4.0,2.0,,1.0,,,,,5.0,,117.0,,4.0,1.0,594.0,2.0,4.0,47.0,5.0
et_ewt-ud-test,913,0,161,4.0,,,,,,,,,,,,2.0,,25.0,,3.0,,116.0,2.0,,8.0,1.0
et_ewt-ud-dev,833,0,133,,,,,2.0,,,,,,,,2.0,,25.0,,,,93.0,2.0,,9.0,
olo_kkpp-ud-test,106,0,22,,,,,,,,,,,,,,,1.0,,,,21.0,,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,
mdf_jr-ud-test,454,0,52,,6.0,10.0,1.0,,,,,,,,,1.0,,,,,1.0,31.0,,,2.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,
vep_vwt-ud-test,103,0,5,,,,,,,,,,,,,,,,,,,4.0,,,1.0,
fi_tdt-ud-train,12217,0,3305,206.0,15.0,,12.0,9.0,4.0,1.0,,,,,1.0,23.0,,1010.0,1.0,29.0,3.0,1894.0,16.0,4.0,43.0,34.0
fi_tdt-ud-test,1555,0,437,28.0,4.0,,,1.0,1.0,,,,,,1.0,2.0,,123.0,,4.0,1.0,256.0,,,9.0,7.0
fi_tdt-ud-dev,1364,0,376,26.0,,,2.0,2.0,,,,,,,,2.0,,108.0,,3.0,,221.0,,,7.0,5.0
myv_jr-ud-test,921,0,168,,15.0,30.0,1.0,1.0,,,,,,,,,,1.0,,,,119.0,,,1.0,
myv_jr-ud-train,1217,0,150,,11.0,15.0,,,,,,,,,,,,2.0,,,,119.0,,,3.0,
kpv_ikdp-ud-test,214,0,18,1.0,1.0,2.0,,,,,,,,,,,,4.0,,,,9.0,,,1.0,
kpv_lattice-ud-test,643,0,88,,,5.0,1.0,,,,,,,,,,1.0,11.0,1.0,,,64.0,,,5.0,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,
fi_pud-ud-test,1000,0,323,22.0,3.0,,2.0,,1.0,,,,,,,5.0,,125.0,,5.0,1.0,153.0,,1.0,,5.0
et_edt-ud-dev,3128,0,584,12.0,,,7.0,2.0,,,,,,,,5.0,,150.0,,7.0,,391.0,,,4.0,6.0
et_edt-ud-train,24615,0,4680,117.0,28.0,,28.0,8.0,3.0,1.0,,,,,,21.0,,1092.0,2.0,89.0,,3179.0,14.0,16.0,59.0,23.0
et_edt-ud-test,3214,0,668,20.0,2.0,,3.0,2.0,,,,1.0,,,,3.0,,172.0,,5.0,,444.0,2.0,5.0,7.0,2.0
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,
koi_uh-ud-test,94,0,7,,,2.0,,,,,,,,,,,,1.0,,,,4.0,,,,
krl_kkpp-ud-test,228,0,30,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,25.0,,,,
fi_ftb-ud-dev,1875,0,260,4.0,2.0,,,,,,,1.0,,9.0,,,,204.0,24.0,3.0,1.0,,,,7.0,5.0
fi_ftb-ud-train,14981,0,2300,61.0,12.0,,,2.0,,1.0,2.0,1.0,,73.0,4.0,9.0,2.0,1780.0,195.0,33.0,31.0,,,,59.0,35.0
fi_ftb-ud-test,1867,0,289,12.0,1.0,,,1.0,,1.0,1.0,,,9.0,,3.0,,232.0,21.0,2.0,2.0,,,,2.0,2.0
