Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,csubj,dep,fixed,flat,list,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,203,,,3.0,1.0,,,,,,,,19.0,2.0,,176.0,2.0,,,
hu_szeged-ud-test,449,0,172,,,1.0,2.0,,,,,,,,5.0,,,160.0,2.0,2.0,,
hu_szeged-ud-train,910,0,325,,,2.0,1.0,,,,,,,,14.0,,,303.0,,4.0,1.0,
fi_ood-ud-test,2122,0,243,,1.0,8.0,1.0,1.0,,,,,1.0,,19.0,,,154.0,4.0,7.0,46.0,1.0
et_ewt-ud-train,5444,0,745,,13.0,7.0,,11.0,,2.0,,,,,93.0,,,520.0,3.0,7.0,89.0,
et_ewt-ud-test,913,0,184,,1.0,2.0,,1.0,,,,,,,17.0,,,140.0,4.0,4.0,15.0,
et_ewt-ud-dev,833,0,95,,3.0,3.0,,,,1.0,,,,,11.0,,,68.0,,1.0,8.0,
si_stb-ud-test,100,0,13,,,,,,,,3.0,,,,1.0,1.0,,6.0,,,2.0,
olo_kkpp-ud-test,106,0,21,,1.0,,,,,,,,,,1.0,,,19.0,,,,
mdf_jr-ud-test,454,0,91,,,1.0,3.0,,,,,,,,9.0,,1.0,72.0,,,5.0,
vep_vwt-ud-test,103,0,31,,,,,,,1.0,,,,,1.0,,,25.0,,,4.0,
fi_tdt-ud-train,12217,0,2846,,20.0,61.0,9.0,26.0,,4.0,,,2.0,,359.0,,,2104.0,4.0,9.0,235.0,13.0
fi_tdt-ud-test,1555,0,335,,4.0,5.0,2.0,3.0,,,,,,,41.0,,,244.0,1.0,1.0,34.0,
fi_tdt-ud-dev,1364,0,315,,1.0,3.0,1.0,3.0,,1.0,,,,,52.0,,,226.0,3.0,2.0,21.0,2.0
myv_jr-ud-test,921,0,182,,,1.0,1.0,,1.0,,,1.0,1.0,,8.0,,,158.0,2.0,,9.0,
myv_jr-ud-train,1217,0,176,,,,2.0,3.0,,1.0,,,,,8.0,1.0,,136.0,,,25.0,
kpv_ikdp-ud-test,214,0,40,,1.0,,6.0,,,,,,,,2.0,,,28.0,,,3.0,
kpv_lattice-ud-test,643,0,97,,,1.0,6.0,,,,,,1.0,4.0,1.0,,,80.0,,,4.0,
kpv_lattice-ud-train,20,0,2,,,,1.0,,,,,,,,,,,1.0,,,,
fi_pud-ud-test,1000,0,263,,4.0,4.0,3.0,4.0,,,,2.0,,,28.0,,,197.0,,,21.0,
et_edt-ud-dev,3128,0,654,3.0,3.0,9.0,2.0,4.0,,2.0,,,1.0,,120.0,,,450.0,8.0,6.0,46.0,
et_edt-ud-train,24615,0,5077,,45.0,107.0,15.0,45.0,1.0,4.0,,,2.0,,924.0,2.0,,3572.0,24.0,35.0,297.0,4.0
et_edt-ud-test,3214,0,717,,7.0,16.0,1.0,10.0,,1.0,1.0,,1.0,,101.0,1.0,,530.0,1.0,5.0,42.0,
koi_uh-ud-train,34,0,2,,,,2.0,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,9,,,,1.0,,,,,,,,1.0,,,7.0,,,,
krl_kkpp-ud-test,228,0,62,,1.0,,,,2.0,,,,,,2.0,,,56.0,,,1.0,
eu_bdt-ud-train,5396,0,1880,,,41.0,13.0,,25.0,,4.0,,2.0,,45.0,5.0,,1736.0,8.0,,1.0,
eu_bdt-ud-test,1799,0,654,,,13.0,9.0,,11.0,,2.0,,1.0,,18.0,2.0,,597.0,1.0,,,
eu_bdt-ud-dev,1798,0,655,,,18.0,3.0,,11.0,,3.0,,,,19.0,,,599.0,2.0,,,
fi_ftb-ud-dev,1875,0,218,,,,,,,,,2.0,,,211.0,,,,,,5.0,
fi_ftb-ud-train,14981,0,1739,,,16.0,,,3.0,,,10.0,,,1685.0,,,,,,25.0,
fi_ftb-ud-test,1867,0,220,,,2.0,,,1.0,,1.0,,,,211.0,,,,,,5.0,
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,,,2.0,,,,
