Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,case,ccomp,clf,compound,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,742,,,1.0,,12.0,,,,,,,,,,,,,203.0,,,,518.0,4.0,2.0,,2.0,,
sl_ssj-ud-dev,1250,0,804,,,,,16.0,,,,,,,,,,,,,229.0,,,,546.0,8.0,4.0,,1.0,,
sl_ssj-ud-train,10903,0,6123,,,1.0,,77.0,,1.0,,,,,1.0,,9.0,,2.0,,1664.0,1.0,,,4241.0,74.0,27.0,,23.0,,2.0
xcl_caval-ud-train,3185,0,655,,14.0,18.0,,13.0,,9.0,,2.0,6.0,,,,1.0,,,,32.0,,,,525.0,9.0,,,23.0,,3.0
xcl_caval-ud-dev,411,0,88,,4.0,2.0,,2.0,,1.0,,,1.0,,,,,,,,9.0,,,,67.0,1.0,,,1.0,,
xcl_caval-ud-test,550,0,93,,5.0,1.0,,,,,,,2.0,,,,,,,,6.0,,,,76.0,,,,3.0,,
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
tr_pud-ud-test,1000,0,661,,3.0,28.0,,9.0,,,3.0,6.0,,,,,,2.0,,,8.0,,,2.0,588.0,1.0,,,9.0,,2.0
pl_pdb-ud-test,2215,0,1188,,,,,1.0,,,,,,,,,137.0,,,,269.0,,,,774.0,1.0,4.0,,2.0,,
pl_pdb-ud-train,17722,0,9855,,2.0,7.0,,2.0,,7.0,,,1.0,,,,1236.0,,2.0,,2415.0,,,1.0,6132.0,7.0,15.0,,24.0,,4.0
pl_pdb-ud-dev,2215,0,1214,,,,,3.0,,,,,,,,,163.0,,1.0,,278.0,,,,766.0,2.0,,,1.0,,
uk_iu-ud-dev,673,0,269,,1.0,3.0,,3.0,,,,,,,,1.0,,,,,69.0,,,,185.0,1.0,2.0,,4.0,,
uk_iu-ud-train,5521,0,1944,,6.0,15.0,,35.0,,2.0,,,,,,,2.0,12.0,,,408.0,,,,1387.0,30.0,18.0,,27.0,1.0,1.0
uk_iu-ud-test,898,0,376,,1.0,1.0,,7.0,,1.0,,,,,,,4.0,1.0,,,84.0,,,,269.0,4.0,,,4.0,,
sa_vedic-ud-test,2709,0,449,,10.0,15.0,,,,,,,,,,,1.0,33.0,,,3.0,10.0,,3.0,316.0,41.0,2.0,,15.0,,
sa_vedic-ud-train,21477,0,3838,,87.0,90.0,,13.0,,25.0,,,5.0,,,1.0,,284.0,8.0,,81.0,158.0,,3.0,2622.0,301.0,3.0,,154.0,,3.0
sa_vedic-ud-dev,2996,0,505,,25.0,9.0,,1.0,,4.0,,,,,,,,26.0,1.0,,8.0,22.0,,,347.0,37.0,2.0,,22.0,,1.0
bn_bru-ud-test,56,0,5,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,
hr_set-ud-dev,960,0,551,,4.0,5.0,,2.0,,1.0,,,1.0,,3.0,,2.0,1.0,3.0,,178.0,,,3.0,334.0,3.0,6.0,,5.0,,
hr_set-ud-train,6914,0,4186,,39.0,27.0,,19.0,,20.0,,,1.0,,9.0,,21.0,10.0,7.0,1.0,1434.0,2.0,,14.0,2426.0,8.0,66.0,,80.0,,2.0
hr_set-ud-test,1136,0,655,,2.0,2.0,,3.0,,2.0,,,,,4.0,,3.0,7.0,3.0,,228.0,,,6.0,358.0,5.0,13.0,,17.0,,2.0
orv_rnc-ud-dev,943,0,313,,8.0,,,5.0,,,,,,,,1.0,1.0,,,,36.0,,,,230.0,8.0,2.0,,22.0,,
orv_rnc-ud-train,1868,0,911,,15.0,7.0,,35.0,,4.0,,,,,,4.0,6.0,,1.0,,153.0,1.0,,,557.0,11.0,5.0,,108.0,1.0,3.0
orv_rnc-ud-test,717,0,384,,10.0,8.0,,28.0,,,,,1.0,,,,,,,,44.0,,,,272.0,10.0,1.0,,8.0,,2.0
la_circse-ud-test,1263,0,3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
grc_perseus-ud-test,1306,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_atis-ud-dev,572,0,53,,,,,,,1.0,,1.0,,,,,,4.0,,,15.0,1.0,,,31.0,,,,,,
tr_atis-ud-train,4274,0,427,,,,,,,,,4.0,,,,1.0,1.0,54.0,,,130.0,1.0,,,224.0,,,,12.0,,
tr_atis-ud-test,586,0,57,,,,,,,1.0,,3.0,,,,,,5.0,,,24.0,,,,22.0,,,,2.0,,
la_perseus-ud-test,939,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
la_perseus-ud-train,1334,0,5,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,
tr_kenet-ud-dev,1646,0,434,,,11.0,,,,,,13.0,,,2.0,,,1.0,,,21.0,,,4.0,368.0,,4.0,,8.0,,2.0
tr_kenet-ud-test,1643,0,511,,,5.0,,,,3.0,,42.0,,,1.0,,,,,1.0,21.0,1.0,1.0,4.0,427.0,,3.0,,2.0,,
tr_kenet-ud-train,15398,0,3691,,8.0,70.0,,3.0,,6.0,1.0,95.0,,,2.0,1.0,1.0,7.0,,11.0,179.0,5.0,2.0,51.0,3128.0,2.0,29.0,,79.0,,11.0
sms_giellagas-ud-test,230,0,15,,,,,,,,,,,,,,,,,,,,,,12.0,,,,3.0,,
sms_giellagas-ud-train,20,0,4,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,
sk_snk-ud-dev,1060,0,366,,,,,3.0,,,,,,2.0,,,12.0,,,,83.0,,,,265.0,1.0,,,,,
sk_snk-ud-test,1061,0,385,,,,,2.0,,,,,,2.0,,,3.0,,,,80.0,,,,296.0,1.0,,,1.0,,
sk_snk-ud-train,8483,0,1793,,,,,5.0,,,,,,19.0,,,27.0,,,,337.0,,,,1382.0,4.0,,,19.0,,
lt_hse-ud-train,153,0,35,,,1.0,,1.0,,,,,,,,,,,,,5.0,,,,25.0,,1.0,,2.0,,
lt_hse-ud-test,55,0,15,,,,,1.0,,,,,,,,,,,,,3.0,,,1.0,9.0,,,,1.0,,
lt_hse-ud-dev,55,0,7,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
sa_ufal-ud-test,230,0,42,,,2.0,,,,,,,,,,,,1.0,,,6.0,2.0,,,29.0,,,,2.0,,
be_hse-ud-train,22853,0,6227,3.0,13.0,11.0,,24.0,,27.0,,,3.0,1.0,,,65.0,1.0,,1.0,1701.0,2.0,,2.0,3946.0,24.0,62.0,,339.0,,2.0
be_hse-ud-dev,1301,0,466,1.0,2.0,,,2.0,,,,,,,,,14.0,,1.0,,128.0,,,,273.0,10.0,3.0,,32.0,,
be_hse-ud-test,1077,0,599,,2.0,,,1.0,,2.0,,,,,,,61.0,,,,238.0,,,,261.0,1.0,8.0,,25.0,,
gub_tudet-ud-test,1182,0,181,,,,,5.0,,,,,,,,,,,1.0,,29.0,,,1.0,140.0,,1.0,,4.0,,
cs_pud-ud-test,1000,0,599,,4.0,1.0,,5.0,,3.0,,1.0,,,,,26.0,2.0,,,170.0,,,,375.0,1.0,,,9.0,,2.0
orv_ruthenian-ud-test,390,0,160,,1.0,,,4.0,,,,,,,,,,1.0,,,16.0,,,1.0,126.0,6.0,1.0,1.0,3.0,,
orv_ruthenian-ud-train,2789,0,746,,4.0,9.0,,33.0,,4.0,,1.0,,,,1.0,,,,,108.0,5.0,,4.0,551.0,7.0,2.0,,15.0,,2.0
orv_ruthenian-ud-dev,344,0,44,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,1.0,34.0,1.0,1.0,,3.0,,
lzh_tuecl-ud-test,100,0,35,,,,,,,,,,,,,,,2.0,,,11.0,5.0,,7.0,8.0,,1.0,,1.0,,
ml_ufal-ud-test,218,0,71,,,,,,,,,,,,,,,3.0,,,10.0,2.0,,1.0,55.0,,,,,,
apu_ufpa-ud-test,161,0,13,,,,,1.0,,,,,,,,,,,,,,1.0,,,10.0,,,,1.0,,
egy_ujaen-ud-test,721,0,19,,,,,1.0,,,,,,,,1.0,,,,,11.0,3.0,,2.0,,,,,,1.0,
mr_ufal-ud-dev,46,0,8,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
mr_ufal-ud-train,373,0,41,,,,,,,,,,,,,,,,1.0,,1.0,,,,35.0,,1.0,,3.0,,
si_stb-ud-test,100,0,6,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,2.0,,
lt_alksnis-ud-test,684,0,145,,,,,3.0,,,,,,,,,,,,,1.0,,,,141.0,,,,,,
lt_alksnis-ud-dev,617,0,196,,,,,1.0,,,,,,,,,,3.0,,,1.0,,,,191.0,,,,,,
lt_alksnis-ud-train,2341,0,709,,,,,1.0,,,,,,1.0,,,,2.0,,,1.0,,,,703.0,,1.0,,,,
cu_proiel-ud-train,18327,0,2327,,55.0,54.0,,51.0,,10.0,,,,1.0,,11.0,1.0,,,,144.0,14.0,,13.0,1755.0,57.0,3.0,,98.0,,60.0
cu_proiel-ud-test,2096,0,286,,9.0,11.0,,5.0,,,,,,,,,,,,,14.0,,,2.0,223.0,2.0,,,10.0,,10.0
cu_proiel-ud-dev,2205,0,286,,12.0,11.0,,9.0,,,,,,,,,,,,,17.0,2.0,,,206.0,8.0,,,12.0,,9.0
hy_bsut-ud-train,1226,0,253,,2.0,2.0,,1.0,,,,2.0,,3.0,,,3.0,,,,23.0,,,,203.0,,6.0,,8.0,,
hy_bsut-ud-test,595,0,131,,2.0,2.0,,3.0,,,,3.0,,2.0,,,4.0,,,,9.0,,,,100.0,,3.0,,3.0,,
hy_bsut-ud-dev,479,0,124,,,,,1.0,1.0,,,2.0,,,,,4.0,,,,19.0,,,,95.0,,2.0,,,,
hsb_ufal-ud-test,623,0,287,,,1.0,,1.0,,,,,,,,,2.0,,,,110.0,,,3.0,162.0,7.0,1.0,,,,
hsb_ufal-ud-train,23,0,20,,,,,,,,,,,,,,,,,,8.0,,,,12.0,,,,,,
sr_set-ud-test,520,0,306,,1.0,2.0,,1.0,,2.0,,,,,1.0,,1.0,4.0,,,95.0,,,,186.0,,3.0,,10.0,,
sr_set-ud-train,3328,0,2057,,19.0,17.0,,8.0,,16.0,,,,,2.0,,2.0,6.0,,,682.0,2.0,,,1211.0,5.0,35.0,,51.0,,1.0
sr_set-ud-dev,536,0,311,,1.0,3.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,89.0,,,,204.0,,7.0,,1.0,,
myv_jr-ud-test,921,0,3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
myv_jr-ud-train,1217,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
tr_framenet-ud-test,205,0,38,,,5.0,,,,,,,,,,,,,,,6.0,1.0,,,26.0,,,,,,
tr_framenet-ud-train,2288,0,410,,,13.0,,,,2.0,,54.0,,,2.0,,,,,,51.0,2.0,,3.0,278.0,1.0,3.0,,1.0,,
tr_framenet-ud-dev,205,0,36,,,2.0,,,,,,3.0,,,,,,,,,3.0,,,1.0,27.0,,,,,,
ky_ktmu-ud-train,80,0,13,,,,,,,,,,,,,,,,,,2.0,,,,10.0,,,,1.0,,
ky_ktmu-ud-test,701,0,165,,,,,,,1.0,,1.0,1.0,,,,,,,,50.0,1.0,,,107.0,,,,4.0,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
kpv_lattice-ud-test,643,0,26,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,
tt_nmctt-ud-test,148,0,81,,,,,4.0,,,,,,,,,,1.0,,,5.0,,,,68.0,,1.0,,2.0,,
tr_gb-ud-test,2880,0,491,,4.0,4.0,,,,4.0,,7.0,3.0,,,,2.0,,,,30.0,,,,376.0,,,,61.0,,
ru_taiga-ud-train,16045,0,3378,,29.0,29.0,,9.0,,14.0,,1.0,2.0,,,,72.0,,,1.0,739.0,2.0,,1.0,2127.0,12.0,66.0,,272.0,,2.0
ru_taiga-ud-dev,946,0,228,,,1.0,,,,1.0,,,,,,,5.0,,,,42.0,,,,153.0,1.0,8.0,,17.0,,
ru_taiga-ud-test,881,0,161,,3.0,2.0,,1.0,,,,,1.0,,,,6.0,,,,32.0,,,,98.0,3.0,3.0,,12.0,,
tpn_tudet-ud-test,581,0,51,,1.0,3.0,,1.0,,,,,,,,,,,,,4.0,,,,38.0,,1.0,,3.0,,
cs_cltt-ud-dev,316,0,397,,1.0,,,1.0,,,,,,4.0,,,34.0,,,,159.0,3.0,,,193.0,1.0,,,,,1.0
