Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,clf,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
xcl_caval-ud-train,3185,0,454,,4.0,7.0,2.0,13.0,,,,,,,,,,1.0,,78.0,,,,334.0,8.0,,,7.0,,
xcl_caval-ud-dev,411,0,64,,,1.0,,,,,,1.0,,,,,,,,11.0,,,,48.0,1.0,,,2.0,,
xcl_caval-ud-test,550,0,106,,1.0,2.0,,1.0,,,,,,,,,,,,20.0,,,,81.0,1.0,,,,,
hu_szeged-ud-dev,441,0,15,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,
hu_szeged-ud-test,449,0,13,,,,1.0,,,,,,,,,,,,,,,,,12.0,,,,,,
hu_szeged-ud-train,910,0,30,,,,1.0,,,,,,,,,,,,,1.0,,,,28.0,,,,,,
tr_pud-ud-test,1000,0,260,,,13.0,1.0,1.0,,2.0,,,,,,,,,,35.0,1.0,,11.0,193.0,1.0,,,1.0,,1.0
fi_ood-ud-test,2122,0,30,,,1.0,,,,1.0,,,,,,,,,,3.0,,,,23.0,,,,2.0,,
sah_yktdt-ud-test,299,0,10,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,1.0,,
sa_vedic-ud-test,2709,0,178,,,13.0,1.0,1.0,,,,,,,1.0,,8.0,,,5.0,,,1.0,123.0,18.0,1.0,,6.0,,
sa_vedic-ud-train,21477,0,1246,,7.0,39.0,2.0,11.0,,,,,,,1.0,,86.0,,,13.0,,,3.0,886.0,133.0,5.0,,60.0,,
sa_vedic-ud-dev,2996,0,173,,3.0,7.0,,2.0,,,,,,,,,11.0,,,1.0,,,1.0,141.0,6.0,,,1.0,,
la_circse-ud-test,1263,0,1146,,,15.0,2.0,1.0,,,,,,,,,1.0,,,23.0,96.0,,2.0,975.0,14.0,,,16.0,,1.0
tr_atis-ud-dev,572,0,96,,,,,,,,,,,,,,6.0,,,45.0,,,,44.0,,,,1.0,,
tr_atis-ud-train,4274,0,653,,,,,,,6.0,,,,,,,32.0,,,265.0,,,1.0,342.0,,,,7.0,,
tr_atis-ud-test,586,0,93,,,,,,,1.0,,,,,,,6.0,,,49.0,,,,35.0,,,,2.0,,
la_perseus-ud-test,939,0,560,,1.0,3.0,,,,,,,,,,,,,,24.0,45.0,,68.0,411.0,,,,5.0,,3.0
la_perseus-ud-train,1334,0,1048,,,7.0,5.0,,,,,,,,,,,,,56.0,92.0,,143.0,738.0,,,,2.0,,5.0
tr_kenet-ud-dev,1646,0,375,,,32.0,,1.0,,28.0,,,,,,,,,,36.0,,,31.0,243.0,,1.0,,3.0,,
tr_kenet-ud-test,1643,0,349,,3.0,25.0,,6.0,,55.0,,,,,,,,,,49.0,,,11.0,186.0,,,,2.0,,12.0
tr_kenet-ud-train,15398,0,2653,,4.0,132.0,,28.0,1.0,135.0,,1.0,1.0,1.0,,,5.0,1.0,7.0,418.0,3.0,3.0,146.0,1725.0,2.0,1.0,,17.0,,22.0
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hit_hittb-ud-test,136,0,8,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,
