Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,compound,csubj,discourse,fixed,flat,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,13,,,,,,,,,,3.0,,,10.0,,,,
hu_szeged-ud-test,449,0,13,,,1.0,,,,,,,1.0,,,9.0,2.0,,,
hu_szeged-ud-train,910,0,15,,,,,,,,,,3.0,,,12.0,,,,
fi_ood-ud-test,2122,0,269,1.0,7.0,,5.0,,2.0,1.0,,,14.0,,,204.0,2.0,2.0,30.0,1.0
et_ewt-ud-train,5444,0,620,11.0,18.0,3.0,6.0,,3.0,,,1.0,32.0,,,481.0,2.0,6.0,57.0,
et_ewt-ud-test,913,0,127,,1.0,,1.0,,1.0,,,,7.0,,,105.0,1.0,2.0,9.0,
et_ewt-ud-dev,833,0,85,1.0,1.0,,2.0,,1.0,,,,8.0,,,62.0,,3.0,7.0,
olo_kkpp-ud-test,106,0,17,,,,,,,,,,,,,17.0,,,,
vep_vwt-ud-test,103,0,33,,,1.0,,,,,,,1.0,,1.0,30.0,,,,
fi_tdt-ud-train,12217,0,1848,19.0,40.0,6.0,26.0,2.0,3.0,,,1.0,174.0,,,1382.0,27.0,4.0,157.0,7.0
fi_tdt-ud-test,1555,0,208,,3.0,3.0,1.0,1.0,,,,,20.0,,,149.0,8.0,,22.0,1.0
fi_tdt-ud-dev,1364,0,219,,4.0,1.0,6.0,,1.0,,,,26.0,,,152.0,5.0,1.0,23.0,
fi_pud-ud-test,1000,0,178,3.0,4.0,,6.0,,,,,,19.0,,,125.0,,2.0,19.0,
et_edt-ud-dev,3128,0,698,6.0,17.0,6.0,5.0,,1.0,,,2.0,66.0,1.0,,545.0,4.0,7.0,37.0,1.0
et_edt-ud-train,24615,0,4949,37.0,103.0,23.0,49.0,,6.0,,4.0,,441.0,,,3901.0,35.0,31.0,319.0,
et_edt-ud-test,3214,0,634,2.0,10.0,,2.0,,,,2.0,,52.0,,,519.0,4.0,2.0,41.0,
krl_kkpp-ud-test,228,0,52,,,2.0,,1.0,,,,,,,,48.0,,1.0,,
fi_ftb-ud-dev,1875,0,161,,1.0,,,1.0,,,1.0,,152.0,,,,,,6.0,
fi_ftb-ud-train,14981,0,1206,,12.0,,,1.0,,,,2.0,1174.0,,1.0,,,,16.0,
fi_ftb-ud-test,1867,0,158,,1.0,,,1.0,,,,,153.0,,,,,,3.0,
