Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,csubj,dep,dislocated,fixed,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
hu_szeged-ud-dev,441,0,12,,,,,,,,,,,,,1.0,,1.0,10.0,,,,,,
hu_szeged-ud-test,449,0,13,,,,,,,,,,,,,,,,13.0,,,,,,
hu_szeged-ud-train,910,0,23,,,,,,,,,,,,,,,,23.0,,,,,,
ess_sli-ud-test,309,0,64,,,,6.0,,,,,,,,,1.0,32.0,25.0,,,,,,,
hit_hittb-ud-test,136,0,7,,,,,,,,,,,,,,2.0,4.0,,,,,1.0,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,2.0,,,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,1.0,2.0,,,,,,,
mr_ufal-ud-train,373,0,4,,,,,,1.0,,,,,,,,2.0,,1.0,,,,,,
wbp_ufal-ud-test,55,0,51,,,,,,,,,,,,,,11.0,40.0,,,,,,,
nhi_itml-ud-test,909,0,336,7.0,3.0,3.0,1.0,,,,1.0,3.0,,,1.0,63.0,125.0,101.0,18.0,,1.0,,6.0,3.0,
azz_itml-ud-test,1260,0,643,,1.0,14.0,26.0,2.0,5.0,,,8.0,,,5.0,92.0,123.0,107.0,105.0,2.0,13.0,1.0,137.0,1.0,1.0
eu_bdt-ud-train,5396,0,5362,,12.0,67.0,82.0,50.0,564.0,9.0,14.0,,6.0,14.0,,106.0,1248.0,2719.0,102.0,10.0,4.0,,285.0,6.0,64.0
eu_bdt-ud-test,1799,0,1758,,5.0,46.0,19.0,19.0,165.0,2.0,3.0,,2.0,2.0,,34.0,392.0,913.0,40.0,,,,97.0,1.0,18.0
eu_bdt-ud-dev,1798,0,1729,,7.0,23.0,20.0,16.0,150.0,3.0,6.0,1.0,1.0,4.0,,41.0,399.0,902.0,44.0,1.0,,,87.0,6.0,18.0
gu_gujtb-ud-test,187,0,2,,,,,,,,,,,,,,,2.0,,,,,,,
