Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,319,,,,6.0,,,,,1.0,,,,,,,104.0,,,,204.0,3.0,,,1.0,,
sl_ssj-ud-dev,1250,0,345,,,3.0,8.0,,,,,,,,,,,,132.0,,,,193.0,3.0,3.0,,3.0,,
sl_ssj-ud-train,10903,0,2594,,,2.0,46.0,,,,,,,,,,,,851.0,,,1.0,1657.0,19.0,12.0,,6.0,,
xcl_caval-ud-train,3185,0,256,,,1.0,4.0,,,,,,,,,,,,6.0,,,,237.0,6.0,2.0,,,,
xcl_caval-ud-dev,411,0,49,,1.0,2.0,4.0,,,,,,,,,,,,4.0,,,,38.0,,,,,,
xcl_caval-ud-test,550,0,46,,,,,1.0,,1.0,,,,,,,,,3.0,,,,40.0,1.0,,,,,
hu_szeged-ud-dev,441,0,153,,,,1.0,,,,,,,,,,,,9.0,,,,141.0,2.0,,,,,
hu_szeged-ud-test,449,0,116,,,,,,,,,,,,,,,,5.0,,,,110.0,,,,1.0,,
hu_szeged-ud-train,910,0,158,,,,,,,,,,,,,,,,6.0,,,,151.0,1.0,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_pud-ud-test,1000,0,125,,,2.0,1.0,,,,,,,,,,,,16.0,,,16.0,90.0,,,,,,
fi_ood-ud-test,2122,0,16,,,,,,,,,,,,,,,,2.0,,,,12.0,,1.0,,1.0,,
pl_pdb-ud-test,2215,0,677,,2.0,1.0,2.0,9.0,,,,,,16.0,,167.0,,,139.0,,,6.0,261.0,,14.0,,42.0,,18.0
pl_pdb-ud-train,17722,0,5403,,62.0,27.0,14.0,107.0,,10.0,,,,121.0,1.0,1169.0,,,1082.0,2.0,,46.0,2094.0,3.0,103.0,,404.0,,158.0
pl_pdb-ud-dev,2215,0,659,,8.0,4.0,,6.0,,,,,,15.0,1.0,134.0,,,146.0,,,7.0,263.0,,9.0,,49.0,,17.0
sah_yktdt-ud-test,299,0,5,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,
uk_iu-ud-dev,673,0,246,,2.0,,3.0,2.0,,,,,,,,,,,52.0,,,4.0,138.0,1.0,12.0,,9.0,,23.0
uk_iu-ud-train,5521,0,1805,1.0,25.0,15.0,27.0,6.0,1.0,4.0,,,,,6.0,,,,417.0,,,16.0,1037.0,13.0,27.0,,89.0,,121.0
uk_iu-ud-test,898,0,369,,5.0,2.0,5.0,2.0,,,,,,,1.0,,,,79.0,,,3.0,221.0,5.0,5.0,,15.0,,26.0
sa_vedic-ud-test,2709,0,466,,4.0,2.0,2.0,2.0,,,,,,,38.0,1.0,,,4.0,,,3.0,367.0,36.0,1.0,,6.0,,
sa_vedic-ud-train,21477,0,4290,,110.0,44.0,19.0,16.0,,3.0,,,,,412.0,3.0,,,47.0,1.0,,5.0,3323.0,244.0,4.0,,56.0,1.0,2.0
sa_vedic-ud-dev,2996,0,472,,8.0,7.0,,2.0,,,,,,,42.0,,,,8.0,,,,370.0,33.0,,,2.0,,
hr_set-ud-dev,960,0,214,,,,1.0,2.0,,,,,,4.0,,8.0,,,53.0,,,10.0,120.0,1.0,1.0,,3.0,,11.0
hr_set-ud-train,6914,0,1698,,4.0,,15.0,2.0,,,,4.0,,25.0,6.0,41.0,,4.0,529.0,1.0,,88.0,855.0,5.0,15.0,,25.0,,79.0
hr_set-ud-test,1136,0,261,,1.0,,6.0,,,,,,,4.0,1.0,5.0,,,72.0,1.0,,22.0,136.0,,2.0,,6.0,,5.0
orv_rnc-ud-dev,943,0,358,,,,11.0,,,,,,,,1.0,34.0,,,211.0,2.0,1.0,15.0,76.0,2.0,,,,,5.0
orv_rnc-ud-train,1868,0,875,,4.0,1.0,37.0,1.0,,,,,,,,180.0,,,272.0,3.0,,68.0,260.0,18.0,4.0,,13.0,,14.0
orv_rnc-ud-test,717,0,318,,3.0,,11.0,,,,,,,,,62.0,,,69.0,,,55.0,106.0,1.0,,,,,11.0
tr_atis-ud-dev,572,0,11,,,,,,,,,,,,,,,,3.0,,,,8.0,,,,,,
