Treebank,Number of Sentences,Failures,Total,advcl,appos,ccomp,compound,dep,discourse,fixed,flat,nmod,nsubj,obj,obl,orphan,parataxis,root,vocative,xcomp
hu_szeged-ud-dev,441,0,36,,,,1.0,,,,,2.0,,,33.0,,,,,
hu_szeged-ud-test,449,0,32,,1.0,,,,,,,2.0,,,29.0,,,,,
hu_szeged-ud-train,910,0,61,,1.0,,,,,,,2.0,,,58.0,,,,,
fi_ood-ud-test,2122,0,249,,1.0,,,,1.0,,,17.0,,1.0,217.0,7.0,1.0,4.0,,
sms_giellagas-ud-test,230,0,27,,1.0,,,,,,,,1.0,2.0,22.0,,,,1.0,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,1.0,,,,,
et_ewt-ud-train,5444,0,100,2.0,,,,,,,,7.0,,,88.0,,1.0,2.0,,
et_ewt-ud-test,913,0,24,,,,,,,,,3.0,,,20.0,,,1.0,,
et_ewt-ud-dev,833,0,6,,,,,,,,,1.0,,,5.0,,,,,
si_stb-ud-test,100,0,1,,,,,,,,,,,,1.0,,,,,
lt_alksnis-ud-test,684,0,4,,,,,,,,,,,,4.0,,,,,
lt_alksnis-ud-dev,617,0,1,,,,,,,,,,,,1.0,,,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,4.0,,,,,
olo_kkpp-ud-test,106,0,25,,,,,,,,,1.0,,,23.0,,,1.0,,
mdf_jr-ud-test,454,0,35,,,,,,,,,3.0,,,32.0,,,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,1.0,,,,,
vep_vwt-ud-test,103,0,16,,,,,,,,,,,,16.0,,,,,
fi_tdt-ud-train,12217,0,2670,4.0,24.0,2.0,2.0,,,,2.0,404.0,,2.0,2197.0,16.0,1.0,15.0,,1.0
fi_tdt-ud-test,1555,0,332,2.0,1.0,,,,,,,47.0,1.0,2.0,275.0,,,4.0,,
fi_tdt-ud-dev,1364,0,291,,,,,,,,,35.0,,,249.0,5.0,,2.0,,
myv_jr-ud-test,921,0,146,,4.0,,,,,5.0,,1.0,1.0,,131.0,2.0,1.0,,,1.0
myv_jr-ud-train,1217,0,172,,2.0,,,,,1.0,,1.0,1.0,,166.0,,,1.0,,
kpv_ikdp-ud-test,214,0,36,,,,,,,,,,1.0,,34.0,,,1.0,,
kpv_lattice-ud-test,643,0,98,,1.0,1.0,,,,,1.0,2.0,2.0,,90.0,,,,1.0,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,1.0,,,,,
fi_pud-ud-test,1000,0,260,,1.0,,2.0,,,,,47.0,,1.0,209.0,,,,,
et_edt-ud-dev,3128,0,70,,,,,,,,,5.0,,,65.0,,,,,
et_edt-ud-train,24615,0,707,3.0,3.0,,,,,,,81.0,,,612.0,2.0,3.0,3.0,,
et_edt-ud-test,3214,0,79,,,,,,,,1.0,11.0,,,67.0,,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,1.0,,,,,
koi_uh-ud-test,94,0,14,,1.0,,,,,,,,1.0,,12.0,,,,,
sme_giella-ud-train,2257,0,315,2.0,1.0,,,,,,,26.0,,,286.0,,,,,
sme_giella-ud-test,865,0,176,2.0,1.0,,,,,,,8.0,,,164.0,,1.0,,,
krl_kkpp-ud-test,228,0,60,,,,2.0,,,,,,,,57.0,,,,,1.0
fi_ftb-ud-dev,1875,0,184,,,,5.0,1.0,,,,178.0,,,,,,,,
fi_ftb-ud-train,14981,0,1728,3.0,,,57.0,8.0,,,,1630.0,,4.0,,,,26.0,,
fi_ftb-ud-test,1867,0,201,,,,3.0,2.0,,1.0,,192.0,,1.0,,,,2.0,,
