Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,case,ccomp,clf,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,122,,,,2.0,,,,,,,,,,,,48.0,,,22.0,,,22.0,27.0,,,,1.0,,
sl_ssj-ud-dev,1250,0,133,,,,2.0,,,,,,,,,,,,45.0,,,30.0,,,32.0,23.0,1.0,,,,,
sl_ssj-ud-train,10903,0,996,,,,13.0,,,,,,,,,1.0,,,409.0,,,141.0,,,202.0,217.0,2.0,6.0,,5.0,,
xcl_caval-ud-train,3185,0,270,,1.0,,20.0,,,,1.0,,,,,,,,209.0,,,10.0,,,,24.0,5.0,,,,,
xcl_caval-ud-dev,411,0,43,,,,,,1.0,,,,,,,,,,40.0,,,,,,,1.0,1.0,,,,,
xcl_caval-ud-test,550,0,38,,,,,,,,,,,,,,,,36.0,,,1.0,,,,1.0,,,,,,
hu_szeged-ud-dev,441,0,56,,,,1.0,,,,,,,,,,,,25.0,,,1.0,,,,29.0,,,,,,
hu_szeged-ud-test,449,0,39,,,,2.0,,,,,,,,,,,,10.0,,,,,,1.0,25.0,1.0,,,,,
hu_szeged-ud-train,910,0,84,,,1.0,,,,,,,,,,,,,36.0,,,,,,,46.0,,1.0,,,,
tr_pud-ud-test,1000,0,498,,6.0,5.0,,,5.0,,9.0,,2.0,,,,,2.0,85.0,,,38.0,,,110.0,205.0,,,,24.0,,7.0
de_hdt-ud-test,18459,0,2774,,,,24.0,,,,,,,,,,,,,,,889.0,2.0,2.0,225.0,1624.0,,,,7.0,,1.0
de_hdt-ud-train,153035,0,23968,,6.0,,202.0,,12.0,,,,,,,,,,,,,8087.0,51.0,5.0,1673.0,13838.0,,4.0,,88.0,,2.0
de_hdt-ud-dev,18434,0,9077,,6.0,4.0,35.0,,4.0,,,,1.0,,,,,,,,,3228.0,7.0,,620.0,5123.0,,1.0,,48.0,,
sga_dipsgg-ud-test,64,0,19,,,,,,,,,,,,,,,,,,,11.0,,,,2.0,,,,6.0,,
pl_pdb-ud-test,2215,0,96,,,,1.0,,,,,,,,,,,,74.0,,,6.0,,,,13.0,,,,2.0,,
pl_pdb-ud-train,17722,0,896,,1.0,,24.0,,,,,,,,,,,,725.0,,,37.0,,,1.0,105.0,1.0,1.0,,1.0,,
pl_pdb-ud-dev,2215,0,129,,,,1.0,,,,,,,,,,,,104.0,,,5.0,,,,19.0,,,,,,
sah_yktdt-ud-test,299,0,74,,,,,,,,3.0,,1.0,,,,,,1.0,,,2.0,2.0,,,65.0,,,,,,
uk_iu-ud-dev,673,0,44,,,,4.0,,,,,,,,,,,,7.0,,,6.0,,,22.0,3.0,,,,2.0,,
uk_iu-ud-train,5521,0,296,,,,22.0,,,,,,,,,,,2.0,95.0,,,24.0,,,139.0,8.0,,,,6.0,,
uk_iu-ud-test,898,0,73,,,1.0,4.0,,,,,,,,,,,1.0,14.0,,,9.0,,,31.0,3.0,,,,10.0,,
sa_vedic-ud-test,2709,0,255,,3.0,66.0,5.0,,3.0,,,,1.0,,,,,39.0,80.0,,,8.0,1.0,,1.0,23.0,11.0,2.0,,12.0,,
sa_vedic-ud-train,21477,0,2128,,24.0,559.0,19.0,,41.0,,,,1.0,,,,,446.0,492.0,,,63.0,5.0,,18.0,176.0,137.0,12.0,,130.0,,5.0
sa_vedic-ud-dev,2996,0,255,,5.0,67.0,3.0,,4.0,,,,1.0,,,,,50.0,49.0,,,3.0,1.0,,2.0,28.0,25.0,1.0,,16.0,,
hr_set-ud-dev,960,0,96,,,,1.0,,,,,,,,,,,,26.0,,,14.0,,,45.0,9.0,,1.0,,,,
hr_set-ud-train,6914,0,743,,,,10.0,,,,,,,,1.0,,,3.0,202.0,,,160.0,2.0,,269.0,91.0,3.0,1.0,,,,1.0
hr_set-ud-test,1136,0,147,,,,4.0,,,,,,,,,,,,35.0,,,37.0,,,59.0,11.0,,1.0,,,,
orv_rnc-ud-dev,943,0,285,,,,47.0,,,,,,,,,1.0,,,65.0,,,32.0,,,1.0,93.0,34.0,6.0,,6.0,,
orv_rnc-ud-train,1868,0,906,,2.0,2.0,149.0,,,,,,,,,1.0,,1.0,263.0,,,101.0,6.0,,7.0,331.0,27.0,1.0,,15.0,,
orv_rnc-ud-test,717,0,474,,,,106.0,,,,,,,,,,,2.0,121.0,,,33.0,6.0,,,181.0,6.0,1.0,,17.0,,1.0
la_circse-ud-test,1263,0,299,,,6.0,2.0,,,,,,,,,,,,,,,6.0,1.0,,,267.0,9.0,,,8.0,,
is_pud-ud-test,1000,0,1075,,11.0,6.0,11.0,,9.0,,1.0,,1.0,,,,,1.0,11.0,,,363.0,29.0,,115.0,483.0,,1.0,,28.0,,5.0
grc_perseus-ud-dev,1137,0,584,,3.0,,,,,,,,,,,,,,60.0,,,60.0,1.0,,110.0,332.0,,,,3.0,,15.0
grc_perseus-ud-train,11476,0,5253,,4.0,1.0,14.0,,,,,,,,,,,,549.0,,,389.0,6.0,,1088.0,3170.0,,,,7.0,,25.0
grc_perseus-ud-test,1306,0,545,,1.0,,,,,,,,,,,,,,39.0,,,65.0,,,100.0,329.0,,,,4.0,,7.0
tr_atis-ud-dev,572,0,33,,,,,,3.0,,6.0,,,,,,,,,,,,,,,21.0,,,,3.0,,
tr_atis-ud-train,4274,0,361,,,,,,3.0,,82.0,,,,,,,13.0,,,,39.0,,,2.0,220.0,,,,2.0,,
tr_atis-ud-test,586,0,49,,2.0,,,,,,8.0,,,,,,,5.0,,,,6.0,,,,22.0,,,,5.0,,1.0
la_perseus-ud-test,939,0,72,,,1.0,,,,,,,,,,,,,,,,4.0,,,,66.0,,,,1.0,,
la_perseus-ud-train,1334,0,162,,,,2.0,,,,,,,,,,,,,,,6.0,,,,154.0,,,,,,
tr_kenet-ud-dev,1646,0,909,,1.0,16.0,,,64.0,,87.0,,,,2.0,,,2.0,113.0,,,12.0,1.0,,31.0,579.0,,,,1.0,,
tr_kenet-ud-test,1643,0,925,,1.0,15.0,,,90.0,,206.0,,,,1.0,,,,1.0,7.0,,18.0,4.0,,100.0,478.0,,,,1.0,,3.0
tr_kenet-ud-train,15398,0,5783,,11.0,89.0,5.0,,363.0,1.0,527.0,,2.0,,5.0,,4.0,6.0,297.0,1.0,,189.0,12.0,3.0,357.0,3859.0,2.0,3.0,2.0,23.0,,22.0
sk_snk-ud-dev,1060,0,101,,,,,,,,,,,,,,,,,,,22.0,,,,79.0,,,,,,
sk_snk-ud-test,1061,0,108,,,,,,,,,,,,,,,,,,,18.0,,,,89.0,1.0,,,,,
sk_snk-ud-train,8483,0,396,,,,3.0,,,,,,,2.0,,,,,,,,55.0,,,,333.0,,,,3.0,,
lt_hse-ud-train,153,0,33,,,,,,,,,,,,,,,,8.0,,,15.0,,,6.0,3.0,,1.0,,,,
lt_hse-ud-test,55,0,9,,,,1.0,,,,,,,,,,,,1.0,,,4.0,,,1.0,1.0,,1.0,,,,
lt_hse-ud-dev,55,0,9,,,,,,,,,,,,,,,,4.0,,,,1.0,,3.0,,,1.0,,,,
hit_hittb-ud-test,136,0,37,,,,,,,,,,,,,,,,3.0,,,1.0,,,2.0,29.0,2.0,,,,,
sa_ufal-ud-test,230,0,7,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,2.0,,,,1.0,,
be_hse-ud-train,22853,0,1052,1.0,1.0,,15.0,,2.0,,,,,,,,,,723.0,,,117.0,1.0,,14.0,134.0,11.0,7.0,,19.0,,7.0
be_hse-ud-dev,1301,0,50,,,,1.0,,,,,,,,,,1.0,,36.0,,,6.0,,,1.0,4.0,,,,,,1.0
be_hse-ud-test,1077,0,62,,,,,,,,,,,,,,,,27.0,,,19.0,1.0,,4.0,7.0,2.0,,,2.0,,
gub_tudet-ud-test,1182,0,98,,,,4.0,,,,,,,,,,,,,,,3.0,,,1.0,90.0,,,,,,
cs_pud-ud-test,1000,0,149,,2.0,,1.0,,,,,,,,,,,,,,,42.0,,,,102.0,,,,2.0,,
orv_ruthenian-ud-test,390,0,243,,,,41.0,,,,,,,,,2.0,,,126.0,,,8.0,,,,44.0,3.0,1.0,,18.0,,
orv_ruthenian-ud-train,2789,0,1579,,1.0,2.0,423.0,,,,,,,,,2.0,,1.0,518.0,,,184.0,1.0,,2.0,270.0,31.0,,2.0,138.0,,4.0
orv_ruthenian-ud-dev,344,0,197,,,,67.0,,,,,,,,,,,,58.0,,,16.0,,,,20.0,,,,36.0,,
ml_ufal-ud-test,218,0,35,,,,,,,,,,,,,,,,6.0,,,5.0,6.0,,,18.0,,,,,,
apu_ufpa-ud-test,161,0,7,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,
de_pud-ud-test,1000,0,1190,,,,14.0,,,,29.0,,,,,,,,,,,318.0,,,,824.0,2.0,1.0,,2.0,,
sq_tsa-ud-test,60,0,4,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,
mr_ufal-ud-dev,46,0,7,,,,,,,,,,,,,,,,2.0,,,,2.0,,1.0,2.0,,,,,,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,1.0,,,,2.0,,2.0,,,,,,,
mr_ufal-ud-train,373,0,54,,,1.0,,,,,,,,,,,,,15.0,,,,11.0,,18.0,8.0,,,,1.0,,
si_stb-ud-test,100,0,10,,,,,,,,,,,1.0,,,,1.0,,,,,5.0,,,2.0,,,,1.0,,
lt_alksnis-ud-test,684,0,117,,,,,,,,,,,2.0,,,,1.0,,,,1.0,1.0,,,105.0,,6.0,,1.0,,
lt_alksnis-ud-dev,617,0,220,,,,1.0,,,,,,,,,,,6.0,,,,1.0,3.0,,,202.0,,7.0,,,,
lt_alksnis-ud-train,2341,0,531,,,,8.0,,,,,,,,,,,5.0,,,,1.0,8.0,,,485.0,,22.0,,2.0,,
cu_proiel-ud-train,18327,0,2860,,9.0,34.0,92.0,,5.0,,,,,,,2.0,4.0,,,,,569.0,284.0,,5.0,1762.0,46.0,,,33.0,2.0,13.0
cu_proiel-ud-test,2096,0,349,,3.0,13.0,12.0,,1.0,,,,,,,,2.0,,,,,57.0,39.0,,,210.0,4.0,,,7.0,,1.0
cu_proiel-ud-dev,2205,0,356,,2.0,5.0,12.0,,2.0,,,,,,,,1.0,,,,,81.0,35.0,,,205.0,9.0,,,2.0,,2.0
