Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,discourse,flat,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,32,,,,,,,1.0,,,31.0,,,,
hu_szeged-ud-test,449,0,32,,,1.0,,,,1.0,,,30.0,,,,
hu_szeged-ud-train,910,0,57,,,,,,,5.0,,,51.0,,1.0,,
fi_ood-ud-test,2122,0,201,,,2.0,1.0,,,56.0,,3.0,121.0,8.0,4.0,6.0,
et_ewt-ud-train,5444,0,598,4.0,5.0,1.0,2.0,,1.0,85.0,,,461.0,1.0,4.0,34.0,
et_ewt-ud-test,913,0,111,,,,,,,23.0,,,80.0,2.0,,6.0,
et_ewt-ud-dev,833,0,88,,,,1.0,,,20.0,,,59.0,2.0,,6.0,
olo_kkpp-ud-test,106,0,12,,,,,,,1.0,,,11.0,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,1.0,,,,
mdf_jr-ud-test,454,0,35,,,1.0,,,1.0,,,1.0,30.0,,,2.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,1.0,,,,
vep_vwt-ud-test,103,0,3,,,,,,,,,,3.0,,,,
fi_tdt-ud-train,12217,0,2311,2.0,14.0,8.0,5.0,,7.0,820.0,1.0,3.0,1403.0,12.0,3.0,33.0,
fi_tdt-ud-test,1555,0,292,1.0,4.0,,1.0,,,93.0,,1.0,187.0,,,5.0,
fi_tdt-ud-dev,1364,0,256,,,2.0,,,,86.0,,,163.0,,,4.0,1.0
myv_jr-ud-test,921,0,90,,1.0,,1.0,,,,,,88.0,,,,
myv_jr-ud-train,1217,0,111,,,,,,,2.0,,,107.0,,,2.0,
kpv_ikdp-ud-test,214,0,9,,,,,,,2.0,,,7.0,,,,
kpv_lattice-ud-test,643,0,55,,,1.0,,,,7.0,1.0,,44.0,,,2.0,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,2.0,,,,
fi_pud-ud-test,1000,0,212,,2.0,2.0,,,,99.0,,1.0,107.0,,1.0,,
et_edt-ud-dev,3128,0,435,1.0,,4.0,1.0,,1.0,118.0,,,307.0,,,3.0,
et_edt-ud-train,24615,0,3499,9.0,20.0,19.0,6.0,,,922.0,2.0,,2454.0,10.0,8.0,49.0,
et_edt-ud-test,3214,0,502,,1.0,2.0,1.0,,,156.0,,,331.0,2.0,4.0,5.0,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,2.0,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,1.0,,,,
koi_uh-ud-test,94,0,5,,,,,,,1.0,,,4.0,,,,
krl_kkpp-ud-test,228,0,10,,,,,1.0,,,,,9.0,,,,
fi_ftb-ud-dev,1875,0,159,,,,,,,143.0,8.0,1.0,,,,6.0,1.0
fi_ftb-ud-train,14981,0,1510,2.0,6.0,,1.0,,,1303.0,125.0,24.0,,,,48.0,1.0
fi_ftb-ud-test,1867,0,190,,,,,,1.0,172.0,13.0,2.0,,,,2.0,
