Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,dep,expl,fixed,nmod,nsubj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,10,,,,,,,,,3.0,,7.0,,,,
hu_szeged-ud-test,449,0,6,,,,,,,,,,,6.0,,,,
hu_szeged-ud-train,910,0,34,,,,,,,,,4.0,,30.0,,,,
fi_ood-ud-test,2122,0,32,4.0,,,1.0,,,,,1.0,,24.0,1.0,,1.0,
et_ewt-ud-train,5444,0,48,,2.0,,7.0,,,,,5.0,,17.0,,,17.0,
et_ewt-ud-test,913,0,13,,,,,,,,,,,5.0,,1.0,7.0,
et_ewt-ud-dev,833,0,7,,,,,,,,,2.0,,5.0,,,,
olo_kkpp-ud-test,106,0,3,,,,,,,,,,,3.0,,,,
mdf_jr-ud-test,454,0,1,,,,,,,,,,,1.0,,,,
vep_vwt-ud-test,103,0,6,,,,,,,,,5.0,,,,,1.0,
fi_tdt-ud-train,12217,0,405,45.0,1.0,1.0,13.0,,,,,14.0,,297.0,,2.0,30.0,2.0
fi_tdt-ud-test,1555,0,57,5.0,1.0,,1.0,,,,,3.0,,42.0,,1.0,4.0,
fi_tdt-ud-dev,1364,0,46,8.0,,,,1.0,,,,1.0,,32.0,,,4.0,
myv_jr-ud-test,921,0,3,,,,,,,,,,,2.0,,,1.0,
myv_jr-ud-train,1217,0,3,,1.0,,,,,,,,,2.0,,,,
kpv_lattice-ud-test,643,0,2,,,,,,,,,1.0,,1.0,,,,
fi_pud-ud-test,1000,0,37,2.0,,,,,,,,,,34.0,,,1.0,
et_edt-ud-dev,3128,0,20,1.0,,,,,,,,1.0,,12.0,,1.0,5.0,
et_edt-ud-train,24615,0,217,8.0,1.0,,2.0,,,,,26.0,,154.0,,2.0,24.0,
et_edt-ud-test,3214,0,27,,,,,,,,,1.0,,16.0,,,10.0,
koi_uh-ud-test,94,0,2,,,,,,,,,,,2.0,,,,
krl_kkpp-ud-test,228,0,6,,,,,,,,,1.0,1.0,4.0,,,,
eu_bdt-ud-train,5396,0,1,,,,,,,,,,,1.0,,,,
fi_ftb-ud-dev,1875,0,21,,,,,,,2.0,,19.0,,,,,,
fi_ftb-ud-train,14981,0,179,,,,,,1.0,11.0,1.0,166.0,,,,,,
fi_ftb-ud-test,1867,0,28,,,,,,,1.0,1.0,26.0,,,,,,
