Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,26,,,,,,,,,,,,,,,,,4.0,,,22.0,,,,,
sl_ssj-ud-dev,1250,0,24,,,,,,,,,,,,,,,,,7.0,,,17.0,,,,,
sl_ssj-ud-train,10903,0,186,,,,,,,,,,,,,,,1.0,,25.0,,,157.0,3.0,,,,
xcl_caval-ud-train,3185,0,275,9.0,12.0,,,15.0,,2.0,,,,,,,1.0,,,10.0,,,207.0,6.0,,,10.0,3.0
xcl_caval-ud-dev,411,0,27,2.0,1.0,,,1.0,,,,,,,,,,,,2.0,,,20.0,1.0,,,,
xcl_caval-ud-test,550,0,23,2.0,,,1.0,1.0,,,,,,,,,,,,,,,18.0,1.0,,,,
tr_pud-ud-test,1000,0,19,,,,,,,,,,,,,,,,,,,,19.0,,,,,
pl_pdb-ud-test,2215,0,48,,,,,,,,,,,,1.0,,,,,1.0,,,46.0,,,,,
pl_pdb-ud-train,17722,0,467,,1.0,,,,,,,,,,13.0,,,,,62.0,,,388.0,1.0,1.0,,1.0,
pl_pdb-ud-dev,2215,0,67,,,,,,,,,,,,3.0,,,,,6.0,,,56.0,,1.0,,1.0,
uk_iu-ud-dev,673,0,8,,,,,,,,,,,,,1.0,,,,,,,4.0,1.0,,,2.0,
uk_iu-ud-train,5521,0,93,,,,,,,,,,,,2.0,,,,,9.0,,,73.0,2.0,1.0,,5.0,1.0
uk_iu-ud-test,898,0,18,,,,,2.0,,,,,,,,1.0,,,,,,,14.0,,,,1.0,
sa_vedic-ud-test,2709,0,64,1.0,,,,,,,,,2.0,,,8.0,,,,,4.0,,44.0,1.0,2.0,,2.0,
sa_vedic-ud-train,21477,0,470,13.0,8.0,,1.0,10.0,,,,,,,,43.0,1.0,,,,16.0,,323.0,23.0,5.0,,27.0,
sa_vedic-ud-dev,2996,0,99,2.0,1.0,,,1.0,,,,,,,,8.0,2.0,,,1.0,4.0,2.0,76.0,,,,2.0,
hr_set-ud-dev,960,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,
hr_set-ud-train,6914,0,78,,,,,2.0,,,,,1.0,1.0,3.0,,1.0,,,12.0,,2.0,52.0,,1.0,,3.0,
hr_set-ud-test,1136,0,7,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,1.0,
orv_rnc-ud-dev,943,0,114,,,,,,,,,,,,,,,,,3.0,,,106.0,4.0,,,1.0,
orv_rnc-ud-train,1868,0,158,,,,,,,,,,2.0,,,,,,,7.0,1.0,1.0,139.0,1.0,2.0,,5.0,
orv_rnc-ud-test,717,0,62,,2.0,,,,,,,,1.0,,,,1.0,,,10.0,,,48.0,,,,,
sms_giellagas-ud-test,230,0,13,,,,,,,,,,,,,,,,,2.0,,,9.0,,,1.0,1.0,
sms_giellagas-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,
sk_snk-ud-dev,1060,0,8,,,,,,,,,,,,,,,,,,,,8.0,,,,,
sk_snk-ud-test,1061,0,9,,,,,,,,,,,,,,,,,2.0,,,7.0,,,,,
sk_snk-ud-train,8483,0,110,,,,,,,,,,,,,,,,,8.0,,,101.0,,,,1.0,
lt_hse-ud-train,153,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,
sa_ufal-ud-test,230,0,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
be_hse-ud-train,22853,0,271,3.0,,1.0,,1.0,,1.0,,,,,3.0,,2.0,,1.0,20.0,,,215.0,,5.0,,16.0,3.0
be_hse-ud-dev,1301,0,9,,,,,,,,,,,,,,,,,1.0,,,8.0,,,,,
be_hse-ud-test,1077,0,12,,,,,,,,,,,,1.0,,,,,3.0,,,8.0,,,,,
gub_tudet-ud-test,1182,0,54,,,,,,,,,,,,,,,,,,,,54.0,,,,,
cs_pud-ud-test,1000,0,13,1.0,,,,,,,,,,,,,,,,1.0,,,11.0,,,,,
orv_ruthenian-ud-test,390,0,35,1.0,,,,,,,,,,,,,,,,,,,34.0,,,,,
orv_ruthenian-ud-train,2789,0,298,,1.0,,,,,,,,,,,,,,,10.0,,,263.0,2.0,,,22.0,
orv_ruthenian-ud-dev,344,0,21,,,,,,,,,,,,,,,,,2.0,,,19.0,,,,,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,
si_stb-ud-test,100,0,3,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,
lt_alksnis-ud-test,684,0,8,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,
lt_alksnis-ud-dev,617,0,5,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,
lt_alksnis-ud-train,2341,0,55,,,,,,,,,,,,,,,,,27.0,,,28.0,,,,,
cu_proiel-ud-train,18327,0,724,26.0,42.0,,2.0,4.0,,,,,,,3.0,,,,,22.0,2.0,4.0,570.0,8.0,1.0,,24.0,16.0
