Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,csubj,dep,expl,fixed,mark,nmod,nsubj,obl,orphan,parataxis,root,xcomp
hu_szeged-ud-dev,441,0,2,,,,,,,,,,,,,,2.0,,,,
hu_szeged-ud-test,449,0,7,,,,,,,,,,,,1.0,,6.0,,,,
hu_szeged-ud-train,910,0,2,,,,,,,,,,,,,,2.0,,,,
fi_ood-ud-test,2122,0,55,,11.0,2.0,,,2.0,,,,,,,,27.0,,2.0,10.0,1.0
et_ewt-ud-train,5444,0,296,,23.0,17.0,,1.0,7.0,,,,,,13.0,,159.0,,3.0,73.0,
et_ewt-ud-test,913,0,39,,3.0,3.0,,,,1.0,,,,,,,20.0,,,12.0,
et_ewt-ud-dev,833,0,59,,1.0,3.0,,,,,1.0,,,,1.0,,27.0,,2.0,24.0,
olo_kkpp-ud-test,106,0,9,,,,,,,,,,,,,3.0,2.0,3.0,1.0,,
vep_vwt-ud-test,103,0,3,,1.0,,,,,,,,,,1.0,,,,,1.0,
fi_tdt-ud-train,12217,0,317,1.0,35.0,13.0,1.0,,26.0,2.0,,,,,1.0,,126.0,,4.0,102.0,6.0
fi_tdt-ud-test,1555,0,48,,4.0,4.0,,,5.0,,,,1.0,,,,25.0,,,8.0,1.0
fi_tdt-ud-dev,1364,0,32,,4.0,3.0,,,1.0,,,,,,,,14.0,,1.0,9.0,
fi_pud-ud-test,1000,0,24,,10.0,2.0,,,3.0,,,,,,,,2.0,,,6.0,1.0
et_edt-ud-dev,3128,0,106,,10.0,7.0,,,5.0,,,,,,4.0,,60.0,,2.0,18.0,
et_edt-ud-train,24615,0,837,,62.0,37.0,,,71.0,6.0,,,,,59.0,,429.0,,20.0,152.0,1.0
et_edt-ud-test,3214,0,145,,5.0,5.0,,,5.0,1.0,,,,,2.0,,88.0,,3.0,36.0,
krl_kkpp-ud-test,228,0,14,,,,,,,,,,,,,1.0,11.0,,,2.0,
fi_ftb-ud-dev,1875,0,81,,,1.0,,,,,,1.0,,,79.0,,,,,,
fi_ftb-ud-train,14981,0,507,,,2.0,,,,,,11.0,,1.0,493.0,,,,,,
fi_ftb-ud-test,1867,0,54,,,2.0,,,,,,,,,52.0,,,,,,
