appos='à',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,obl,nmod,xcomp,root,acl,advcl,advmod,ccomp,reparandum,obj,appos,orphan,dep,nummod,discourse,nsubj,csubj,mark,parataxis,vocative,iobj,dislocated,,,,,,,,,
Wasserstein, 0.50266, 0.01275, 0.03837, 0.01384, 0.01274, 0.00999, 0.00885, 0.01355, 0.02293, 0.05137, 0.00582, 0.05419, 0.00803, 0.01078, 0.01728, 0.05955, 0.00527, 0.08158, 0.02974, 0.02990, 0.00900, 0.00180,,,,,,,,,
Uniform, 0.63373, 0.17343, 0.07874, 0.02416, 0.02248, 0.01668, 0.01562, 0.01208, 0.00921, 0.00381, 0.00332, 0.00238, 0.00110, 0.00099, 0.00093, 0.00048, 0.00044, 0.00024, 0.00018, 0.00000, 0.00000, 0.00000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='dans',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,obl,nmod,root,reparandum,xcomp,advcl,appos,advmod,dep,obj,ccomp,acl,orphan,discourse,parataxis,nsubj,,,,,,,,,,,,,,,
Wasserstein, 0.66123, 0.05628, 0.00276, 0.00645, -0.00000, -0.00000, 0.00276, -0.00000, 0.00980, 0.05044, 0.00704, -0.00000, 0.08142, 0.02411, 0.03980, 0.05789,,,,,,,,,,,,,,,
Uniform, 0.78694, 0.13780, 0.02548, 0.02127, 0.00633, 0.00466, 0.00440, 0.00315, 0.00275, 0.00196, 0.00178, 0.00145, 0.00122, 0.00079, 0.00004, 0.00000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='par',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,obl,nmod,root,advmod,xcomp,reparandum,dep,advcl,orphan,obj,ccomp,parataxis,discourse,nsubj,appos,acl,compound,csubj,flat,iobj,nummod,punct,,,,,,,,,
Wasserstein, 0.50238, 0.04122, -0.00000, -0.00000, -0.00000, 0.02778, 0.00526, -0.00000, 0.06747, 0.09624, -0.00000, 0.06893, 0.00542, 0.02395, -0.00000, -0.00000, -0.00000, 0.00820, 0.00780, 0.02889, 0.09198, 0.02450,,,,,,,,,
Uniform, 0.74632, 0.13715, 0.05160, 0.01619, 0.01559, 0.01422, 0.00645, 0.00264, 0.00264, 0.00178, 0.00154, 0.00134, 0.00111, 0.00107, 0.00025, 0.00011, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='pour',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,obl,advcl,nmod,acl,root,xcomp,ccomp,reparandum,advmod,orphan,appos,mark,discourse,csubj,nummod,obj,dep,parataxis,dislocated,flat,nsubj,,,,,,,,,,
Wasserstein, 0.26430, 0.19913, 0.04783, 0.03896, 0.01429, -0.00000, 0.01348, 0.02020, 0.03145, 0.02977, 0.00270, 0.01062, 0.02885, 0.02198, 0.04986, 0.03636, 0.07162, 0.03508, 0.01289, 0.02051, 0.05014,,,,,,,,,,
Uniform, 0.41168, 0.29543, 0.15867, 0.04765, 0.02145, 0.01926, 0.01281, 0.01268, 0.01162, 0.00296, 0.00242, 0.00103, 0.00101, 0.00053, 0.00034, 0.00024, 0.00016, 0.00005, 0.00000, 0.00000, 0.00000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='en',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,obl,nmod,advcl,root,discourse,advmod,acl,ccomp,reparandum,xcomp,nummod,obj,appos,orphan,parataxis,mark,dislocated,aux,dep,nsubj,csubj,_,cc,compound,cop,expl,fixed,flat,iobj,punct,
Wasserstein, 0.26414, 0.01111, 0.00541, 0.02020, 0.00625, 0.03040, 0.00459, 0.00247, 0.00980, -0.00000, 0.02992, 0.07115, 0.03860, 0.14843, 0.05038, 0.01830, 0.02085, 0.00506, 0.00974, 0.03675, 0.02030, -0.00000, 0.01057, 0.00289, 0.02500, 0.00645, 0.01140, 0.04242, 0.06150, 0.03589,
Uniform, 0.54076, 0.17115, 0.08128, 0.07255, 0.03820, 0.02840, 0.02210, 0.01330, 0.01092, 0.00774, 0.00434, 0.00358, 0.00155, 0.00132, 0.00079, 0.00059, 0.00052, 0.00042, 0.00027, 0.00020, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='vers',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,advcl,advmod,appos,ccomp,iobj,nmod,obl,orphan,parataxis,root,,,,,,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000, 0.40000, 0.60000, -0.00000, -0.00000, -0.00000,,,,,,,,,,,,,,,,,,,,,
Uniform, 0.00284, 0.00568, 0.00284, 0.00893, 0.00000, 0.35741, 0.62160, 0.00035, 0.00035, 0.00000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='avec',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,acl,advcl,appos,ccomp,dep,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, -0.00000, 0.00084, 0.03838, 0.14078, 0.15333, 0.10000, 0.45556, 0.07986, 0.03125, -0.00000, -0.00000, -0.00000, -0.00000,,,,,,,,,,,,,,,,
Uniform, 0.00262, 0.00327, 0.00196, 0.00741, 0.00194, 0.32369, 0.00000, 0.00000, 0.62606, 0.00081, 0.00063, 0.00792, 0.01820, 0.00000, 0.00548,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='de',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
Wasserstein, -0.00000, 0.01126, 0.00351, 0.00340, 0.00259, 0.00472, 0.00211, 0.00127, 0.00429, 0.00133, 0.00441, 0.00095, 0.00684, 0.01241, 0.02094, 0.00743, 0.01655, 0.00514, 0.19718, 0.34385, 0.14982, 0.03203, 0.02109, 0.02964, 0.01322, 0.04728, 0.01252, 0.00455, 0.00804, 0.01999, 0.01163
Uniform, 0.00000, 0.02096, 0.00613, 0.01361, 0.00113, 0.00006, 0.00003, 0.00930, 0.00000, 0.00000, 0.00417, 0.00151, 0.03251, 0.00057, 0.00000, 0.00000, 0.00011, 0.00000, 0.00228, 0.67966, 0.00138, 0.00039, 0.01312, 0.14296, 0.00034, 0.00039, 0.00000, 0.01205, 0.01741, 0.00000, 0.03994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='sans',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,acl,advcl,advmod,ccomp,mark,nmod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp,,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, 0.25000, 0.08333, -0.00000, 0.11667, 0.17500, 0.20833, 0.11667, 0.05000, -0.00000, -0.00000, -0.00000, -0.00000,,,,,,,,,,,,,,,,,
Uniform, 0.01170, 0.24451, 0.01283, 0.00066, 0.00223, 0.21142, 0.00781, 0.43802, 0.00033, 0.00959, 0.02813, 0.02674, 0.00000, 0.00602,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='sous',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
