Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advmod,amod,appos,ccomp,clf,compound,conj,conj:expl,csubj,dep,dislocated,flat,iobj,nmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,vocative,xcomp
la_circse-ud-test,1263,0,229,,,,1.0,4.0,,31.0,1.0,1.0,,,42.0,3.0,1.0,,,,,39.0,,35.0,,7.0,9.0,18.0,1.0,13.0,5.0,6.0,,6.0,1.0,5.0
cs_pud-ud-test,1000,0,41,,,,,,,,1.0,,,,2.0,,,,,,,15.0,,17.0,,1.0,2.0,,2.0,1.0,,,,,,
lzh_tuecl-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,4,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
la_llct-ud-train,7289,0,52,,,,,,,49.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,12,,,,,,,,3.0,,,,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,2.0,,
orv_birchbark-ud-dev,1062,0,15,,,,,,,,2.0,,,,2.0,,,,,,1.0,,,4.0,,,,1.0,,,,1.0,,4.0,,
orv_birchbark-ud-test,1007,0,31,,,,,,,,4.0,,,,7.0,,,,1.0,,3.0,3.0,,7.0,,,1.0,2.0,,,,2.0,,1.0,,
cs_fictree-ud-dev,1309,0,6,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,
cs_fictree-ud-train,10160,0,39,,,,,,,,,1.0,,,4.0,,1.0,,,,,4.0,,24.0,,,2.0,,,2.0,,,,1.0,,
cs_fictree-ud-test,1291,0,8,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,2.0,,
la_udante-ud-train,926,0,144,,,,2.0,,,73.0,,,,,6.0,1.0,,,,,,31.0,,9.0,,1.0,1.0,13.0,1.0,4.0,,1.0,,,1.0,
la_udante-ud-test,419,0,151,,,4.0,,8.0,,24.0,1.0,,,,45.0,1.0,,,,1.0,,18.0,,14.0,,,7.0,7.0,1.0,5.0,,12.0,,,,3.0
la_udante-ud-dev,376,0,66,,,,,1.0,,21.0,1.0,,,,6.0,,,,,,,21.0,,3.0,,2.0,1.0,6.0,3.0,,,1.0,,,,
cs_pdt-ud-test,10146,0,168,,,1.0,2.0,,,1.0,4.0,,,,22.0,,,2.0,,3.0,,34.0,,75.0,,1.0,5.0,5.0,,10.0,,2.0,,1.0,,
cs_pdt-ud-dev,9270,0,152,,,,,,,,1.0,,,,23.0,,,4.0,,2.0,,34.0,,59.0,,,4.0,12.0,,6.0,,2.0,,5.0,,
cs_pdt-ud-train,68491,0,1235,1.0,,1.0,13.0,,,4.0,25.0,1.0,,,131.0,,1.0,12.0,,26.0,2.0,277.0,,487.0,,14.0,64.0,47.0,,96.0,,6.0,2.0,21.0,,4.0
lzh_kyoto-ud-dev,6102,0,543,,,,,,,3.0,,,,78.0,41.0,,,,,3.0,1.0,155.0,,96.0,1.0,,124.0,8.0,,,30.0,,1.0,2.0,,
lzh_kyoto-ud-train,74609,0,11651,,4.0,,5.0,,,37.0,,12.0,1.0,1290.0,931.0,,,,,28.0,22.0,2769.0,,2489.0,25.0,1.0,2964.0,138.0,,,838.0,,6.0,90.0,,1.0
lzh_kyoto-ud-test,5528,0,1083,,1.0,,1.0,,,,,,,73.0,67.0,,,,,,3.0,354.0,,199.0,,,277.0,14.0,,,88.0,,,6.0,,
la_ittb-ud-dev,2101,0,17,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,9.0,1.0,,,,,4.0,,
la_ittb-ud-test,2101,0,10,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,4.0,,,,,,2.0,,
la_ittb-ud-train,22775,0,338,,,,1.0,,1.0,6.0,,,,,3.0,,,,,9.0,,109.0,,14.0,,,,176.0,,3.0,,1.0,,15.0,,
cs_cac-ud-train,23478,0,130,,,,1.0,,,,1.0,,,,18.0,,,,,2.0,,38.0,,50.0,,,5.0,4.0,,7.0,,,,4.0,,
cs_poetry-ud-test,297,0,9,,,,,,,,,,,,1.0,,,,,,,1.0,,5.0,,,,,,,,,,1.0,,1.0
