Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:relcl,advmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:comp,dep:conj,dep:redup,discourse,dislocated,fixed,flat,flat:foreign,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
orv_rnc-ud-dev,943,0,84,,4.0,5.0,12.0,,,,,,,,,2.0,,,,,33.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,13,,3.0
orv_rnc-ud-train,1868,0,374,,18.0,17.0,69.0,,,,1.0,,,,,18.0,,,,,112.0,,8.0,,,,,,,2.0,,,,,,,,,2.0,1.0,,,,,,20.0,1.0,,,77,,28.0
orv_rnc-ud-test,717,0,158,,6.0,7.0,25.0,,,,,,,,,9.0,,,,,51.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,35,,17.0
he_iahltwiki-ud-train,4298,0,1208,,14.0,338.0,57.0,,,,1.0,3.0,,,,37.0,,,,,193.0,,11.0,3.0,1.0,,,,,,8.0,,,,,2.0,,,,,,5.0,,,,36.0,,,,471,,28.0
he_iahltwiki-ud-dev,348,0,75,,2.0,19.0,4.0,,,,,,,,,3.0,,,,,18.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,25,,2.0
he_iahltwiki-ud-test,393,0,102,,1.0,31.0,6.0,,,,,2.0,,,,5.0,,,,,11.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,1.0,,,,40,,
grc_perseus-ud-dev,1137,0,1155,,40.0,,322.0,,,,,1.0,,,,81.0,,,,,176.0,7.0,28.0,,,,,,,,,,,,,90.0,,,20.0,,,9.0,,,,,,,,272,1.0,108.0
grc_perseus-ud-train,11476,0,7858,,273.0,,1822.0,,,,,22.0,,,,286.0,,,,,1183.0,65.0,60.0,,,,,,,,,,,,,372.0,,,28.0,,,20.0,,,,16.0,,,,3089,6.0,616.0
grc_perseus-ud-test,1306,0,895,,35.0,,241.0,,,,,,,,,80.0,,,,,94.0,4.0,8.0,,,,,,,,,,,,,104.0,,,9.0,,,16.0,,,,2.0,,,,225,,77.0
hit_hittb-ud-test,136,0,19,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,14,,
sa_ufal-ud-test,230,0,15,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,8,,
be_hse-ud-train,22853,0,4740,19.0,88.0,403.0,203.0,,,,,7.0,,,,189.0,,,,,673.0,,114.0,1.0,,,,,,1.0,,1.0,,,2.0,21.0,,,,,,,,,,204.0,,,,2471,,343.0
be_hse-ud-dev,1301,0,225,1.0,3.0,11.0,8.0,,,,,,,,,12.0,,,,,23.0,,5.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,9.0,,,,131,,18.0
be_hse-ud-test,1077,0,258,4.0,3.0,37.0,10.0,,,,,,,,,1.0,,,,,34.0,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,8.0,,,,136,,19.0
