Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:eval,advcl:quote,advmod,amod,appos,aux,aux:aspect,aux:imp,aux:neg,aux:opt,ccomp,ccomp:obj,ccomp:quote,compound:svc,conj,cop,csubj,dep,dep:infl,discourse,dislocated,fixed,flat,nsubj,obj,obj:lo,obl,parataxis,parataxis:rep,root,vocative,xcomp,xcomp:lo
gun_dooley-ud-test,1046,0,170,2.0,,21.0,,,,,,,,,,,,,1.0,,,5.0,15.0,,4.0,,,,,,,,2.0,,2.0,5.0,113.0,,,,
ess_sli-ud-test,309,0,86,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,47,,,1.0,,,,,,,,2.0,,,,,35.0,,,,,,,,,,,,,,,,,,,9.0,,,
apu_ufpa-ud-test,161,0,6,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,,,
mdf_jr-ud-test,454,0,92,,,3.0,,,,,,,1.0,,,,8.0,,2.0,,,,30.0,,,,,1.0,,,,,,,,5.0,,42.0,,,
mdf_jr-ud-train,20,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,
bor_bdt-ud-test,881,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,
myv_jr-ud-test,921,0,137,,3.0,9.0,,,,,1.0,,,,2.0,1.0,12.0,3.0,2.0,,,,28.0,,,,,2.0,,1.0,,,,,,9.0,,63.0,,1.0,
myv_jr-ud-train,1217,0,221,,,5.0,,,1.0,,1.0,1.0,7.0,1.0,1.0,1.0,21.0,2.0,3.0,,,,34.0,2.0,1.0,,,2.0,,1.0,,,,,1.0,8.0,,128.0,,,
quc_iu-ud-test,1435,0,134,7.0,,21.0,,,,,,,,,,,,,14.0,,,,3.0,,5.0,,,,,,,,,,,4.0,,75.0,,5.0,
gun_thomas-ud-test,98,0,11,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,3.0,,,
tpn_tudet-ud-test,581,0,49,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,13.0,,30.0,,4.0,
nhi_itml-ud-test,909,0,184,2.0,1.0,15.0,,,,,,,,,,,,,7.0,,,,24.0,2.0,4.0,,,,,,1.0,1.0,,,,33.0,,83.0,1.0,10.0,
ka_glc-ud-test,151,0,42,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,34.0,,,,,,,,,,,,1.0,,3.0,,,
gn_oldtudet-ud-test,59,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
azz_itml-ud-test,1260,0,43,,5.0,2.0,,,,,,,,,,,,,8.0,,,,,,4.0,,,,,,,,,,,4.0,,19.0,,1.0,
eme_tudet-ud-test,913,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ab_abnc-ud-test,263,0,88,,3.0,2.0,7.0,6.0,,7.0,,,,,,,,,,1.0,9.0,,13.0,,5.0,,,,,,,,,1.0,,1.0,,32.0,,,1.0
aqz_tudet-ud-test,343,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
