Treebank,Number of Sentences,Failures,Total,advcl,advmod,advmod:mmod,case,cc,cc:preconj,ccomp,compound,conj,csubj,det,discourse,fixed,mark,nsubj,obl,parataxis,root,xcomp
egy_ujaen-ud-test,721,0,3,,3.0,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,9,,8.0,,,,,,,,,,,,,,1.0,,,
vi_tuecl-ud-test,100,0,1,,1.0,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,11,,2.0,8.0,,,,,,1.0,,,,,,,,,,
mdf_jr-ud-train,20,0,1,,,1.0,,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,23,2.0,20.0,,,,,,1.0,,,,,,,,,,,
myv_jr-ud-test,921,0,95,1.0,66.0,4.0,1.0,,,,,1.0,,,1.0,2.0,12.0,,,,6.0,1.0
myv_jr-ud-train,1217,0,73,1.0,55.0,1.0,,1.0,1.0,,,1.0,,,,1.0,5.0,,,1.0,6.0,
kpv_ikdp-ud-test,214,0,10,,7.0,,,,,,,3.0,,,,,,,,,,
kpv_lattice-ud-test,643,0,22,,,19.0,,,,,,,,,,,3.0,,,,,
koi_uh-ud-test,94,0,2,,1.0,,,,,,,,,,,,1.0,,,,,
ka_glc-ud-test,151,0,49,2.0,47.0,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,191,4.0,164.0,,,,,5.0,,1.0,1.0,4.0,,1.0,,2.0,1.0,1.0,7.0,
