Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,advmod:eval,amod,appos,aux,aux:neg,aux:pass,aux:q,ccomp,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:cop,dep,discourse,discourse:q,dislocated,fixed,iobj,mark,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
tr_pud-ud-test,1000,0,219,,23.0,,3.0,,,1.0,,,,,,4.0,21.0,26.0,,26.0,13.0,1.0,,,,,,,,,,,,,,,,,99.0,2.0
sah_yktdt-ud-test,299,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
kmr_mg-ud-train,20,0,3,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,
kmr_mg-ud-test,734,0,169,,5.0,,1.0,,,1.0,,23.0,,,,12.0,,,,36.0,18.0,,,,,,,,,,,,,,,,4.0,,69.0,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jaa_jarawara-ud-test,20,0,4,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
gub_tudet-ud-test,1182,0,298,,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,6,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,25,,2.0,1.0,,,,,,,,,,1.0,,,,12.0,,,,,,,,,,,,,,,,,1.0,,8.0,
kpv_lattice-ud-test,643,0,64,,1.0,,1.0,,,,1.0,1.0,1.0,,,2.0,,,,27.0,,,,,,,,,,,,,,1.0,,,1.0,,28.0,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
mpu_tudet-ud-test,37,0,5,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
