Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:pred,advmod,advmod:det,amod,appos,aux,aux:pass,case,ccomp,compound,conj,cop,csubj,csubj:pass,dep,dep:agr,det,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:depict,orphan,parataxis,parataxis:discourse,parataxis:newsent,reparandum,root,vocative,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,49,,,,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,,5.0,,,,1.0,,8.0,,,,,,,,,19.0,6.0,,,,,,,,,,,2.0,
sl_ssj-ud-dev,1250,0,88,,,,,,,,,2.0,,,,,,18.0,,,,,,,,,,,,,22.0,,,,3.0,,9.0,,,,,,,,,26.0,7.0,,,,,,,,,,,1.0,
sl_ssj-ud-train,10903,0,507,,,,,,,,,16.0,,,,,,34.0,,,,,,,1.0,,1.0,,,,49.0,,,,14.0,,59.0,,1.0,,,,,,,227.0,72.0,,,,4.0,6.0,,,,,,23.0,
xcl_caval-ud-train,3185,0,296,,,,3.0,,,,,3.0,,,,9.0,,6.0,,2.0,,,,51.0,,,,,,,,,,,19.0,,15.0,,130.0,5.0,,,,,,22.0,22.0,,1.0,,4.0,1.0,,,,1.0,,2.0,
xcl_caval-ud-dev,411,0,37,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,,3.0,,23.0,,,,,,,4.0,1.0,,,,,,,,,,,,
xcl_caval-ud-test,550,0,55,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,6.0,,,,,,,,,,,7.0,,2.0,,29.0,,,,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,
uk_iu-ud-dev,673,0,737,,2.0,1.0,6.0,,,,9.0,19.0,,,,,,50.0,,,,,,5.0,,1.0,,,,,59.0,,,48.0,12.0,,118.0,,234.0,,,,,,,81.0,60.0,,,,,8.0,,,,13.0,1.0,2.0,8.0
uk_iu-ud-train,5521,0,6433,1.0,13.0,9.0,59.0,3.0,,1.0,82.0,177.0,,,,16.0,15.0,444.0,,6.0,,,,59.0,,2.0,,1.0,2.0,,363.0,12.0,,264.0,161.0,,850.0,,2194.0,,,,,1.0,,752.0,537.0,,,,24.0,39.0,3.0,1.0,,180.0,85.0,10.0,67.0
uk_iu-ud-test,898,0,1064,,2.0,2.0,7.0,,,,13.0,29.0,,,,3.0,1.0,96.0,,1.0,,,,10.0,,,,,,,108.0,,1.0,47.0,13.0,,207.0,,296.0,,,,,,,97.0,81.0,,,,,9.0,,,,22.0,6.0,1.0,12.0
hr_set-ud-dev,960,0,57,,,,,,,,8.0,,,,,,,3.0,,,,,,3.0,,,,9.0,,,,,,,,,4.0,,,,,,,,,21.0,9.0,,,,,,,,,,,,
hr_set-ud-train,6914,0,485,,2.0,,,,,,76.0,14.0,,,,,,36.0,,,,,,25.0,,,,90.0,,,,,,,,,33.0,,,,,,,5.0,3.0,160.0,38.0,,,,1.0,2.0,,,,,,,
hr_set-ud-test,1136,0,89,,,,,,,,16.0,2.0,,,,,,10.0,,,,,,3.0,,,,23.0,,,,,,,,,3.0,,,,,,,,,27.0,5.0,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,162,,1.0,,,,,,25.0,18.0,,,,,,15.0,,,,,,13.0,,,,,,,10.0,,,,,,3.0,,,,,,,,4.0,59.0,11.0,,,2.0,1.0,,,,,,,,
orv_rnc-ud-train,1868,0,841,,10.0,,,,,,81.0,146.0,,,,,1.0,123.0,,,,,,99.0,,1.0,1.0,,,,134.0,,,,1.0,,11.0,,,,,,,1.0,,198.0,26.0,,,5.0,,,,,,2.0,,1.0,
orv_rnc-ud-test,717,0,469,,2.0,,,,,,51.0,58.0,,,,,,86.0,,,,,,55.0,,,,,,,75.0,,,,1.0,,4.0,,,,,,,3.0,1.0,109.0,23.0,,,,1.0,,,,,,,,
sk_snk-ud-dev,1060,0,1462,2.0,6.0,47.0,23.0,,,,149.0,13.0,,5.0,,13.0,,99.0,26.0,1.0,1.0,4.0,,42.0,,,,1.0,,,,,,,3.0,,254.0,,250.0,,,,4.0,6.0,,53.0,19.0,,77.0,,1.0,1.0,,,,342.0,,20.0,
sk_snk-ud-test,1061,0,2012,2.0,6.0,54.0,15.0,,,,197.0,29.0,,2.0,,5.0,,165.0,60.0,1.0,1.0,5.0,,52.0,,,,3.0,,,,,,,1.0,,405.0,,307.0,,,,2.0,12.0,,81.0,36.0,,100.0,,2.0,8.0,,,,442.0,,19.0,
sk_snk-ud-train,8483,0,8777,9.0,37.0,132.0,264.0,,,,464.0,41.0,1.0,1.0,,207.0,,755.0,117.0,18.0,3.0,106.0,,225.0,,,,3.0,,,,,,,20.0,,685.0,,1584.0,,,,11.0,33.0,,521.0,196.0,,546.0,,5.0,8.0,,,,2673.0,27.0,85.0,
be_hse-ud-train,22853,0,21891,2.0,25.0,6.0,20.0,,,,218.0,1850.0,,,,30.0,14.0,1835.0,,15.0,,1.0,,120.0,1.0,1.0,4.0,4.0,,1.0,3380.0,,,,652.0,86.0,3957.0,,5162.0,,,1.0,158.0,30.0,2.0,1378.0,1052.0,78.0,,,29.0,204.0,,,,1242.0,128.0,205.0,
be_hse-ud-dev,1301,0,1128,1.0,1.0,,,,,,15.0,83.0,,,,3.0,1.0,105.0,,,,,,4.0,,,1.0,1.0,,,199.0,,,,28.0,5.0,194.0,,273.0,,,,10.0,4.0,,60.0,45.0,7.0,,,1.0,11.0,,,,66.0,1.0,9.0,
be_hse-ud-test,1077,0,1003,,1.0,,,,,,10.0,98.0,,,,,,104.0,,,,,,5.0,,,,,,,161.0,,,,18.0,1.0,232.0,,185.0,,,,7.0,1.0,,47.0,43.0,12.0,,,2.0,9.0,,,,48.0,8.0,11.0,
cs_pud-ud-test,1000,0,1292,,9.0,23.0,21.0,,,,173.0,36.0,,6.0,,10.0,,80.0,7.0,2.0,3.0,,,10.0,,,,111.0,,,,,,,2.0,,221.0,,344.0,,,,22.0,,,46.0,31.0,6.0,39.0,,2.0,1.0,,,,68.0,1.0,18.0,
orv_ruthenian-ud-test,390,0,80,,,,,,,,14.0,4.0,,,,,,21.0,,,,,,17.0,,,,,,,1.0,,,,,,1.0,,,,,,,6.0,,11.0,5.0,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,615,,4.0,,1.0,,,,67.0,82.0,,,,,,166.0,,,,,,111.0,,,,,,,96.0,,,,,1.0,27.0,,,,,,,,2.0,26.0,24.0,,,,2.0,,,,,1.0,,5.0,
orv_ruthenian-ud-dev,344,0,67,,,,,,,,9.0,5.0,,,,,,12.0,,,,,,21.0,,,,,,,12.0,,,,,,4.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,
ml_ufal-ud-test,218,0,220,,,1.0,,,,,,,,,,,1.0,22.0,,,,,,,,,,48.0,,,,,,,4.0,,22.0,17.0,62.0,,,,,,,22.0,13.0,,,,,4.0,,,,3.0,1.0,,
si_stb-ud-test,100,0,40,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,5.0,,,,,,,,,4.0,,19.0,,,,,,,5.0,1.0,,,,,,,,,3.0,,,
hsb_ufal-ud-test,623,0,321,,4.0,,3.0,,,,15.0,10.0,,,,1.0,,22.0,,,,1.0,,8.0,,,,40.0,,,,,,,5.0,,89.0,,78.0,,,,,1.0,,6.0,21.0,,,,,1.0,,,,15.0,,1.0,
