Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:ccomp,advcl:cmp,advcl:pred,advcl:relcl,advmod,amod,appos,aux,case,ccomp,ccomp:relcl,clf,compound,compound:redup,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dep:infl,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:goal,obl:grad,obl:lmod,obl:mod,obl:path,obl:source,obl:tmod,orphan,parataxis,reparandum,root,xcomp
xcl_caval-ud-train,3185,0,235,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,158.0,9.0,,,,,,,,,,1.0,,,,
xcl_caval-ud-dev,411,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,28.0,3.0,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,45,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,30.0,3.0,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,2.0,3.0,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,
sah_yktdt-ud-test,299,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,,,,1.0,
sa_vedic-ud-test,2709,0,32,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,11.0,,,,,2.0,,,,11.0,1.0,1.0,,,1.0,
sa_vedic-ud-train,21477,0,192,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,4.0,,,,,,,,,,,38.0,1.0,,,1.0,18.0,,,1.0,106.0,,1.0,,,3.0,
sa_vedic-ud-dev,2996,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,6.0,,,,1.0,6.0,,,,10.0,,,,,,
la_circse-ud-test,1263,0,35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,13.0,2.0,3.0,,,,9.0,,,,2.0,,,,,
tr_atis-ud-dev,572,0,530,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,88.0,,,,335.0,,,,,,30.0,1.0,,,,32.0,,,,,,,,,,40.0,,,,1.0,
tr_atis-ud-train,4274,0,3875,,,,,,,,,,12.0,,,,,,,7.0,,34.0,,,,,,,,,,,,,586.0,,2.0,,2547.0,,,,,,152.0,4.0,,,1.0,260.0,,,,,,,,,,263.0,,,,7.0,
tr_atis-ud-test,586,0,493,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,80.0,,,,318.0,,,,,,33.0,1.0,,,,24.0,,,,,,,,,,30.0,1.0,,,2.0,
hi_pud-ud-test,1000,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,1.0,15.0,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,52,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,1.0,45.0,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,399,,,32.0,,,,,,,6.0,,,,1.0,,,28.0,,14.0,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,31.0,247.0,,,,,,,,,,,,1.0,,3.0,
tr_kenet-ud-test,1643,0,366,3.0,,25.0,,,,,,,,,,,6.0,,,55.0,,12.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,11.0,190.0,,,,,,,,,,,,,,2.0,12.0
