Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,amod,appos,case,compound:redup,conj,discourse,dislocated,flat,iobj,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:arg,obl:npmod,orphan,parataxis,root,vocative,xcomp
cs_pud-ud-test,1000,0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,11,,,,2.0,,,1.0,,,1.0,,,,,,3.0,,2.0,,,,,,1.0,,1.0
hy_bsut-ud-test,595,0,9,,,,2.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,3.0,
hy_bsut-ud-dev,479,0,6,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,1.0
en_gum-ud-train,9521,0,6,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,
en_gum-ud-dev,1341,0,2,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
en_ewt-ud-test,2077,0,4,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,
en_ewt-ud-dev,2001,0,11,,,7.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,
en_ewt-ud-train,12544,0,34,,1.0,5.0,2.0,,,,,10.0,,,,1.0,,,,,2.0,1.0,,1.0,,,10.0,1.0,
hy_armtdp-ud-train,1974,0,31,1.0,,,12.0,,,,3.0,,,,,1.0,,3.0,4.0,,1.0,,,,,,,3.0,3.0
hy_armtdp-ud-dev,249,0,4,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,
hy_armtdp-ud-test,277,0,14,,,,9.0,,,,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,
hyw_armtdp-ud-test,680,0,5,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,
hyw_armtdp-ud-dev,694,0,6,,,,,,,,1.0,,,,,,,,1.0,,,3.0,,,,,,,1.0
hyw_armtdp-ud-train,5282,0,53,,,4.0,6.0,2.0,1.0,,6.0,,,,1.0,,,2.0,13.0,1.0,6.0,7.0,,,,,1.0,3.0,
cs_pdt-ud-test,10146,0,8,,,,1.0,,,,,,,,,3.0,,,,1.0,2.0,1.0,,,,,,,
cs_pdt-ud-dev,9270,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,28,,,,3.0,,,,3.0,,,,,14.0,,,1.0,,2.0,2.0,,,1.0,,2.0,,
cs_cac-ud-train,23478,0,27,,,,1.0,,,,3.0,,,1.0,,8.0,,,6.0,,1.0,6.0,1.0,,,,,,
cs_cac-ud-test,628,0,8,,,,,,,,,,,,,1.0,,,,,,7.0,,,,,,,
cs_poetry-ud-test,297,0,2,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
