Treebank,Number of Sentences,Failures,Total,advcl,advmod,advmod:emph,conj,det,discourse,fixed,mark,obj,obl:arg,parataxis,root
orv_rnc-ud-dev,943,0,1,,1.0,,,,,,,,,,
orv_rnc-ud-train,1868,0,3,,1.0,,1.0,,,,,,,1.0,
orv_rnc-ud-test,717,0,1,,,,,1.0,,,,,,,
be_hse-ud-train,22853,0,2,,,,,2.0,,,,,,,
orv_ruthenian-ud-dev,344,0,1,,,,,1.0,,,,,,,
it_old-ud-train,1748,0,11,,,,,10.0,,,,,1.0,,
it_valico-ud-test,398,0,1,,,,,1.0,,,,,,,
fr_gsd-ud-train,14450,0,12,,5.0,,,7.0,,,,,,,
fr_gsd-ud-dev,1476,0,1,,,,,,,,,,,,1.0
it_isdt-ud-test,482,0,1,,,,,1.0,,,,,,,
it_isdt-ud-train,13121,0,4,,,,,4.0,,,,,,,
ru_taiga-ud-train,16045,0,32,,21.0,,1.0,9.0,,1.0,,,,,
ru_taiga-ud-dev,946,0,11,,4.0,,,7.0,,,,,,,
ru_taiga-ud-test,881,0,6,,4.0,,,1.0,,1.0,,,,,
fr_rhapsodie-ud-train,1288,0,1,,1.0,,,,,,,,,,
fr_rhapsodie-ud-test,840,0,1,,1.0,,,,,,,,,,
hy_armtdp-ud-train,1974,0,12,,1.0,,,8.0,,,,3.0,,,
hy_armtdp-ud-dev,249,0,5,,3.0,,,2.0,,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,1.0,,,,,,,
ru_poetry-ud-test,728,0,10,,8.0,,,2.0,,,,,,,
ru_poetry-ud-dev,789,0,18,1.0,12.0,,3.0,2.0,,,,,,,
ru_poetry-ud-train,3569,0,55,,35.0,,,18.0,,,1.0,,,,1.0
lij_glt-ud-test,296,0,3,,,,,3.0,,,,,,,
hyw_armtdp-ud-train,5282,0,16,,4.0,1.0,1.0,9.0,,,,1.0,,,
it_twittiro-ud-test,142,0,3,,,,,3.0,,,,,,,
it_twittiro-ud-train,1138,0,16,,,,,16.0,,,,,,,
it_twittiro-ud-dev,144,0,3,,,,,3.0,,,,,,,
it_postwita-ud-train,5368,0,104,,,,,103.0,1.0,,,,,,
it_postwita-ud-dev,670,0,10,,,,,10.0,,,,,,,
it_postwita-ud-test,674,0,11,,,,,11.0,,,,,,,
it_vit-ud-train,8277,0,9,,,,,9.0,,,,,,,
it_vit-ud-test,1067,0,4,,,,,4.0,,,,,,,
fr_partut-ud-train,803,0,1,,,,,1.0,,,,,,,
es_coser-ud-test,539,0,2,,,,,2.0,,,,,,,
