Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advcl:relcl,appos,ccomp,compound,conj,conj:expl,csubj,csubj:pass,csubj:relcl,det,dislocated,dislocated:nsubj,dislocated:obj,iobj,nmod,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,xcomp
la_circse-ud-test,1263,0,10,,1.0,,,,,,,,1.0,,,,,5.0,,,,,,1.0,,,,,1.0,,,,,,1.0,
ar_padt-ud-dev,909,0,2,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
ar_padt-ud-train,6075,0,22,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,13.0,1.0,2.0,,2.0,,1.0,,1.0,
ar_padt-ud-test,680,0,8,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,3.0,,,,,,,,
la_llct-ud-dev,850,0,97,,1.0,,,,,,,1.0,1.0,,,,,83.0,,,,,,4.0,,6.0,,,1.0,,,,,,,
la_llct-ud-test,884,0,92,,,,,,,,,,,,,,,83.0,,,,,,3.0,,6.0,,,,,,,,,,
la_llct-ud-train,7289,0,727,,,,1.0,,,,1.0,1.0,4.0,,,,,638.0,1.0,3.0,1.0,1.0,,33.0,,20.0,,7.0,13.0,,,,,2.0,,1.0
la_udante-ud-train,926,0,119,,1.0,,,,1.0,,,,8.0,3.0,3.0,1.0,,50.0,,,,,2.0,11.0,1.0,,,3.0,21.0,1.0,11.0,1.0,,,1.0,
la_udante-ud-test,419,0,40,,1.0,,,,,,,,4.0,1.0,2.0,,,22.0,,,,,,1.0,,1.0,,2.0,2.0,,2.0,,1.0,,1.0,
la_udante-ud-dev,376,0,10,,,2.0,,,,,,,1.0,,,,,5.0,,,,,,,,,,,1.0,,,,,,1.0,
la_ittb-ud-dev,2101,0,117,,2.0,5.0,,,,,1.0,,6.0,2.0,2.0,,,51.0,,,,,1.0,11.0,1.0,8.0,,1.0,5.0,,7.0,,1.0,1.0,7.0,5.0
la_ittb-ud-test,2101,0,97,2.0,2.0,3.0,1.0,,1.0,,,,2.0,,2.0,,,52.0,,,,,1.0,6.0,1.0,2.0,,3.0,3.0,,10.0,,,,6.0,
la_ittb-ud-train,22775,0,1376,6.0,22.0,74.0,6.0,1.0,4.0,1.0,9.0,11.0,54.0,3.0,39.0,3.0,3.0,733.0,,,,,9.0,136.0,3.0,52.0,,20.0,52.0,1.0,44.0,,1.0,1.0,70.0,18.0
