Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advcl:quote,advcl:relcl,advcl:tcl,amod,appos,aux,aux:caus,aux:ex,aux:pass,aux:tense,case,ccomp,ccomp:obj,ccomp:pmod,ccomp:quote,ccomp:speech,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,iobj,mark,nmod,nsubj,nsubj:pass,obj,obj:ro,obl,obl:agent,obl:pmod,orphan,parataxis,parataxis:insert,parataxis:parenth,reparandum,root,xcomp
es_gsd-ud-test,426,0,86,,10.0,10.0,,,,,,,,16.0,,,,,,13.0,,,,,,,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,20.0,
es_gsd-ud-dev,1400,0,364,,39.0,32.0,,,,,,,,51.0,,,8.0,,,17.0,,,,,,,39.0,86.0,7.0,,,,,,1.0,,1.0,,,,,,,,,,5.0,,,,78.0,
es_gsd-ud-train,14187,0,3497,6.0,558.0,308.0,,,,,,1.0,,446.0,,,100.0,,,194.0,,,,,,,282.0,695.0,37.0,,,,,2.0,5.0,,1.0,1.0,,,,,,,,,65.0,,,,791.0,5.0
pt_porttinari-ud-train,5893,0,834,3.0,88.0,41.0,,,,,,,,116.0,,,21.0,,,56.0,,,,17.0,,,60.0,197.0,2.0,,,1.0,,,,,,,,,,,,,,,10.0,,,,222.0,
pt_porttinari-ud-test,1683,0,207,2.0,28.0,12.0,,,,,,,,23.0,,,5.0,,,9.0,,,,2.0,,,12.0,56.0,,,,,,,,,,,,,,,,,,,2.0,,,,56.0,
pt_porttinari-ud-dev,842,0,120,,19.0,12.0,,,,,,,,15.0,,,,,,3.0,,,,3.0,,,10.0,20.0,,,,,,,,,,,,,,,,,,,3.0,,,,35.0,
es_ancora-ud-train,14287,0,3333,588.0,6.0,494.0,,,,,,,3.0,622.0,,,,,,341.0,,,,,,,199.0,459.0,52.0,,1.0,,,,,,,,,,,,,,,,23.0,,,,524.0,21.0
es_ancora-ud-test,1721,0,457,81.0,1.0,68.0,,,,,,,,96.0,,,,,1.0,55.0,,,,,,,25.0,51.0,7.0,,,,,,,,,,,,,,,,,,3.0,,,,63.0,6.0
es_ancora-ud-dev,1654,0,372,69.0,1.0,52.0,,,,,,,,67.0,,,,,1.0,39.0,,,,,,,25.0,51.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,59.0,4.0
hr_set-ud-train,6914,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-test,1136,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,3,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,17,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,
sa_ufal-ud-test,230,0,19,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,16.0,
wo_wtb-ud-dev,449,0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,92,17.0,,7.0,,,,,,,,12.0,,,,,,6.0,,,,,,,7.0,18.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,23.0,
gl_treegal-ud-test,400,0,46,10.0,,5.0,,,,,,,1.0,5.0,,,,,,6.0,,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0
ro_nonstandard-ud-test,1052,0,146,18.0,,20.0,,,,,1.0,,1.0,3.0,,,3.0,,,1.0,,,,,,,41.0,14.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,38.0,2.0
ro_nonstandard-ud-dev,1052,0,211,31.0,,18.0,,,,,5.0,,,2.0,,,5.0,,,4.0,,,,,,,50.0,17.0,4.0,,,,,,,,,,,,,,,,,,4.0,,,,70.0,1.0
ro_nonstandard-ud-train,24121,0,9328,661.0,,1101.0,,,,,247.0,,3.0,147.0,,,143.0,,1.0,107.0,,17.0,,,,,2857.0,1121.0,87.0,,,,,,,,,4.0,,,1.0,,2.0,,5.0,,66.0,,,,2712.0,46.0
ro_simonero-ud-test,491,0,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
ro_simonero-ud-train,3747,0,146,41.0,,11.0,,,,,,,,3.0,,,16.0,,,6.0,,,,,,,11.0,33.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,21.0,
ro_simonero-ud-dev,443,0,13,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
pt_petrogold-ud-train,7170,0,198,,19.0,20.0,,,,,,,,13.0,,,70.0,,,9.0,,,,,,,3.0,33.0,4.0,,,,,,,,,,,,,,,,,,1.0,,,,26.0,
pt_petrogold-ud-test,1039,0,66,,34.0,3.0,,,,,,,,6.0,,,9.0,,,3.0,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
pt_petrogold-ud-dev,737,0,9,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,
pt_gsd-ud-dev,1204,0,15,,1.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
pt_gsd-ud-test,1200,0,25,,5.0,2.0,,,,,,,,5.0,,,2.0,,,6.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
pt_gsd-ud-train,9616,0,189,1.0,29.0,18.0,,,,,,,,31.0,,,8.0,,,11.0,,,,,,,13.0,44.0,,,,,,,,,,,,,,,,,,,1.0,,,,33.0,
ro_tuecl-ud-test,210,0,37,1.0,,3.0,,,,,,,,,,,2.0,,,,,1.0,,,,,13.0,4.0,,,,,,,,,,,,,,,,,,,7.0,,,,6.0,
it_old-ud-train,1748,0,153,,13.0,43.0,,5.0,,3.0,,,,19.0,,,4.0,,,22.0,,,,,,,5.0,27.0,9.0,,,,,,,,,,,,,,,,,,2.0,,,,,1.0
it_old-ud-dev,316,0,45,,4.0,13.0,,1.0,,,,,,6.0,,,1.0,,,5.0,,,,,,,2.0,12.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
it_old-ud-test,338,0,40,,,11.0,,1.0,,,,,,7.0,,,6.0,,,4.0,,,,,,,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,
hy_bsut-ud-train,1226,0,359,5.0,5.0,13.0,,,,,,,1.0,210.0,,,,,,3.0,,,,,,,11.0,84.0,,,,,,,,,,,,,,,,,,,,,,,27.0,
hy_bsut-ud-test,595,0,166,,1.0,3.0,,,,,,,,105.0,,,,,,2.0,,,,,,,6.0,39.0,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,1.0
hy_bsut-ud-dev,479,0,152,,2.0,5.0,,,,1.0,,,,98.0,,,,,,,,,,,,,3.0,32.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,8.0,1.0
es_pud-ud-test,1000,0,330,2.0,38.0,24.0,,,,,,,1.0,51.0,,,6.0,,,40.0,,,,,,,30.0,42.0,4.0,3.0,,,,,,,,,,,,,,,,,6.0,,,,64.0,19.0
it_valico-ud-test,398,0,390,,34.0,16.0,,,,,,,,91.0,,,1.0,,,16.0,,,,,,,66.0,83.0,,,,,,,,,,,,,,,,,,,7.0,,,,75.0,1.0
fr_pud-ud-test,1000,0,294,,40.0,17.0,,,,,,,,,2.0,,24.0,64.0,,19.0,,,,,,,21.0,40.0,2.0,,,,,,,,,,,,,,,,,,9.0,,,,56.0,
fr_fqb-ud-test,2289,0,161,,4.0,1.0,,,,,,,,,,,11.0,,,,,,,,,,1.0,97.0,,,,,,,,,,,,,,,,,,,,,,,47.0,
pt_cintil-ud-test,3840,0,508,,,30.0,,,,,,68.0,,,,,,,,50.0,,,,,,,14.0,177.0,4.0,,33.0,,,,,,,,,,2.0,,7.0,,,,12.0,,,,101.0,10.0
pt_cintil-ud-dev,3840,0,355,,,16.0,,,,,,35.0,,,,,,,,20.0,,,,,,,3.0,149.0,,1.0,23.0,,,,,,,,,,2.0,,2.0,,,,3.0,,,,98.0,3.0
