Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advmod,appos,case,cc,ccomp,compound:redup,conj,csubj:pass,det,discourse,dislocated,fixed,nmod,nsubj,obj,obl,obl:arg,orphan,parataxis,reparandum,root,xcomp
pt_gsd-ud-test,1200,0,2,,,2,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,19,,,19,,,,,,,,,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,3,,,3,,,,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,12,,,8,,,,,,1.0,,,,,,,,,,3.0,,,,,
fr_gsd-ud-test,416,0,50,,1.0,46,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0
fr_gsd-ud-train,14450,0,1398,,1.0,1335,1.0,,,,,12.0,1.0,,,,1.0,,2.0,2.0,,25.0,3.0,7.0,,7.0,1.0
fr_gsd-ud-dev,1476,0,133,,,128,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,
fr_rhapsodie-ud-train,1288,0,125,,,87,1.0,,,,,5.0,,,18.0,1.0,,,,3.0,,,,,6.0,4.0,
fr_rhapsodie-ud-dev,1081,0,68,,,36,,,1.0,,,1.0,,,14.0,2.0,,,,1.0,,2.0,,,4.0,7.0,
fr_rhapsodie-ud-test,840,0,64,,,51,,,,,,,,,9.0,1.0,,,,1.0,,1.0,,,,1.0,
fr_parisstories-ud-dev,692,0,51,,,33,,,,,,9.0,,,3.0,,,,,2.0,,,,,4.0,,
fr_parisstories-ud-train,1387,0,172,,,86,,,,,,19.0,,,53.0,,,1.0,,4.0,,2.0,,,2.0,5.0,
fr_parisstories-ud-test,697,0,66,,,35,,,1.0,,,12.0,,,17.0,,,,,,,,,,1.0,,
en_ewt-ud-test,2077,0,11,,,11,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-dev,2001,0,13,,,13,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-train,12544,0,87,,,87,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,20,,,20,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,20,,,16,,1.0,,,,,,,,,,,,,3.0,,,,,,
pt_bosque-ud-train,7018,0,124,,,110,,1.0,,,,,,,,,,,,,13.0,,,,,,
pcm_nsc-ud-dev,990,0,16,,,16,,,,,,,,,,,,,,,,,,,,,
pcm_nsc-ud-train,7279,0,107,,,91,,,,,5.0,,,,8.0,,,,,,,,,,,2.0,1.0
pcm_nsc-ud-test,972,0,11,,,8,,,,,2.0,,,,1.0,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,27,4.0,,11,,,,1.0,,,,,3.0,,,,,,,,,,,8.0,
ha_northernautogramm-ud-test,400,0,23,,,4,,,,,,8.0,,,,,,,,,,1.0,,,,6.0,4.0
fr_sequoia-ud-test,456,0,36,,,35,,,,,,,,,,,,,,,,,,,,1.0,
fr_sequoia-ud-train,2231,0,129,,,122,,,,,,,,1.0,,,,,,,,4.0,,,,2.0,
fr_sequoia-ud-dev,412,0,32,,,31,,,,,,,,1.0,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,2,,,2,,,,,,,,,,,,,,,,,,,,,
