Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:det,advmod:emph,amod,amod:flat,appos,aux,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,compound,conj,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:flat,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:float,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,288,,,,,,,,,,,,,,6.0,,,,,,,,,9.0,,,,,,,,,,,,6.0,,,,,,,,,,,,32.0,,,,,,,,,,,,,126.0,101.0,,,,,,,,,5.0,,,,,,3.0,,,,
sl_ssj-ud-dev,1250,0,341,,,,,,,,,,,,,,2.0,,,,,,,,,32.0,,,,,,,,,,,,8.0,,,,,,,,,,,,46.0,,,,,,,,,,,,,149.0,102.0,,,,,,,,,,,,,,,2.0,,,,
sl_ssj-ud-train,10903,0,2610,,,,,2.0,,,,,,,,,27.0,,,,,1.0,,,,169.0,,,,,,,,,,,,66.0,,,,,,,,,7.0,1.0,,279.0,,,,,1.0,,,,,,,,1202.0,813.0,,,,,,,,9.0,10.0,,,,,,10.0,,,13.0,
xcl_caval-ud-train,3185,0,228,,2.0,,,,,,,,,,,,,,,,,12.0,,,,2.0,,1.0,,,25.0,,,,,,,,,,,,,,,,,,,25.0,,,,,35.0,,,1.0,,,,,122.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,
xcl_caval-ud-dev,411,0,33,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,8.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,9.0,,,,,,,,28.0,,,,,,,,,,,,,,,,1.0,,,,
pl_pdb-ud-test,2215,0,4484,,110.0,,11.0,12.0,,,1.0,,,,728.0,70.0,24.0,4.0,13.0,,,15.0,1.0,3.0,,295.0,11.0,2.0,,,146.0,28.0,9.0,41.0,,,,110.0,22.0,,,,,,,,162.0,,,445.0,218.0,25.0,,,277.0,,,26.0,54.0,,,63.0,430.0,707.0,10.0,215.0,28.0,,,,,2.0,,,3.0,14.0,,,137.0,,,7.0,5.0
pl_pdb-ud-train,17722,0,38139,,1219.0,,176.0,113.0,4.0,,3.0,,,,6174.0,687.0,175.0,25.0,90.0,3.0,,161.0,14.0,57.0,,2246.0,80.0,17.0,2.0,3.0,1340.0,189.0,79.0,338.0,,,,951.0,212.0,,8.0,,,,,,1229.0,,,3814.0,1952.0,312.0,41.0,1.0,2561.0,,,274.0,511.0,,1.0,438.0,3474.0,5662.0,142.0,1520.0,199.0,,,,,23.0,,,26.0,114.0,,,1320.0,4.0,,79.0,76.0
pl_pdb-ud-dev,2215,0,4722,,146.0,,23.0,12.0,,,1.0,,,,741.0,92.0,26.0,2.0,15.0,,,16.0,1.0,10.0,,253.0,7.0,2.0,,,169.0,22.0,8.0,49.0,,,,108.0,27.0,,2.0,,,,,,149.0,,,485.0,221.0,40.0,4.0,,321.0,,,34.0,63.0,,,64.0,444.0,697.0,20.0,200.0,36.0,,,,,2.0,,,2.0,15.0,,,169.0,,,9.0,15.0
uk_iu-ud-dev,673,0,3379,,2.0,,2.0,9.0,,1.0,,,1.0,,110.0,,65.0,,,,,5.0,,,15.0,262.0,,,,,33.0,,,,1.0,3.0,8.0,2.0,,2.0,,,3.0,,,63.0,3.0,2.0,,1037.0,,,,,412.0,,,,,,,,449.0,723.0,,,,,,,,9.0,33.0,14.0,,,1.0,,88.0,,,1.0,20.0
uk_iu-ud-train,5521,0,21562,,20.0,1.0,21.0,140.0,,6.0,,4.0,2.0,,766.0,,351.0,,,,,36.0,,,55.0,1898.0,,6.0,,,313.0,,1.0,,9.0,8.0,76.0,20.0,4.0,13.0,,,21.0,9.0,35.0,250.0,30.0,5.0,,5283.0,,,,,2665.0,,,,9.0,,,,3110.0,5468.0,,,,,,,,89.0,163.0,59.0,,,,1.0,515.0,8.0,1.0,7.0,84.0
