Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,amod:att,amod:flat,appos,aux,aux:caus,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pred,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:smixut,compound:svc,conj,conj:expl,cop,cop:locat,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,det,discourse,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:sibl,iobj,list,mark,nmod,nmod:arg,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:mod,obl:pronmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:reporting,punct,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:ds,xcomp:obj,xcomp:pred,xcomp:subj
xcl_caval-ud-train,3185,0,6360,,285.0,,,597.0,,,,,,,,,,,,4.0,160.0,4.0,,,,957.0,,,,,,,,,,,,,,1471.0,,867.0,,,86.0,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,102.0,,,,,,,1814.0,1.0,1.0,,,,,
xcl_caval-ud-dev,411,0,874,,57.0,,,81.0,,,,,,,,,,,,1.0,32.0,1.0,,,,135.0,,,,,,,,,,,,,,191.0,,119.0,,,20.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,13.0,,,,,,,222.0,,,,,,,
xcl_caval-ud-test,550,0,1077,,69.0,,,98.0,,,,,,,,,,,,1.0,30.0,,,,,142.0,,,,,,,,,,,,,,216.0,,160.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,16.0,,,,,,,318.0,,,,,,,
hu_szeged-ud-dev,441,0,950,,73.0,,,70.0,,,,,,,,,,,,1.0,3.0,,,,,27.0,,65.0,41.0,5.0,,,,,,,,,,159.0,,34.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,350.0,,89.0,,,,,
hu_szeged-ud-test,449,0,965,,72.0,,,76.0,,,,,,,,,,,,,12.0,,,,,11.0,,25.0,25.0,1.0,,,,,,,,,,217.0,,38.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,367.0,,73.0,,,,,
hu_szeged-ud-train,910,0,1887,,156.0,,,155.0,,,,,,,,,,2.0,,,17.0,,,,,24.0,,84.0,58.0,6.0,,,,,,,,,,349.0,,91.0,,,50.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,30.0,,,,,,,719.0,,143.0,,,,,
el_gud-ud-train,1071,0,1981,,25.0,,144.0,269.0,,,,,,,,,,,,1.0,4.0,,,,,194.0,,,,,,,,,,,,,,332.0,,,,,19.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,116.0,,,,,,,718.0,,155.0,,,,,
el_gud-ud-test,736,0,1393,,10.0,,104.0,184.0,,,,,,,,,,,,,1.0,,,,,119.0,,,,,,,,,,,,,,216.0,,,,,10.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,544.0,,116.0,,,,,
fi_ood-ud-test,2122,0,3054,,97.0,,108.0,190.0,,,,,,,,,1.0,,,4.0,492.0,,40.0,,,70.0,,,,,,,,,2.0,,,,,336.0,,366.0,,28.0,2.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,3.0,3.0,,,,,,,,,6.0,,155.0,,,,,,,874.0,,214.0,,40.0,,,
sga_dipsgg-ud-test,64,0,26,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,8.0,,,,,,,
sv_talbanken-ud-dev,504,0,1277,2.0,54.0,8.0,103.0,139.0,,,,,,,,,,,,3.0,231.0,,6.0,,,30.0,,,,,,,,,,,,,,94.0,,172.0,,,23.0,,,,,4.0,,,,,,4.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,318.0,,42.0,,,,,
sv_talbanken-ud-test,1219,0,2782,7.0,58.0,13.0,185.0,275.0,,,,,,,3.0,,,,,10.0,604.0,,10.0,,,68.0,,,,,,,,,,,,,,215.0,,406.0,,,74.0,,,,,3.0,,,,,,6.0,,,,,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,51.0,,,,,,,711.0,,69.0,,,,,
sv_talbanken-ud-train,4303,0,8293,20.0,186.0,56.0,591.0,775.0,,,,,,,,,1.0,,,26.0,1680.0,,33.0,,,212.0,,,,,,,,,,,,,,521.0,,1137.0,,,191.0,,,,,14.0,,,,,,28.0,,,,,,27.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,176.0,,,,,,,2402.0,,211.0,,,,,
ar_nyuad-ud-train,15789,0,42183,,1.0,,,,,,,,,,,,7.0,,,,1.0,,,29.0,2.0,17416.0,,,,,,,,,,,,,,,,3270.0,,,,,,,,,,,,2.0,,,,,,,,,196.0,,,,,13.0,,4.0,241.0,,,,,,125.0,62.0,,,,2.0,122.0,,,,,,,,,,,,,,,,,7.0,,10504.0,,10179.0,,,,,
ar_nyuad-ud-dev,1986,0,5197,,,,,,,,,,,,,,1.0,,,,,,,4.0,,2164.0,,,,,,,,,,,,,,,,416.0,,,,,,,,,,,,,,,,,,,,,22.0,,,,,2.0,,,27.0,,,,,,14.0,8.0,,,,,23.0,,,,,,,,,,,,,,,,,,,1242.0,,1274.0,,,,,
ar_nyuad-ud-test,1963,0,5185,,,,,,,,,,,,1.0,,,,,,,,,3.0,3.0,2219.0,,,,,,,,,,,,,,,,387.0,,,,,,,,,,,,,,,,,,,,,27.0,,,,,4.0,,2.0,45.0,,,,,,9.0,6.0,,,,,11.0,,,,,,,,,,,,,,,,,,,1256.0,,1212.0,,,,,
pl_pdb-ud-test,2215,0,4137,,168.0,,197.0,294.0,,,,19.0,,9.0,,5.0,,,,,49.0,,116.0,,,150.0,17.0,52.0,,,,,,,,,,,,558.0,,215.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,20.0,109.0,,,,1712.0,,424.0,4.0,,,3.0,
pl_pdb-ud-train,17722,0,34174,,1458.0,,1770.0,2576.0,,,,128.0,,55.0,,31.0,1.0,,1.0,5.0,366.0,,1021.0,,,1312.0,150.0,491.0,,,,,,,,,,,,4374.0,,1922.0,,,131.0,,,,,3.0,,,1.0,,,,,,,,,8.0,,,,,,6.0,,,12.0,7.0,,,,,,16.0,,,3.0,,3.0,3.0,2.0,5.0,1.0,,,,,,8.0,,,,229.0,1069.0,,,,13557.0,,3394.0,33.0,,,3.0,19.0
pl_pdb-ud-dev,2215,0,4203,,184.0,,233.0,307.0,,,,13.0,,3.0,,3.0,,,,1.0,42.0,,131.0,,,159.0,12.0,62.0,,,,,,,,,,,,553.0,,195.0,,,17.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,26.0,123.0,,,,1723.0,,407.0,3.0,,,,3.0
uk_iu-ud-dev,673,0,5,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,59,,,,,1.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,
uk_iu-ud-test,898,0,17,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
