Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,amod,appos,ccomp,conj,dep,discourse,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obl,obl:arg,parataxis,root,vocative,xcomp
et_ewt-ud-train,5444,0,40,,1.0,4.0,,,,1.0,,1.0,7.0,,,5.0,1.0,,12.0,6.0,,,1.0,1.0,
et_ewt-ud-dev,833,0,20,,,5.0,,,,3.0,,,1.0,,,,3.0,,3.0,2.0,,,2.0,1.0,
hy_bsut-ud-train,1226,0,6,,,,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,,,,,
hy_bsut-ud-test,595,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
hy_bsut-ud-dev,479,0,2,,,,,,,,,,,,1.0,1.0,,,,,,,,,
en_ewt-ud-train,12544,0,12,,,3.0,,,,,,,,,9.0,,,,,,,,,,
hy_armtdp-ud-train,1974,0,6,,,,,,,2.0,,,,,,2.0,,,1.0,,,1.0,,,
hy_armtdp-ud-dev,249,0,8,,,,,,,,,,,1.0,2.0,1.0,,,1.0,2.0,,,1.0,,
et_edt-ud-dev,3128,0,1,,,,,,,,,,,,,1.0,,,,,,,,,
et_edt-ud-train,24615,0,3,,,,,,,1.0,,,,,,,,,,2.0,,,,,
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,,1.0,,,,,,,,,
hyw_armtdp-ud-train,5282,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
cs_pdt-ud-test,10146,0,8,,,,,,,1.0,,,5.0,,,1.0,,,1.0,,,,,,
cs_pdt-ud-dev,9270,0,4,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,
cs_pdt-ud-train,68491,0,65,1.0,1.0,,9.0,1.0,1.0,3.0,3.0,,16.0,,,9.0,,1.0,5.0,7.0,4.0,,3.0,,1.0
cs_cac-ud-train,23478,0,19,,,,4.0,,,1.0,,,3.0,,,,,1.0,5.0,3.0,2.0,,,,
cs_cac-ud-test,628,0,2,,,,,,,,,,1.0,,,1.0,,,,,,,,,
