Treebank,Number of Sentences,Failures,Total,acl,acl:attr,acl:dpct,acl:pred,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:ccomp,advcl:cmp,advcl:dpct,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,advmod:lmod,advmod:tmod,amod,appos,aux,case,cc,cc:preconj,ccomp,ccomp:relcl,ccomp:reported,compound,compound:coord,conj,conj:expl,csubj,csubj:pass,csubj:relcl,det,discourse,dislocated,fixed,flat,iobj,mark,nmod,nmod:appos,nmod:poss,nmod:pred,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,parataxis,root,vocative,xcomp,xcomp:result
sa_vedic-ud-test,2709,0,1019,44.0,1.0,,,2.0,,3.0,,9.0,,,,,,,9.0,,,,105.0,,,,,,8.0,,,3.0,156.0,,,,,,30.0,,,,34.0,5.0,,323.0,1.0,,2.0,,1.0,,83.0,114.0,30.0,5.0,,,7.0,,9.0,6.0,2.0,,,3.0,3.0,6.0,10.0,1.0,1.0,,2.0,1.0
sa_vedic-ud-train,21477,0,8852,313.0,4.0,2.0,1.0,3.0,,11.0,,34.0,,3.0,9.0,,,1.0,70.0,,,,835.0,1.0,,,,,27.0,,,101.0,1502.0,9.0,,1.0,,,201.0,1.0,1.0,,367.0,26.0,,3057.0,8.0,,14.0,,4.0,,615.0,855.0,317.0,58.0,,5.0,53.0,10.0,67.0,49.0,29.0,2.0,,61.0,28.0,14.0,27.0,3.0,26.0,,18.0,9.0
sa_vedic-ud-dev,2996,0,979,33.0,,,,,,,,3.0,,1.0,,,,,7.0,,,,110.0,,,,,,3.0,,,4.0,123.0,1.0,,1.0,,,27.0,,,,36.0,1.0,,385.0,,,2.0,,,,70.0,92.0,36.0,7.0,,,4.0,1.0,4.0,1.0,2.0,2.0,,7.0,8.0,,3.0,1.0,1.0,,3.0,
la_circse-ud-test,1263,0,68,,,,,,,,,,,,,,,,4.0,20.0,5.0,9.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
la_perseus-ud-train,1334,0,4,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,64,2.0,,,,,,2.0,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,15.0,,,,,,,,,,,,22.0,,3.0,,,,,2.0,2.0,7.0,,,,,,,,,,,,,,,,1.0,,1.0,
ro_nonstandard-ud-test,1052,0,462,,,,,,,,,,,,,,,,1.0,,,,,,,329.0,60.0,6.0,,,,,,,,,,,,,,2.0,,1.0,60.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
ro_nonstandard-ud-dev,1052,0,332,,,,,,,,,,,,,,,,10.0,,,1.0,,,,249.0,34.0,,,,,,,,,,,,,,,6.0,,,28.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-train,24121,0,11000,3.0,,,,,,,,,,,,,,,17.0,,,4.0,,,,8824.0,920.0,40.0,,,,2.0,,1.0,,,,,,,,54.0,,,1072.0,24.0,,,,2.0,1.0,,,,4.0,,,,,,,,,,28.0,,,,,1.0,1.0,,2.0,
la_udante-ud-train,926,0,736,,,,,,13.0,9.0,,,8.0,,,3.0,4.0,,87.0,92.0,7.0,12.0,23.0,2.0,,,50.0,,4.0,,3.0,,,32.0,4.0,1.0,1.0,,69.0,8.0,,,1.0,,151.0,19.0,,,,,29.0,4.0,4.0,23.0,19.0,1.0,14.0,,,,,,,,,,,,2.0,,24.0,,13.0,
la_udante-ud-test,419,0,371,3.0,,,,,4.0,2.0,,,2.0,,,2.0,2.0,,51.0,24.0,2.0,11.0,2.0,,,,39.0,,,,,,,9.0,,1.0,,1.0,24.0,36.0,,,,,89.0,9.0,,,,,17.0,3.0,,13.0,7.0,1.0,7.0,,,,,1.0,,,,,,,1.0,,3.0,1.0,4.0,
la_udante-ud-dev,376,0,360,2.0,,,,,1.0,2.0,,,1.0,,,5.0,,,46.0,22.0,2.0,6.0,15.0,2.0,,1.0,22.0,,1.0,,,,,24.0,1.0,1.0,,,26.0,7.0,,,,,105.0,8.0,,,,,7.0,3.0,1.0,11.0,16.0,,4.0,,,,,,,,,,,,2.0,,11.0,,5.0,
la_ittb-ud-dev,2101,0,1247,8.0,,,,,11.0,20.0,1.0,,2.0,,,1.0,4.0,,64.0,147.0,2.0,,15.0,,,,40.0,,2.0,1.0,,,,18.0,,1.0,1.0,1.0,246.0,,,,,,255.0,36.0,,,,,108.0,29.0,,78.0,64.0,14.0,30.0,,,,,,,,,,,,1.0,,43.0,,4.0,
la_ittb-ud-test,2101,0,1184,2.0,,,,,9.0,15.0,,,2.0,,,2.0,3.0,,53.0,170.0,,,3.0,,,,12.0,,,,,,,29.0,,2.0,1.0,2.0,192.0,,,,,,294.0,54.0,,,,,71.0,20.0,,101.0,50.0,3.0,27.0,,,,,,,,,,,,1.0,1.0,62.0,,3.0,
la_ittb-ud-train,22775,0,15050,113.0,,,,,67.0,187.0,13.0,,19.0,,,28.0,38.0,,934.0,2053.0,5.0,39.0,132.0,,,5.0,585.0,,29.0,1.0,,,,306.0,7.0,54.0,10.0,14.0,2501.0,2.0,,2.0,,,4376.0,308.0,,,,,828.0,367.0,3.0,496.0,420.0,45.0,228.0,,,,,,,,,,,,26.0,3.0,707.0,,99.0,
yrl_complin-ud-test,1470,0,72,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
