Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advmod,amod,appos,aux,case,ccomp,clf,compound,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,det,det:poss,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:name,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,142,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,85.0,,,,2.0,,,,,,,,,,,,,27.0,4.0,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,61.0,,,,5.0,,,,,,,,,,,,,37.0,3.0,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,1.0,,,,703.0,,1.0,,12.0,,,,,,,,,1.0,,,,259.0,28.0,,,,,,,,,,,5.0,,,,,,,,
xcl_caval-ud-train,3185,0,870,,1.0,,,,,,,,1.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,825.0,,,,6.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,5.0,1.0,,,,5.0,,1.0,
xcl_caval-ud-dev,411,0,133,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,
xcl_caval-ud-test,550,0,147,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,144.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,3.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,6.0,14.0,,,,,,,,,,,,,,,,,,,
es_gsd-ud-test,426,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
es_gsd-ud-dev,1400,0,111,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,5.0,,,100.0,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,1227,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,3.0,,,,,,5.0,,,,,,,2.0,,,,,,,,,1.0,,,,26.0,,,1186.0,,,,,,,,,,,,,,,,,
de_hdt-ud-test,18459,0,801,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,26.0,,,,,,,,,,,,,141.0,369.0,,182.0,,,,,,,,,,,,,,,,12.0,
de_hdt-ud-train,153035,0,7271,,15.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,582.0,,,,,,,,,196.0,,,,,,,,,5.0,,,,1455.0,3301.0,,1571.0,,,,,,,,,,1.0,,,2.0,6.0,,132.0,
de_hdt-ud-dev,18434,0,749,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,24.0,,,,,,,,,,,,,153.0,362.0,,138.0,,,,,,,,,,,,,,,,15.0,
sga_dipsgg-ud-test,64,0,32,,,,,,,,,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,7.0,,,
pt_porttinari-ud-train,5893,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,66.0,,,,6.0,,,,,,,,,,,,,16.0,37.0,,,,,,,,,,,,1.0,,,,,,,
pt_porttinari-ud-test,1683,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,,,5.0,7.0,,,,,,,,,,,,,,,,,,,
