Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:tmod,amod,appos,case,cc,cc:preconj,ccomp,ccomp:pmod,compound,conj,csubj,csubj:cop,csubj:pass,dep,det,det:numgov,det:nummod,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:pmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
es_gsd-ud-train,14187,0,15,,,,,,2.0,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
de_hdt-ud-test,18459,0,374,,,,,,,,,,,,,2.0,,,3.0,1.0,,,,65.0,,,,,,,,,,,,,,225.0,,,17.0,57.0,2.0,,,,,,,1.0,,1.0
de_hdt-ud-train,153035,0,3549,,17.0,,,,,,,1.0,,,,24.0,,,27.0,5.0,,,,533.0,,,,,,,,,,,3.0,,,2211.0,,,134.0,515.0,32.0,,4.0,,,,3.0,34.0,,6.0
de_hdt-ud-dev,18434,0,398,,,,,,,,,,,,,1.0,,,4.0,,,,,81.0,,,,,,,,,,,,,,236.0,,,18.0,51.0,4.0,,,,,,,2.0,,1.0
es_ancora-ud-train,14287,0,31,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,7.0,,,,9.0,,,,1.0,2.0,,2.0,,,,,,,
es_ancora-ud-test,1721,0,3,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,5,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,424,,1.0,,,,56.0,,2.0,,,,,2.0,,,1.0,,,,,24.0,,,1.0,,,3.0,,,,1.0,6.0,,,211.0,,,,62.0,53.0,,,,,,,1.0,,
hr_set-ud-train,6914,0,2966,,2.0,,1.0,,403.0,,8.0,,1.0,,,6.0,,,10.0,,,,1.0,116.0,7.0,,3.0,,,57.0,,,1.0,17.0,23.0,,,1481.0,,,,430.0,388.0,,,,,2.0,,9.0,,
hr_set-ud-test,1136,0,440,,,,,,65.0,,,,,,,,,,1.0,,,,,23.0,,,,,,7.0,,,,1.0,3.0,,,206.0,,,,63.0,68.0,,,,,,,3.0,,
sk_snk-ud-dev,1060,0,135,,,,,,14.0,,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,69.0,,,3.0,18.0,11.0,,11.0,,,,,,,
sk_snk-ud-test,1061,0,152,,,1.0,,,24.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,73.0,,,4.0,14.0,20.0,,8.0,,,,,,,1.0
sk_snk-ud-train,8483,0,875,,1.0,1.0,,,179.0,,8.0,,,,,9.0,,,3.0,,,,16.0,27.0,2.0,,,,,2.0,,,,15.0,1.0,,,327.0,,,12.0,161.0,52.0,,40.0,,,,,19.0,,
et_ewt-ud-train,5444,0,828,,2.0,14.0,5.0,,,,2.0,,,,,9.0,,,14.0,1.0,,,6.0,29.0,,,,,,1.0,,,,,69.0,,,311.0,76.0,,,191.0,78.0,,,,,1.0,2.0,17.0,,
et_ewt-ud-test,913,0,179,,,1.0,,,,,2.0,,,,,1.0,,,2.0,1.0,,,2.0,4.0,,,,,,,,,,,12.0,,,73.0,19.0,,,37.0,25.0,,,,,,,,,
et_ewt-ud-dev,833,0,105,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,36.0,10.0,,,29.0,19.0,,,,,,,1.0,,
cs_pud-ud-test,1000,0,275,,1.0,1.0,,,56.0,,,,,5.0,,,,,1.0,1.0,,,,2.0,,1.0,,,,,,,,3.0,4.0,,,137.0,,,15.0,29.0,9.0,,6.0,,,2.0,,2.0,,
de_pud-ud-test,1000,0,31,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,17.0,,,,6.0,2.0,,,,,,,2.0,,
ro_nonstandard-ud-test,1052,0,525,,,,,,86.0,35.0,,,,,,,,,1.0,2.0,,,,21.0,,,,,6.0,9.0,,9.0,,4.0,4.0,,2.0,201.0,,,28.0,64.0,45.0,,,4.0,,,,2.0,,2.0
ro_nonstandard-ud-dev,1052,0,470,,,,,,77.0,45.0,,,,,,,,1.0,2.0,,,,,16.0,,,,,8.0,10.0,,8.0,,2.0,3.0,,2.0,178.0,,,12.0,54.0,43.0,,,4.0,,,2.0,2.0,,1.0
ro_nonstandard-ud-train,24121,0,13573,,62.0,,83.0,5.0,2954.0,1301.0,,29.0,6.0,,,28.0,2.0,1.0,39.0,4.0,,,,423.0,,,,,18.0,36.0,,220.0,,48.0,52.0,,327.0,4777.0,,,252.0,1614.0,929.0,16.0,,237.0,,,26.0,48.0,,36.0
ro_simonero-ud-test,491,0,184,,4.0,,1.0,,9.0,1.0,,2.0,,16.0,,,,,,,,,,2.0,,,,,,24.0,,,,,1.0,,,91.0,,,7.0,2.0,24.0,,,,,,,,,
ro_simonero-ud-train,3747,0,1815,,29.0,,3.0,,138.0,2.0,,11.0,1.0,148.0,1.0,,,,,,,,,29.0,,,,,,294.0,,13.0,,1.0,29.0,,,823.0,,,64.0,27.0,199.0,,,2.0,,,,1.0,,
ro_simonero-ud-dev,443,0,175,,1.0,,,,11.0,,,,,16.0,,,,,,,,,1.0,,,,,,,34.0,,,,,1.0,,,90.0,,,4.0,1.0,16.0,,,,,,,,,
ro_tuecl-ud-test,210,0,119,,,,,,21.0,10.0,,,,1.0,,,,,,,,,,6.0,,,,,,25.0,,,,,,,,31.0,,,1.0,17.0,6.0,,,,,,1.0,,,
lt_alksnis-ud-test,684,0,147,,,,,,27.0,,4.0,,,,,,,,4.0,,,,1.0,25.0,,,,,,,,,,,,,,44.0,,,3.0,20.0,4.0,,9.0,,,,,4.0,,2.0
lt_alksnis-ud-dev,617,0,113,,,,,,11.0,,14.0,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,36.0,,,4.0,9.0,10.0,,24.0,,,,,1.0,,
lt_alksnis-ud-train,2341,0,459,,,,,,58.0,,21.0,,,,,1.0,,,4.0,,,1.0,2.0,56.0,,,,,,,,,,,,,,128.0,,,12.0,63.0,34.0,,75.0,,,,,3.0,,1.0
es_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
en_atis-ud-test,586,0,212,,,,,,22.0,,,,,,,3.0,,,1.0,,,,,84.0,,,,,,,,,,,,,,6.0,,1.0,,8.0,,,,,,,,87.0,,
en_atis-ud-train,4274,0,1388,,,,,,135.0,,2.0,,,,,,,,2.0,,,,,536.0,,,,,,1.0,,,,3.0,2.0,,,178.0,,,,34.0,4.0,,,,,,1.0,463.0,,27.0
en_atis-ud-dev,572,0,193,,,,,,15.0,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,9.0,,,,2.0,,,,,,,,90.0,,6.0
hsb_ufal-ud-test,623,0,4,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,163,,,,,,22.0,,,,,,,,,,,,,,,9.0,,,,,,3.0,,,,7.0,,,,74.0,,,,17.0,31.0,,,,,,,,,
sr_set-ud-train,3328,0,1359,,7.0,,1.0,,150.0,,2.0,,,,,2.0,,,2.0,,,,,59.0,7.0,,2.0,,,10.0,,,,56.0,2.0,,,688.0,,,,164.0,198.0,,,,,3.0,,6.0,,
sr_set-ud-dev,536,0,230,,1.0,,,,18.0,,1.0,,,,,2.0,,,1.0,,,,,13.0,,,,,,,,,,14.0,,,,123.0,,,,26.0,31.0,,,,,,,,,
nds_lsdc-ud-train,500,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,
nds_lsdc-ud-test,500,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ro_art-ud-test,50,0,26,,,,,,17.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,3.0,,,,2.0,1.0,,,1.0,,,,,,
cs_cltt-ud-dev,316,0,136,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,8.0,10.0,32.0,,6.0,,,,,,,
cs_cltt-ud-train,467,0,166,,,,,,9.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,97.0,,,13.0,13.0,23.0,,10.0,,,,,,,
cs_cltt-ud-test,338,0,180,,,1.0,,,17.0,,,,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,74.0,,,8.0,10.0,50.0,,14.0,,,,,,,
et_edt-ud-dev,3128,0,441,,,10.0,,,,,,,,,,7.0,,,4.0,,,,,4.0,,,,,,,,,,,39.0,,,190.0,29.0,,,76.0,76.0,,,,,,3.0,3.0,,
et_edt-ud-train,24615,0,3348,,3.0,62.0,3.0,,,,1.0,1.0,,,,31.0,,,20.0,4.0,2.0,,1.0,41.0,,,,,,1.0,,,,,360.0,,,1320.0,263.0,,,627.0,548.0,,,,,1.0,5.0,48.0,,6.0
et_edt-ud-test,3214,0,459,,,7.0,1.0,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,37.0,,,191.0,47.0,,,103.0,62.0,,,,,,1.0,6.0,,
ru_syntagrus-ud-train,69630,0,7814,,3.0,30.0,3.0,,5.0,,28.0,4.0,,,,1.0,,,55.0,8.0,,,,594.0,,,,,,66.0,1.0,158.0,,,508.0,,,3043.0,,,344.0,1111.0,1633.0,,,,,6.0,53.0,160.0,,
ru_syntagrus-ud-dev,8906,0,1015,,2.0,3.0,1.0,,,,2.0,,,,,,,,6.0,1.0,,,,82.0,,,,,,12.0,,21.0,,,61.0,,,386.0,,,40.0,137.0,232.0,,,,,2.0,7.0,20.0,,
ru_syntagrus-ud-test,8800,0,1009,,,4.0,,,1.0,,4.0,1.0,,,,1.0,,,7.0,1.0,,,,83.0,,,,,,8.0,,23.0,,,51.0,,,414.0,,,36.0,130.0,230.0,,,,,1.0,,14.0,,
sv_pud-ud-test,1000,0,395,1.0,,1.0,1.0,,44.0,,,1.0,3.0,,,2.0,,,1.0,1.0,,,,4.0,,,,1.0,,,,,,46.0,1.0,5.0,,188.0,,,60.0,16.0,13.0,2.0,,,,,,4.0,,
de_lit-ud-test,1920,0,304,,,,1.0,,,,,,,,,7.0,,,2.0,,,,,9.0,,,,,,,,,,,4.0,,,183.0,,,16.0,69.0,8.0,,1.0,,,,2.0,1.0,,1.0
da_ddt-ud-train,4383,0,152,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,24.0,,,19.0,,,,77.0,23.0,,,,,,,5.0,,
da_ddt-ud-test,565,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,10.0,2.0,,,,,,,,,
da_ddt-ud-dev,564,0,17,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,6.0,2.0,,,,,,,3.0,,
cs_fictree-ud-dev,1309,0,281,,,,,,66.0,,1.0,,,,,3.0,,,,,,,4.0,3.0,3.0,,,,,,,,,,1.0,,,100.0,,,9.0,57.0,9.0,,16.0,,,,,9.0,,
cs_fictree-ud-train,10160,0,2365,,,18.0,5.0,,585.0,,3.0,1.0,,,,39.0,,,26.0,,,,57.0,52.0,21.0,4.0,4.0,,,,,,,,6.0,,,738.0,,,23.0,494.0,113.0,,90.0,,,1.0,,83.0,,2.0
cs_fictree-ud-test,1291,0,284,,,1.0,,,61.0,,,,,,,3.0,,,5.0,1.0,,,12.0,12.0,5.0,,,,,,,,,,1.0,,,82.0,,,4.0,70.0,6.0,,11.0,,,,,9.0,,1.0
ro_rrt-ud-test,729,0,295,,2.0,,1.0,,59.0,8.0,,2.0,,6.0,,,,,1.0,,,,,10.0,,,,,,30.0,,4.0,,,5.0,,,96.0,,,6.0,20.0,39.0,,,2.0,,,,,,4.0
ro_rrt-ud-train,8043,0,3392,,8.0,,7.0,,588.0,49.0,7.0,9.0,6.0,66.0,4.0,7.0,,,5.0,1.0,,,,50.0,,,,,,473.0,,26.0,,13.0,47.0,,,1211.0,,,116.0,208.0,445.0,,,31.0,5.0,,,4.0,,6.0
ro_rrt-ud-dev,752,0,282,,1.0,,,,51.0,4.0,1.0,,,8.0,1.0,,,,1.0,,,,,3.0,,,,,,31.0,,1.0,,,4.0,,,118.0,,,11.0,13.0,29.0,,,4.0,,,,,,1.0
de_gsd-ud-train,13814,0,312,,5.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,20.0,,,,,,1.0,,,,,2.0,,,169.0,,,31.0,61.0,14.0,,2.0,,,,,1.0,,2.0
