Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,aux,aux:pass,case,ccomp,conj,cop,dep,discourse,fixed,obl,parataxis,reparandum,root,xcomp
et_ewt-ud-train,5444,0,25,,,1.0,1.0,,6.0,,,1.0,1.0,12.0,,,,,1.0,,,2.0
et_ewt-ud-test,913,0,4,,,,,,2.0,,,1.0,,1.0,,,,,,,,
et_ewt-ud-dev,833,0,2,,,,,,,,,,,1.0,,,,,,,1.0,
say_autogramm-ud-test,1864,0,42,,,,,4.0,,,10.0,1.0,,,,20.0,4.0,,,3.0,,
et_edt-ud-dev,3128,0,22,,,1.0,2.0,,7.0,,,2.0,2.0,5.0,,,,,,,3.0,
et_edt-ud-train,24615,0,138,,3.0,2.0,15.0,,28.0,,,6.0,9.0,51.0,,,,,,,19.0,5.0
et_edt-ud-test,3214,0,10,,,,,,1.0,,,1.0,,7.0,,,,,,,1.0,
lv_lvtb-ud-test,2412,0,55,,3.0,,2.0,,14.0,3.0,,8.0,4.0,4.0,1.0,1.0,,,,,15.0,
lv_lvtb-ud-train,14358,0,285,4.0,6.0,,12.0,,61.0,16.0,,29.0,40.0,54.0,13.0,,,1.0,,,49.0,
lv_lvtb-ud-dev,2080,0,28,,2.0,,,,2.0,2.0,,6.0,5.0,4.0,2.0,,,,,,5.0,
