Treebank,Number of Sentences,Failures,Total,advmod:deg,amod,conj,nmod,nmod:obl,obl,root
hu_szeged-ud-dev,441,0,1,,,,,,1,
hu_szeged-ud-test,449,0,12,,,,,,12,
hu_szeged-ud-train,910,0,27,,,1.0,,2.0,24,
et_ewt-ud-train,5444,0,2,,,,,,2,
et_ewt-ud-test,913,0,3,,,,,,2,1.0
et_ewt-ud-dev,833,0,6,,,,1.0,,5,
olo_kkpp-ud-test,106,0,2,,1.0,,,,1,
vep_vwt-ud-test,103,0,2,,,,,,2,
kpv_ikdp-ud-test,214,0,2,1.0,,,,,1,
kpv_lattice-ud-test,643,0,1,,,,,,1,
et_edt-ud-dev,3128,0,2,,,,,,2,
et_edt-ud-train,24615,0,14,,,,,,14,
et_edt-ud-test,3214,0,5,,,,1.0,,3,1.0
ab_abnc-ud-test,263,0,1,,,,,,1,
gu_gujtb-ud-test,187,0,1,,,,,,1,
