Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:relcl,advmod,advmod:emph,amod,appos,case,cc,ccomp,compound,compound:lvc,compound:redup,conj,cop,dep,det,discourse,flat,flat:name,iobj,mark,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,orphan,parataxis,root,vocative,xcomp
hy_bsut-ud-train,1226,0,27,,,2.0,,3.0,,2.0,1.0,,,,,5.0,,1.0,,,,2.0,,2.0,1.0,,1.0,,,,1.0,2.0,,,4.0,,
hy_bsut-ud-test,595,0,7,,1.0,1.0,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,8,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,2.0,1.0,,,,,
en_gum-ud-train,9521,0,18,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,
en_gum-ud-dev,1341,0,8,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,
en_ewt-ud-dev,2001,0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_ewt-ud-train,12544,0,4,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,
hy_armtdp-ud-train,1974,0,90,2.0,,2.0,,6.0,,3.0,2.0,,2.0,,5.0,8.0,,11.0,,,,7.0,,,,,,7.0,6.0,,9.0,8.0,4.0,1.0,5.0,,2.0
hy_armtdp-ud-dev,249,0,12,,,,,,,,,,,,,1.0,,4.0,,,1.0,2.0,,,,,,,,,1.0,1.0,,1.0,,,1.0
hy_armtdp-ud-test,277,0,24,,,1.0,,3.0,,,,1.0,,,2.0,2.0,,5.0,,,,,,,,,,1.0,3.0,,1.0,2.0,,1.0,2.0,,
hyw_armtdp-ud-test,680,0,23,,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,4.0,,6.0,2.0,,,1.0,,1.0
hyw_armtdp-ud-dev,694,0,9,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,4.0,,,,1.0,
hyw_armtdp-ud-train,5282,0,67,,,,1.0,3.0,,7.0,3.0,,,1.0,,2.0,1.0,5.0,,,,1.0,1.0,2.0,1.0,,5.0,3.0,15.0,1.0,3.0,4.0,,,5.0,2.0,1.0
cs_pdt-ud-test,10146,0,2,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,7,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,1.0,,,,,,1.0
cs_cac-ud-train,23478,0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
