Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod:mode,amod,appos,case,ccomp,conj,dep,det,dislocated,iobj,nmod,nmod:obl,nsubj,obj,obl,parataxis,root,vocative,xcomp
hu_szeged-ud-dev,441,0,14,,,,,1.0,,,,,,,,,,,1.0,,1.0,11.0,,,,
hu_szeged-ud-test,449,0,14,,1.0,,,,,,,,,,,,,,,,,13.0,,,,
hu_szeged-ud-train,910,0,29,,,,,,,,,,3.0,,,,,,,,,26.0,,,,
ess_sli-ud-test,309,0,5,,,,,,,2.0,,,,,,,,2.0,,1.0,,,,,,
hit_hittb-ud-test,136,0,7,,,,,,,,,,,,,,,,,2.0,4.0,,,1.0,,
mr_ufal-ud-dev,46,0,20,,,,,,3.0,,9.0,,,,6.0,,,,,2.0,,,,,,
mr_ufal-ud-test,47,0,13,,,,,,2.0,,7.0,,,,1.0,,,,,1.0,2.0,,,,,
mr_ufal-ud-train,373,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,9,,,,,,,,,,,,,,,,,6.0,3.0,,,,,
nhi_itml-ud-test,909,0,350,7.0,1.0,2.0,3.0,,,1.0,,,14.0,1.0,,3.0,1.0,63.0,,125.0,101.0,18.0,1.0,6.0,3.0,
azz_itml-ud-test,1260,0,12,,,,,,,,,,,,,,,1.0,,11.0,,,,,,
eu_bdt-ud-train,5396,0,72,,,,,,,,,,,,,,,1.0,,18.0,46.0,7.0,,,,
eu_bdt-ud-test,1799,0,28,,,,,,,,,1.0,,,,,,,,8.0,15.0,3.0,,,,1.0
eu_bdt-ud-dev,1798,0,21,,,,,,,,,2.0,,,,,,,,4.0,11.0,4.0,,,,
gu_gujtb-ud-test,187,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,
