Treebank,Number of Sentences,Failures,Total,acl,advcl,advcl:quote,advcl:tcl,advmod,advmod:mmod,amod,appos,aux,case,cc,ccomp,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep:infl,det,det:poss,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nmod:cau,nmod:npmod,nmod:obj,nmod:part,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:ds
tr_pud-ud-test,1000,0,27,1.0,1.0,,,,,,,,,,3.0,,,,,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,2.0,,12.0,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,30,1.0,3.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,3.0,1.0,,,6.0,,9.0,,,,,,1.0,,,,2.0,,,
sah_yktdt-ud-test,299,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,1.0,,,
la_circse-ud-test,1263,0,59,,,,,,,,,,,,,,,,,,1.0,,,,,55.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,
tr_atis-ud-dev,572,0,18,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,4.0,1.0,,,,4.0,,1.0,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,144,,,,,,,2.0,,,,,3.0,2.0,,,,,10.0,,3.0,,,,,,,,,,,,18.0,,,,,14.0,26.0,,,,32.0,,30.0,,,,,,,,,,4.0,,,
tr_atis-ud-test,586,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,3.0,3.0,,,,9.0,,1.0,,,,,,,,,,,,,
la_perseus-ud-test,939,0,16,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,64,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_kenet-ud-dev,1646,0,177,6.0,4.0,,,,,1.0,,,,,4.0,17.0,,,,,17.0,,3.0,,,,,,,,,4.0,,,28.0,,,,,,11.0,,,,32.0,,39.0,,,,,,,2.0,,,9.0,,,
