Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:relcl,amod,appos,aux,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:infl,discourse,dislocated,fixed,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,orphan,parataxis,parataxis:rep,reparandum,root,xcomp
gun_dooley-ud-test,1046,0,1084,41.0,,305.0,,,,,6.0,18.0,,,7.0,18.0,,1.0,,,,,1.0,,,1.0,,,25.0,,10.0,5.0,,12.0,143.0,,491.0,
ess_sli-ud-test,309,0,235,,,,,,,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,1086,200.0,63.0,78.0,7.0,,6.0,,29.0,,,2.0,,184.0,,25.0,1.0,,,1.0,,,,,1.0,13.0,1.0,,,20.0,2.0,18.0,,,376.0,59.0
hy_bsut-ud-test,595,0,610,95.0,21.0,48.0,7.0,,1.0,,27.0,,,1.0,2.0,131.0,,16.0,2.0,,,,,,,,1.0,9.0,1.0,,1.0,19.0,,7.0,,,187.0,34.0
hy_bsut-ud-dev,479,0,534,125.0,31.0,47.0,3.0,1.0,3.0,,21.0,,,1.0,1.0,86.0,,8.0,1.0,,,,1.0,,,,1.0,18.0,1.0,,,9.0,,3.0,,,140.0,33.0
quc_iu-ud-test,1435,0,370,10.0,,21.0,,,,,32.0,,,,,6.0,,7.0,,,,,,,,,,,,,,,,15.0,,,269.0,10.0
af_afribooms-ud-train,1315,0,449,,,,,1.0,,,108.0,,,,,23.0,,1.0,,110.0,,,,,,1.0,,,,,2.0,49.0,,,,,120.0,34.0
af_afribooms-ud-dev,194,0,63,,,,,,,,13.0,,,,,1.0,,,,10.0,,,,,,,,,,,1.0,9.0,,,,,25.0,4.0
af_afribooms-ud-test,425,0,205,,,,,,,,31.0,,,,,14.0,,,,44.0,,,,,,1.0,,,,,9.0,31.0,,,,,64.0,11.0
gun_thomas-ud-test,98,0,110,4.0,,22.0,,,,,9.0,,,,1.0,23.0,,,,,,1.0,,,2.0,,,,,,1.0,1.0,,1.0,2.0,1.0,41.0,1.0
hy_armtdp-ud-train,1974,0,2501,462.0,110.0,237.0,,2.0,6.0,,130.0,7.0,1.0,,16.0,576.0,,60.0,6.0,,,1.0,2.0,,3.0,,5.0,19.0,6.0,1.0,2.0,34.0,1.0,72.0,,,620.0,122.0
hy_armtdp-ud-dev,249,0,357,72.0,10.0,25.0,,,2.0,,11.0,,,,,100.0,,5.0,,,,1.0,,,,,,7.0,1.0,,,7.0,,12.0,,,80.0,24.0
hy_armtdp-ud-test,277,0,331,39.0,8.0,30.0,,,2.0,,13.0,,,1.0,2.0,101.0,,5.0,,,,,2.0,,,,1.0,6.0,,,1.0,8.0,,6.0,,,95.0,11.0
hyw_armtdp-ud-test,680,0,803,103.0,60.0,70.0,2.0,,,,27.0,,,,2.0,188.0,,19.0,,,,,1.0,,,,,5.0,,,1.0,19.0,,10.0,,,244.0,52.0
hyw_armtdp-ud-dev,694,0,928,124.0,75.0,83.0,11.0,,2.0,,34.0,,,,,192.0,,14.0,1.0,,,1.0,,1.0,,,3.0,8.0,1.0,,1.0,26.0,1.0,19.0,,,275.0,56.0
hyw_armtdp-ud-train,5282,0,5759,862.0,335.0,434.0,58.0,7.0,26.0,,205.0,,,2.0,24.0,1072.0,,127.0,8.0,,,2.0,3.0,3.0,,2.0,3.0,81.0,9.0,1.0,17.0,121.0,6.0,120.0,,,1851.0,380.0
nhi_itml-ud-test,909,0,657,26.0,2.0,79.0,,,,24.0,30.0,,,,,92.0,21.0,17.0,,,,3.0,,1.0,,,,,,,,,,65.0,,2.0,274.0,21.0
ka_glc-ud-test,151,0,133,5.0,,3.0,,,,3.0,12.0,,,,,14.0,44.0,,,,,,,,,,,,,,,,,5.0,,,47.0,
azz_itml-ud-test,1260,0,480,,14.0,72.0,,,,1.0,20.0,,,,,69.0,,4.0,,,,,,,,,,,,,,1.0,,67.0,,3.0,212.0,17.0
