Treebank,Number of Sentences,Failures,Total,advcl,advmod:tmod,amod,case,det,nmod,nsubj,nummod,obl,root
sah_yktdt-ud-test,299,0,1,,,,,,,,,1.0,
ml_ufal-ud-test,218,0,2,,,,,,,1.0,,1.0,
egy_ujaen-ud-test,721,0,16,,,,16.0,,,,,,
mdf_jr-ud-test,454,0,7,,,,1.0,1.0,2.0,,3.0,,
myv_jr-ud-test,921,0,5,,1.0,,,,,,3.0,,1.0
myv_jr-ud-train,1217,0,11,,,2.0,,,2.0,,6.0,1.0,
kpv_lattice-ud-test,643,0,2,,,,1.0,,1.0,,,,
sjo_xdt-ud-test,810,0,1,,,,,,,,,1.0,
koi_uh-ud-train,34,0,3,3.0,,,,,,,,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,1.0,
