Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,conj,dep,det,det:poss,flat,nmod,obj,obl,obl:arg,reparandum
de_hdt-ud-test,18459,0,897,,,,,,,897.0,,,,,,,
de_hdt-ud-train,153035,0,7462,,1.0,,,,,7458.0,,,,,1.0,1.0,1.0
de_hdt-ud-dev,18434,0,898,,,,,,,897.0,,,,,1.0,,
hr_set-ud-dev,960,0,26,,,,,,,25.0,,,1.0,,,,
hr_set-ud-train,6914,0,176,,,3.0,,,,171.0,,1.0,1.0,,,,
hr_set-ud-test,1136,0,27,,,,,,,27.0,,,,,,,
sk_snk-ud-dev,1060,0,56,,,,,,1.0,55.0,,,,,,,
sk_snk-ud-test,1061,0,95,,,,,,,95.0,,,,,,,
sk_snk-ud-train,8483,0,174,,,,,,,173.0,,,,1.0,,,
cs_pud-ud-test,1000,0,55,,,,,,,55.0,,,,,,,
hsb_ufal-ud-test,623,0,14,,,,,,,14.0,,,,,,,
sr_set-ud-test,520,0,12,,,,,,,12.0,,,,,,,
sr_set-ud-train,3328,0,107,,,,,,,107.0,,,,,,,
sr_set-ud-dev,536,0,16,,,1.0,,,,15.0,,,,,,,
cs_cltt-ud-dev,316,0,14,,,,,,,14.0,,,,,,,
cs_cltt-ud-train,467,0,30,,,,,,,30.0,,,,,,,
cs_cltt-ud-test,338,0,28,,,,,,,28.0,,,,,,,
de_lit-ud-test,1920,0,189,,,,,,,,189.0,,,,,,
de_gsd-ud-train,13814,0,1308,1.0,,,1.0,,,1.0,1302.0,1.0,,,1.0,1.0,
de_gsd-ud-dev,799,0,28,,,,,,1.0,,27.0,,,,,,
de_gsd-ud-test,977,0,52,,,,,,1.0,1.0,50.0,,,,,,
cs_pdt-ud-test,10146,0,343,,,,,,,342.0,,,,,1.0,,
cs_pdt-ud-dev,9270,0,293,,,,,,,292.0,,,,,1.0,,
cs_pdt-ud-train,68491,0,2273,,,,,4.0,2.0,2255.0,,,,,12.0,,
cs_cac-ud-dev,603,0,14,,,,,,,14.0,,,,,,,
cs_cac-ud-train,23478,0,970,,,,,,,967.0,,,,2.0,1.0,,
cs_cac-ud-test,628,0,17,,,,,,,17.0,,,,,,,
