Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:tmod,amod,appos,appos:trans,aux,case,case:loc,ccomp,ccomp:obj,ccomp:obl,ccomp:relcl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,csubj:relcl,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:subj,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
hu_szeged-ud-dev,441,0,812,2.0,,1.0,,,,,32.0,,,1.0,,,,1.0,,,,,,,,56.0,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,3.0,90.0,,,,,,,12.0,,,,146.0,,,,,139.0,,299.0,,,,,,,,,4.0,2.0,,15.0,,,,
hu_szeged-ud-test,449,0,676,5.0,,5.0,,,,,22.0,,,,,,1.0,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,5.0,1.0,,1.0,59.0,,,,,,,7.0,,,,139.0,,,,,111.0,,262.0,,,,,,,,,2.0,2.0,,7.0,,1.0,,
hu_szeged-ud-train,910,0,1194,5.0,,7.0,,,,,33.0,,,1.0,,,3.0,3.0,,,,,,,,97.0,,1.0,,,,,,,,,,,,,,,,4.0,9.0,7.0,,3.0,86.0,,,,,,,10.0,,,,255.0,,,,,207.0,,427.0,,,,,,,,,2.0,7.0,,27.0,,,,
tr_pud-ud-test,1000,0,2368,91.0,,99.0,,,,25.0,27.0,,2.0,26.0,,62.0,,,,,32.0,33.0,,,,131.0,51.0,47.0,,,,,,,,,,,,1.0,,,22.0,,48.0,,,57.0,,,,,,,,,,275.0,,377.0,,,,,349.0,,538.0,,,,,,,,,3.0,1.0,,27.0,,44.0,,
fi_ood-ud-test,2122,0,162,,,17.0,,7.0,,,,,1.0,1.0,,1.0,,,,,,,,,,8.0,3.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,3.0,,,,,2.0,,3.0,5.0,,,,44.0,,47.0,,,,,,,,,,2.0,,4.0,,2.0,1.0,
sah_yktdt-ud-test,299,0,22,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,11.0,,,,,2.0,,2.0,,,,,,,,,,,,4.0,,,,
la_circse-ud-test,1263,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,479,,,,,,,3.0,,,,14.0,,4.0,,,,,19.0,,,,,7.0,,1.0,,,,,,,,,,,,,,,16.0,,,,,42.0,,,,,,,,,,13.0,48.0,57.0,,,,,211.0,,20.0,,,,,,,,14.0,,,,10.0,,,,
tr_atis-ud-train,4274,0,4270,2.0,,,,,,15.0,,,,50.0,,27.0,,,,,118.0,,,,,61.0,,9.0,,,,1.0,,,,,,,,1.0,,2.0,285.0,,,,,674.0,,,,,,,,,,73.0,283.0,523.0,,,1.0,3.0,1660.0,,231.0,,,,,,,,99.0,,5.0,,146.0,,1.0,,
tr_atis-ud-test,586,0,604,2.0,,,,,,,,,,13.0,,6.0,,,,,20.0,,,,,7.0,,2.0,,,,,,,,,,,,,,,51.0,,,,,60.0,,,,,,,,,,12.0,74.0,72.0,,,,,215.0,,20.0,,,,,,,,18.0,,1.0,,31.0,,,,
