Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:tcl,advmod,advmod:emph,amod,appos,aux,aux:clitic,aux:pass,case,cc,ccomp,ccomp:obj,ccomp:pmod,compound,compound:prt,conj,cop,csubj,csubj:pass,dep,det,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:depict,obl:lmod,obl:orphan,obl:pronmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,615,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,71.0,,,,,,3.0,,,178.0,1.0,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,597,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,350.0,,,,,,,,,46.0,,,2.0,,,3.0,,,191.0,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,5233,,,,1.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,2998.0,,,,,3.0,,,,597.0,,,5.0,,,44.0,,,1570.0,6.0,,,,,,,5.0,,,,,,,1.0
de_hdt-ud-test,18459,0,7381,,110.0,,299.0,,,5275.0,,14.0,4.0,,,,,,103.0,,,,14.0,196.0,,14.0,2.0,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,33.0,,,,,,,,25.0,,,,916.0,,371.0
de_hdt-ud-train,153035,0,60819,,835.0,,2404.0,,,43094.0,,119.0,26.0,,,,,,942.0,,,,158.0,2143.0,,152.0,25.0,,,,,,,,,,,,,,,,,55.0,,,,,1.0,2.0,298.0,,1.0,,,,,,263.0,,,,7358.0,,2943.0
de_hdt-ud-dev,18434,0,7190,,94.0,,280.0,,,5100.0,,13.0,6.0,,,,,,92.0,,,,25.0,219.0,,18.0,4.0,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,31.0,,,,,,,,31.0,,,,898.0,,372.0
pl_pdb-ud-test,2215,0,2009,,,,,,,2.0,19.0,,,,116.0,,1694.0,,,,,,,1.0,,,,,,,,,,,,,31.0,,,,89.0,,1.0,,,,,,,53.0,2.0,,,,,,,,,,1.0,,,,
pl_pdb-ud-train,17722,0,17036,,,,1.0,,,45.0,169.0,,1.0,,870.0,,14655.0,,,1.0,,,,5.0,,,,5.0,,,,,,,,,233.0,,,,614.0,,9.0,6.0,,1.0,3.0,,,398.0,11.0,,4.0,,,1.0,,,,,1.0,,3.0,,
pl_pdb-ud-dev,2215,0,2180,,,,1.0,,,10.0,12.0,,,,103.0,,1882.0,,,,,,,,,,,,,,,,,,,,36.0,,,,89.0,,1.0,,1.0,,1.0,,,39.0,4.0,1.0,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
uk_iu-ud-train,5521,0,44,1.0,,2.0,,,,,,,,,,,,,,,,3.0,,3.0,,,,,16.0,,,,,,,,,,,,,,,,,,8.0,,,1.0,1.0,,,,,,,,,,,,8.0,,1.0
uk_iu-ud-test,898,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
orv_rnc-ud-dev,943,0,753,,16.0,9.0,15.0,,,4.0,,176.0,10.0,,,,,,5.0,,,,,152.0,2.0,,,,6.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,3.0,,,4.0,,,,,9.0,,,1.0,337.0,,1.0
orv_rnc-ud-train,1868,0,828,,42.0,20.0,40.0,,,2.0,,212.0,10.0,,,1.0,,,11.0,,,,,205.0,4.0,3.0,,,23.0,,,,,,,,,,,1.0,1.0,,,2.0,,,10.0,,3.0,7.0,9.0,1.0,,22.0,,,,,28.0,,,,164.0,,7.0
orv_rnc-ud-test,717,0,435,,13.0,18.0,26.0,,,,,125.0,,,,,,,9.0,,,,,106.0,,1.0,,,6.0,,1.0,,,,,,,,,1.0,,,,,,,8.0,,,2.0,8.0,,,7.0,,,,,14.0,,,,88.0,,2.0
lt_hse-ud-train,153,0,5,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
