Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,ccomp,compound,compound:prt,conj,dep,det,det:poss,dislocated,expl,expl:impers,expl:pass,expl:pv,fixed,flat,iobj,list,nmod,nmod:poss,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,orphan,parataxis,reparandum,root,xcomp
es_gsd-ud-test,426,0,148,,,,,,,,,,,,,,,,145.0,,,,,,,,,,3.0,,,,,,,,
es_gsd-ud-dev,1400,0,485,,,,,,,,,,,,,,,,474.0,,,,,,,,,,11.0,,,,,,,,
es_gsd-ud-train,14187,0,4885,,,,2.0,,3.0,,,2.0,3.0,,,,,4.0,4710.0,,3.0,,,4.0,,4.0,,,146.0,,,,,1.0,,3.0,
hi_hdtb-ud-train,13306,0,946,2.0,,,,,,,1.0,,,,,,,,,,,231.0,,5.0,,252.0,14.0,,437.0,4.0,,,,,,,
hi_hdtb-ud-dev,1659,0,99,,,,,,,,,,,,,,,,,,,30.0,,1.0,,24.0,1.0,,43.0,,,,,,,,
hi_hdtb-ud-test,1684,0,120,,,,,,,,,,,,,,,,,,,35.0,,,,22.0,4.0,,59.0,,,,,,,,
es_ancora-ud-train,14287,0,9,,,,,,,,2.0,,,,,,,,,1.0,4.0,,,1.0,,,,,,1.0,,,,,,,
es_ancora-ud-test,1721,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
es_pud-ud-test,1000,0,322,,,,,,,194.0,,,,,,,,120.0,3.0,,,,,,,,,,5.0,,,,,,,,
bho_bhtb-ud-test,357,0,29,,,1.0,,,3.0,,1.0,,6.0,,,,,,,,,,,11.0,,2.0,,,3.0,2.0,,,,,,,
ky_ktmu-ud-train,80,0,5,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,
ky_ktmu-ud-test,701,0,15,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,12.0,,,,,,,
nds_lsdc-ud-train,500,0,786,,2.0,55.0,,5.0,,,18.0,,207.0,,1.0,,,,25.0,,3.0,61.0,1.0,48.0,3.0,9.0,,3.0,86.0,230.0,,15.0,3.0,2.0,,9.0,
nds_lsdc-ud-test,500,0,900,,5.0,64.0,2.0,1.0,,,20.0,,260.0,5.0,,,,,11.0,1.0,1.0,50.0,,79.0,2.0,5.0,,1.0,109.0,266.0,,8.0,1.0,,,7.0,2.0
ca_ancora-ud-dev,1709,0,774,,,,,,,,,,,,,,,46.0,,,1.0,,,2.0,,1.0,,,721.0,1.0,,2.0,,,,,
ca_ancora-ud-test,1846,0,789,,,,1.0,,,,1.0,,,,,,,54.0,,,6.0,,,,,1.0,,,723.0,,,3.0,,,,,
ca_ancora-ud-train,13123,0,5735,,,,1.0,1.0,,,4.0,1.0,,,,4.0,,413.0,,1.0,13.0,,,10.0,,2.0,,,5250.0,3.0,1.0,29.0,,,,,2.0
xnr_kdtb-ud-test,288,0,3,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
ur_udtb-ud-train,4043,0,317,1.0,,,,,,,,,2.0,,,,,,,,,79.0,,7.0,,107.0,,,118.0,3.0,,,,,,,
ur_udtb-ud-dev,552,0,13,,,,,,,,,,,,,,,,,,,4.0,,,,6.0,,,3.0,,,,,,,,
ur_udtb-ud-test,535,0,36,,,,,,,,,,,,,,,,,,,10.0,,,,14.0,,,11.0,1.0,,,,,,,
es_coser-ud-test,539,0,60,,,,,,,,,,,,,,3.0,20.0,22.0,,,,,,,,,,7.0,,,4.0,,,4.0,,
