Treebank,Number of Sentences,Failures,Total,advcl,amod,amod:flat,appos,compound,conj,dep,discourse,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:tmod,nsubj,nsubj:cop,nummod,nummod:gov,obj,obl,obl:arg,orphan,parataxis,root
sl_ssj-ud-test,1282,0,9,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
sl_ssj-ud-dev,1250,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
sl_ssj-ud-train,10903,0,60,,,,,,2.0,1.0,,,,,,,,1.0,,,,55.0,,,,,1.0,,
es_gsd-ud-test,426,0,11,,,,1.0,,5.0,,,,,,,,,,,,,5.0,,,,,,,
es_gsd-ud-dev,1400,0,34,,3.0,,2.0,,2.0,,,,,,,,,1.0,,,,26.0,,,,,,,
es_gsd-ud-train,14187,0,411,,24.0,,4.0,,14.0,1.0,,,,,,,,7.0,,,,359.0,,1.0,1.0,,,,
pl_pdb-ud-test,2215,0,16,,11.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,123,,59.0,50.0,,,6.0,,,2.0,2.0,,,2.0,,1.0,,,,1.0,,,,,,,
pl_pdb-ud-dev,2215,0,16,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,99,,,,3.0,33.0,4.0,,,,38.0,,,,,4.0,,1.0,,,,,6.0,2.0,,,8.0
es_ancora-ud-test,1721,0,8,,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,14,,,,,3.0,,,,,9.0,,,,,1.0,,,,,,,1.0,,,,
orv_rnc-ud-train,1868,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
la_perseus-ud-test,939,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
la_perseus-ud-train,1334,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
et_ewt-ud-train,5444,0,2,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,5,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,2,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,16,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
ro_nonstandard-ud-train,24121,0,31,,,,,,4.0,,,,,,,,,,4.0,1.0,,21.0,,,1.0,,,,
ro_simonero-ud-test,491,0,6,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,,
ro_simonero-ud-train,3747,0,166,,1.0,,,,18.0,,,,2.0,,,,,7.0,,,,138.0,,,,,,,
ro_simonero-ud-dev,443,0,10,,,,,,1.0,,,,,,,,,,,,,9.0,,,,,,,
lt_alksnis-ud-test,684,0,4,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0
lt_alksnis-ud-dev,617,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
lt_alksnis-ud-train,2341,0,36,,,,,,,,,,,,,,,,,,,36.0,,,,,,,
