Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,ccomp,compound,conj,csubj,dislocated,iobj,nmod,nmod:poss,nsubj,obj,obl,parataxis,root,xcomp
tr_atis-ud-dev,572,0,2,,,,,1.0,,,,,,,,1.0,,,,
tr_kenet-ud-dev,1646,0,15,1.0,,3.0,,2.0,1.0,,,,1.0,,,,,2.0,5.0,
tr_kenet-ud-test,1643,0,3,,,,,,,,,1.0,,,,,,,2.0,
tr_kenet-ud-train,15398,0,65,1.0,,2.0,1.0,2.0,4.0,,1.0,,1.0,,2.0,,,7.0,44.0,
tr_framenet-ud-train,2288,0,3,,,1.0,,1.0,,,,,,,,,,,1.0,
tr_framenet-ud-dev,205,0,1,,,,,,,,,,,,,,,,1.0,
tt_nmctt-ud-test,148,0,4,,,1.0,,,,,,,,,,1.0,2.0,,,
abq_atb-ud-test,98,0,2,,,,,,1.0,,,,,,,,,,1.0,
tr_gb-ud-test,2880,0,18,,,1.0,,,,,,,,,,,,,17.0,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-train,1974,0,4,,,1.0,,,2.0,,,,,,,,,,1.0,
sjo_xdt-ud-test,810,0,11,1.0,1.0,8.0,,,,,,,,,,,1.0,,,
hyw_armtdp-ud-test,680,0,1,,,1.0,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,6,1.0,1.0,,,,1.0,,,,,,,,,,3.0,
kk_ktb-ud-test,1047,0,30,1.0,2.0,4.0,1.0,,4.0,1.0,,,,,,,,1.0,14.0,2.0
kk_ktb-ud-train,31,0,1,,,1.0,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,1,,,,,,,,,,,,,,,,1.0,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,,,,,,,1.0,,
qtd_sagt-ud-train,578,0,2,,,,,,1.0,,,,,,,,,,1.0,
tr_tourism-ud-train,15473,0,11,,,,,,,,,,,,,,,,11.0,
tr_tourism-ud-dev,2166,0,1,,,,,,,,,,,,,,,,1.0,
bxr_bdt-ud-test,908,0,17,,,1.0,,1.0,1.0,,,,,,,,,3.0,11.0,
tr_boun-ud-dev,979,0,1,,,,,,,,,,1.0,,,,,,,
tr_boun-ud-train,7803,0,13,1.0,,2.0,1.0,,3.0,,,,,1.0,1.0,,,,4.0,
tr_penn-ud-test,924,0,3,,,,1.0,,,,,,,,,1.0,,,1.0,
tr_penn-ud-train,14850,0,34,,,1.0,,4.0,1.0,1.0,,,3.0,,3.0,2.0,,,19.0,
